contract,official_side,final_call,final_side,final_correct,final_time_left,scalp_signal,scalp_signals,scalp_wins,scalp_all_won,scalp_avg_entry_c,scalp_avg_time_left,union_actionable,max_early_fair,max_early_abs_gap,min_early_ask,brti_agree_fraction,chop_fraction,gap_type
KXBTC15M-26SEP041330-30,DOWN,True,DOWN,True,1.99937615,False,0,0,,,,True,0.8814170944234951,107.76999999998952,0.54,1.0,0.7605633802816901,
KXBTC15M-26SEP041345-45,DOWN,False,,,,True,2,2,True,34.5,7.69825,True,0.8348212344995186,61.88999999999942,0.49,0.9444444444444444,0.7222222222222222,
KXBTC15M-26SEP041400-00,DOWN,False,,,,True,1,0,False,43.0,10.236833333333331,True,0.8878185205747984,114.22999999999593,0.58,1.0,0.75,
KXBTC15M-26SEP041415-15,UP,True,UP,True,7.97640385,False,0,0,,,,True,0.910130195303234,112.58000000000176,0.78,1.0,0.7222222222222222,
KXBTC15M-26SEP041430-30,UP,True,UP,True,7.969580616666667,False,0,0,,,,True,0.9137665762882864,96.42999999999302,0.64,1.0,0.7638888888888888,
KXBTC15M-26SEP041445-45,UP,True,UP,True,2.9660234,True,1,0,False,38.0,8.132833333333334,True,0.9004964643437857,86.86000000000058,0.38,0.9722222222222222,0.6527777777777778,
KXBTC15M-26SEP041630-30,DOWN,True,DOWN,True,3.21095705,True,2,2,True,38.0,10.961166666666665,True,0.861162034298661,74.19999999999709,0.37,0.8611111111111112,0.6388888888888888,
KXBTC15M-26SEP041645-45,DOWN,True,DOWN,True,1.950470183333333,True,2,2,True,41.5,9.575916666666668,True,0.8081516336385383,58.929999999993015,0.38,0.9583333333333334,0.75,
KXBTC15M-26SEP041700-00,DOWN,False,,,,True,2,2,True,20.5,6.359166666666666,True,0.8475731096569403,45.23000000001048,0.18,0.9722222222222222,0.625,
KXBTC15M-26SEP041715-15,UP,True,UP,True,6.680651466666666,False,0,0,,,,True,0.9185830976093212,105.86000000000058,0.76,1.0,0.6805555555555556,
KXBTC15M-26SEP041730-30,UP,False,,,,True,1,1,True,45.0,4.670833333333333,True,0.8978547876930593,30.720000000001164,0.25,0.9861111111111112,0.8194444444444444,
KXBTC15M-26SEP041745-45,UP,False,,,,True,1,1,True,6.6000000000000005,2.196166666666667,True,0.8814722648429608,35.88999999999942,0.57,1.0,0.6527777777777778,
KXBTC15M-26SEP041800-00,DOWN,True,DOWN,True,2.937856033333333,False,0,0,,,,True,0.8994021110304457,258.75,0.61,1.0,0.7638888888888888,
KXBTC15M-26SEP041815-15,UP,False,,,,True,1,0,False,39.0,9.101333333333336,True,0.8700173889719044,18.05999999999767,0.38,0.875,0.7916666666666666,
KXBTC15M-26SEP041830-30,UP,False,,,,True,2,2,True,38.0,3.798,True,0.8848833803185024,28.739999999990687,0.34,0.9027777777777778,0.75,
KXBTC15M-26SEP041845-45,DOWN,False,,,,True,1,1,True,44.0,11.836166666666664,True,0.7807844664729805,24.85000000000582,0.39,0.9861111111111112,0.9305555555555556,
KXBTC15M-26SEP041900-00,DOWN,False,,,,False,0,0,,,,False,0.855548298828805,42.51000000000931,0.54,1.0,0.8472222222222222,CHOP / REVERSAL-HEAVY
KXBTC15M-26SEP041915-15,DOWN,False,,,,False,0,0,,,,False,0.7141384263834512,10.05000000000291,0.43,0.9027777777777778,0.8333333333333334,CHOP / REVERSAL-HEAVY
KXBTC15M-26SEP041930-30,UP,True,UP,True,5.984438233333334,True,1,0,False,35.0,10.651,True,0.920186292250867,103.23999999999069,0.62,1.0,0.625,
