ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,snapshot_utc,start,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct,preferred_agrees_current,fair_minus_ask_ratio,gap_per_range,meta_prob
KXBTC15M-26AUG302145-45,9.0,6.0,1,61.09999999999127,61.09999999999127,0.0007855695880939956,73.72000000000116,0.0009479801669998636,132.6600000000035,39.16000000000349,120.7899999999936,139.06999999999243,132.6600000000035,39.16000000000349,120.7899999999936,139.06999999999243,264.0500000000029,0.0010831348556853554,10.183333333331879,0.23139556902098313,0,1,2026-08-31 01:39:00+00:00,2026-08-31 01:30:00+00:00,0.8509425326091526,0.14905746739084735,1,UP,0.8509425326091526,2026-08-31 01:39:00+00:00,0.23,0.22,0.78,0.23,0.6209425326091527,0,1,3.6997501417789245,0.23139556902098313,0.7009051779180576
KXBTC15M-26AUG310045-45,9.0,6.0,1,40.63999999999942,40.63999999999942,0.0005242872454226707,36.50999999999476,0.00047098197613503964,74.91999999999825,30.40999999998894,63.220000000001164,78.25,74.91999999999825,30.40999999998894,63.220000000001164,78.25,115.95999999999185,0.00055306956827234,6.773333333333237,0.3504656778199575,1,0,2026-08-31 04:39:00+00:00,2026-08-31 04:30:00+00:00,0.8008262250857817,0.19917377491421828,1,UP,0.8008262250857817,2026-08-31 04:39:00+00:00,0.32,0.31,0.69,0.32,0.4808262250857817,1,1,2.5025819533930678,0.3504656778199575,0.7067670079087427
KXBTC15M-26AUG310100-00,8.0,7.0,1,46.91000000000349,46.91000000000349,0.0006048598964737157,45.5399999999936,0.0005871846751245878,121.33000000000175,107.98999999999069,102.06999999999243,89.86999999999534,121.33000000000175,107.98999999999069,102.06999999999243,89.86999999999534,156.47000000000116,0.0006918159505944259,6.70142857142907,0.29980187895445226,1,0,2026-08-31 04:53:00+00:00,2026-08-31 04:45:00+00:00,0.7993844622612954,0.20061553773870455,1,UP,0.7993844622612954,2026-08-31 04:53:00+00:00,0.15,0.14,0.86,0.15,0.6493844622612954,1,1,5.329229748408636,0.29980187895445226,0.7838297807063112
KXBTC15M-26AUG310115-15,8.0,7.0,1,42.05999999999767,42.05999999999767,0.0005418256277338159,97.22000000000116,0.0012532987397786111,43.70999999999185,29.94999999999709,23.5,83.27999999999884,43.70999999999185,29.94999999999709,23.5,83.27999999999884,112.74000000000524,0.00029953378716328946,6.008571428571096,0.37307078233098917,1,0,2026-08-31 05:08:00+00:00,2026-08-31 05:00:00+00:00,0.8576146225027887,0.14238537749721125,1,UP,0.8576146225027887,2026-08-31 05:08:00+00:00,0.46,0.45,0.55,0.46,0.39761462250278873,1,1,1.8643796141364972,0.37307078233098917,0.6451723776681499
KXBTC15M-26AUG310230-30,11.0,4.0,1,35.520000000004075,35.520000000004075,0.0004553328358685887,-47.89999999999418,-0.000613376813511221,38.179999999993015,51.979999999995925,61.220000000001164,12.190000000002328,38.179999999993015,51.979999999995925,61.220000000001164,12.190000000002328,83.81999999999243,0.00023004430037330625,8.880000000001019,0.4237652111668728,0,1,2026-08-31 06:26:00+00:00,2026-08-31 06:15:00+00:00,0.7894995508977503,0.21050044910224974,1,UP,0.7894995508977503,2026-08-31 06:26:00+00:00,0.43,0.42,0.5800000000000001,0.43,0.35949955089775026,0,1,1.8360454672040705,0.4237652111668728,0.6001710473834085
KXBTC15M-26AUG310315-15,10.0,5.0,1,35.74000000000524,35.74000000000524,0.000457752540052774,39.11999999999534,0.000501064762620509,39.13000000000466,39.11999999999534,51.94000000000233,43.13000000000466,39.13000000000466,39.11999999999534,51.94000000000233,43.13000000000466,129.27000000000407,0.0002276900529177729,7.148000000001048,0.27647559371860536,1,0,2026-08-31 07:10:00+00:00,2026-08-31 07:00:00+00:00,0.7614215665663789,0.23857843343362106,1,UP,0.7614215665663789,2026-08-31 07:10:00+00:00,0.48,0.47,0.53,0.48,0.28142156656637896,1,1,1.586294930346623,0.27647559371860536,0.6255156718363639
KXBTC15M-26AUG310345-45,9.0,6.0,1,32.7899999999936,32.7899999999936,0.00041927970585199637,76.51999999998952,0.0009789946037590926,49.98999999999069,12.039999999993597,19.389999999999418,62.13999999999942,49.98999999999069,12.039999999993597,19.389999999999418,62.13999999999942,74.41000000000349,0.00042014021541273225,5.464999999998933,0.4406665770728673,1,0,2026-08-31 07:39:00+00:00,2026-08-31 07:30:00+00:00,0.8548286200283649,0.1451713799716351,1,UP,0.8548286200283649,2026-08-31 07:39:00+00:00,0.39,0.38,0.62,0.39,0.4648286200283649,1,1,2.1918682564829868,0.4406665770728673,0.6497035856642804
KXBTC15M-26AUG310415-15,11.0,4.0,1,113.77999999999884,113.77999999999884,0.0014553490023606743,130.4899999999907,0.001669441819971645,114.39999999999418,132.89999999999418,171.70999999999185,256.84999999999127,114.39999999999418,132.89999999999418,171.70999999999185,256.84999999999127,270.22000000000116,0.00047308013192965033,28.44499999999971,0.42106431796313504,0,1,2026-08-31 08:11:00+00:00,2026-08-31 08:00:00+00:00,0.9005488085365783,0.09945119146342174,1,UP,0.9005488085365783,2026-08-31 08:11:00+00:00,0.48,0.47,0.53,0.48,0.4205488085365783,0,1,1.8761433511178713,0.42106431796313504,0.8182042859301552
KXBTC15M-26AUG310515-15,5.0,10.0,1,47.080000000001746,47.080000000001746,0.0006000449396443975,50.94000000000233,0.0006492734293835144,122.19000000000233,123.54999999998836,99.61999999999534,50.94000000000233,122.19000000000233,123.54999999998836,99.61999999999534,50.94000000000233,158.10000000000582,0.0007719352675434983,4.708000000000174,0.2977862112586971,1,0,2026-08-31 09:05:00+00:00,2026-08-31 09:00:00+00:00,0.8018745263128559,0.19812547368714406,1,UP,0.8018745263128559,2026-08-31 09:05:00+00:00,0.25,0.24,0.76,0.25,0.5518745263128559,1,1,3.2074981052514238,0.2977862112586971,0.7093650029585787
KXBTC15M-26AUG310945-45,9.0,6.0,1,111.34999999999127,111.34999999999127,0.0014276049174225271,-25.880000000004657,-0.00033122160363479436,124.61999999999534,193.5399999999936,258.90999999998894,119.63999999999942,124.61999999999534,193.5399999999936,258.90999999998894,119.63999999999942,362.09999999999127,0.0004227952236175349,18.558333333331877,0.30751173708918517,1,0,2026-08-31 13:39:00+00:00,2026-08-31 13:30:00+00:00,0.8533721195082951,0.14662788049170494,1,UP,0.8533721195082951,2026-08-31 13:39:00+00:00,0.46,0.45,0.55,0.46,0.39337211950829504,1,1,1.8551567815397718,0.30751173708918517,0.7628085591278603
