config,target,floor,trail,feature,dev_roi18,dev_positive,dev_avg_profit_c,dev_avg_roi,dev_avg_capture,dev_worst_profit_c
T20_F10_TR4_EITHER,0.2,0.1,0.04,EITHER,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
T20_F10_TR6_NONE,0.2,0.1,0.06,NONE,54.54545454545454,90.9090909090909,10.363636363636365,25.28900932569375,40.77565170961858,-1.0000000000000009
T20_F10_TR6_REVERSAL,0.2,0.1,0.06,REVERSAL,90.9090909090909,100.0,15.727272727272728,38.274375074217396,72.49157344083508,1.0000000000000009
T20_F10_TR6_BRTI,0.2,0.1,0.06,BRTI,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
T20_F10_TR6_EITHER,0.2,0.1,0.06,EITHER,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
T20_F10_TR8_NONE,0.2,0.1,0.08,NONE,54.54545454545454,90.9090909090909,10.363636363636365,25.28900932569375,40.77565170961858,-1.0000000000000009
T20_F10_TR8_REVERSAL,0.2,0.1,0.08,REVERSAL,90.9090909090909,100.0,15.727272727272728,38.274375074217396,72.49157344083508,1.0000000000000009
T20_F10_TR8_BRTI,0.2,0.1,0.08,BRTI,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
T20_F10_TR8_EITHER,0.2,0.1,0.08,EITHER,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
T20_F10_TR10_NONE,0.2,0.1,0.1,NONE,54.54545454545454,90.9090909090909,10.363636363636365,25.28900932569375,40.77565170961858,-1.0000000000000009
T20_F10_TR10_REVERSAL,0.2,0.1,0.1,REVERSAL,90.9090909090909,100.0,15.727272727272728,38.274375074217396,72.49157344083508,1.0000000000000009
T20_F10_TR10_BRTI,0.2,0.1,0.1,BRTI,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
T20_F10_TR10_EITHER,0.2,0.1,0.1,EITHER,100.0,100.0,17.18181818181818,41.657038921997525,81.0477231734554,8.000000000000002
