label,fair_min,dist_min,persist,max_det,dist_strength,train_contracts,train_coverage,train_accuracy,holdout_contracts,holdout_coverage,holdout_accuracy
BALANCED_85,0.75,0,3,0.0,False,29,0.5471698113207547,0.8620689655172413,27,0.75,0.7777777777777778
STRONG_88,0.75,50,3,0.0,False,27,0.5094339622641509,0.8888888888888888,25,0.6944444444444444,0.76
ELITE_90,0.88,0,3,0.0,False,21,0.39622641509433965,0.9047619047619048,14,0.3888888888888889,0.8571428571428571
MAX_ACC_AT_50_COVERAGE,0.75,50,3,0.0,False,27,0.5094339622641509,0.8888888888888888,25,0.6944444444444444,0.76
