ticker,call_time,call_side,official_side,correct,initial_fair,initial_remaining_min,initial_distance,initial_signed_distance,three_min_rows,three_min_max_distance_drop,three_min_min_signed_distance,three_min_side_flip,tier
KXBTC15M-26AUG242315-15,2026-08-25 03:04:17.244553+00:00,UP,UP,True,0.8018867924528301,10.712590783333331,186.3700000000099,186.3700000000099,4,9.520000000004076,176.85000000000582,False,SAFE
KXBTC15M-26AUG250030-30,2026-08-25 04:20:19.249975+00:00,DOWN,DOWN,True,0.9301075268817204,9.679167083333336,-178.5,178.5,4,82.22000000000116,96.27999999999884,False,SAFE
KXBTC15M-26AUG250100-00,2026-08-25 04:51:26.152326+00:00,UP,UP,True,0.8018867924528301,8.564127899999999,89.58999999999651,89.58999999999651,4,50.19999999999709,39.38999999999942,False,SAFE
KXBTC15M-26AUG250115-15,2026-08-25 05:04:09.502575+00:00,UP,UP,True,0.890625,10.84162375,111.02999999999884,111.02999999999884,4,0.0,111.02999999999884,False,SAFE
KXBTC15M-26AUG250145-45,2026-08-25 05:36:06.559035+00:00,UP,UP,True,0.8928571428571429,8.89068275,119.27999999999884,119.27999999999884,4,29.0,90.27999999999884,False,SAFE
KXBTC15M-26AUG250245-45,2026-08-25 06:36:01.587583+00:00,DOWN,DOWN,True,0.8018867924528301,8.973540283333334,-118.17999999999302,118.17999999999302,4,0.0,118.17999999999302,False,SAFE
KXBTC15M-26AUG250315-15,2026-08-25 07:04:19.877473+00:00,UP,UP,True,0.890625,10.668708783333331,203.88999999999945,203.88999999999945,4,0.0,203.88999999999945,False,SAFE
KXBTC15M-26AUG250400-00,2026-08-25 07:49:01.609088+00:00,DOWN,DOWN,True,0.9301075268817204,10.973181866666666,-384.3100000000122,384.3100000000122,4,0.0,384.3100000000122,False,SAFE
KXBTC15M-26AUG250430-30,2026-08-25 08:18:23.472018+00:00,UP,UP,True,0.8018867924528301,11.6087997,128.41999999999825,128.41999999999825,4,68.3700000000099,60.04999999998836,False,SAFE
KXBTC15M-26AUG250500-00,2026-08-25 08:49:27.436571+00:00,DOWN,DOWN,True,0.9301075268817204,10.542723816666667,-187.27000000000407,187.27000000000407,4,17.94000000000233,169.33000000000175,False,SAFE
KXBTC15M-26AUG250515-15,2026-08-25 09:03:15.421584+00:00,DOWN,DOWN,True,0.8018867924528301,11.7429736,-142.16999999999825,142.16999999999825,4,0.0,142.16999999999825,False,SAFE
KXBTC15M-26AUG250545-45,2026-08-25 09:34:12.724170+00:00,UP,DOWN,False,0.890625,10.7879305,123.42999999999302,123.42999999999302,4,109.47999999999593,13.94999999999709,False,WEAKENING
KXBTC15M-26AUG250600-00,2026-08-25 09:48:21.391829+00:00,DOWN,DOWN,True,0.890625,11.643469516666666,-171.88000000000466,171.88000000000466,4,0.0,171.88000000000466,False,SAFE
KXBTC15M-26AUG250630-30,2026-08-25 10:19:18.596860+00:00,UP,DOWN,False,0.8018867924528301,10.690052333333334,115.69000000000231,115.69000000000231,4,60.11000000000056,55.58000000000175,False,SAFE
KXBTC15M-26AUG250730-30,2026-08-25 11:21:44.279770+00:00,UP,UP,True,0.890625,8.262003833333333,116.93000000000757,116.93000000000757,4,0.0,116.93000000000757,False,SAFE
KXBTC15M-26AUG250745-45,2026-08-25 11:35:30.890675+00:00,UP,DOWN,False,0.890625,9.485155416666666,128.14999999999418,128.14999999999418,4,0.0,128.14999999999418,False,SAFE
KXBTC15M-26AUG250815-15,2026-08-25 12:04:52.121051+00:00,DOWN,DOWN,True,0.8928571428571429,10.131315816666667,-191.1600000000035,191.1600000000035,4,0.0,191.1600000000035,False,SAFE
