scope,safe_cut,danger_cut,safe_n,safe_accuracy,weak_n,weak_accuracy,danger_n,danger_accuracy,danger_wrong_rate
TRAIN,110,125,39,0.9230769230769231,0,,4,0.25,0.75
HOLDOUT,110,125,24,0.9583333333333334,1,1.0,4,0.25,0.75
FULL,110,140,63,0.9365079365079365,3,1.0,6,0.0,1.0
TRAIN,110,140,39,0.9230769230769231,1,1.0,3,0.0,1.0
HOLDOUT,110,140,24,0.9583333333333334,2,1.0,3,0.0,1.0
FULL,110,150,63,0.9365079365079365,3,1.0,6,0.0,1.0
TRAIN,110,150,39,0.9230769230769231,1,1.0,3,0.0,1.0
HOLDOUT,110,150,24,0.9583333333333334,2,1.0,3,0.0,1.0
FULL,110,160,63,0.9365079365079365,5,0.6,4,0.0,1.0
TRAIN,110,160,39,0.9230769230769231,3,0.3333333333333333,1,0.0,1.0
HOLDOUT,110,160,24,0.9583333333333334,2,1.0,3,0.0,1.0
FULL,110,175,63,0.9365079365079365,6,0.5,3,0.0,1.0
TRAIN,110,175,39,0.9230769230769231,3,0.3333333333333333,1,0.0,1.0
HOLDOUT,110,175,24,0.9583333333333334,3,0.6666666666666666,2,0.0,1.0
FULL,110,200,63,0.9365079365079365,8,0.375,1,0.0,1.0
TRAIN,110,200,39,0.9230769230769231,4,0.25,0,,
HOLDOUT,110,200,24,0.9583333333333334,4,0.5,1,0.0,1.0
FULL,125,140,64,0.9375,2,1.0,6,0.0,1.0
TRAIN,125,140,39,0.9230769230769231,1,1.0,3,0.0,1.0
HOLDOUT,125,140,25,0.96,1,1.0,3,0.0,1.0
FULL,125,150,64,0.9375,2,1.0,6,0.0,1.0
TRAIN,125,150,39,0.9230769230769231,1,1.0,3,0.0,1.0
HOLDOUT,125,150,25,0.96,1,1.0,3,0.0,1.0
FULL,125,160,64,0.9375,4,0.5,4,0.0,1.0
TRAIN,125,160,39,0.9230769230769231,3,0.3333333333333333,1,0.0,1.0
HOLDOUT,125,160,25,0.96,1,1.0,3,0.0,1.0
FULL,125,175,64,0.9375,5,0.4,3,0.0,1.0
TRAIN,125,175,39,0.9230769230769231,3,0.3333333333333333,1,0.0,1.0
HOLDOUT,125,175,25,0.96,2,0.5,2,0.0,1.0
FULL,125,200,64,0.9375,7,0.2857142857142857,1,0.0,1.0
TRAIN,125,200,39,0.9230769230769231,4,0.25,0,,
HOLDOUT,125,200,25,0.96,3,0.3333333333333333,1,0.0,1.0
