ticker,correct,call_side,initial_fair,initial_distance,1m_dist_maxdrop,1m_fair_maxdrop,1m_ask_change,1m_imb,2m_dist_maxdrop,2m_fair_maxdrop,2m_ask_change,2m_imb,3m_dist_maxdrop,3m_fair_maxdrop,3m_ask_change,3m_imb,4m_dist_maxdrop,4m_fair_maxdrop,4m_ask_change,4m_imb
KXBTC15M-26AUG260100-00,True,DOWN,0.890625,-162.74000000000524,51.25,0.16451035031847128,-0.12,0.5567613856794592,62.0,0.16451035031847128,-0.09999999999999998,-0.5736454683295871,64.90000000000872,0.16451035031847128,-0.08999999999999997,0.7598824629428815,79.83999999999651,0.16451035031847128,0.020000000000000018,0.6628376199965
KXBTC15M-26AUG260845-45,True,DOWN,0.8018867924528301,-206.86000000000053,0.12999999999004785,0.0,0.020000000000000018,0.5370677078048642,0.12999999999004785,0.0,0.04999999999999993,-0.3605627870306112,0.12999999999004785,0.0,0.15000000000000002,-0.3190888318591488,0.12999999999004785,0.0,0.20099999999999996,0.3884018793142408
KXBTC15M-26AUG260945-45,True,UP,0.9301075268817204,271.8799999999901,50.76999999998955,0.037250384024577476,0.040000000000000036,-0.0680411374759466,50.76999999998955,0.037250384024577476,0.040000000000000036,-0.6617854239442406,50.76999999998955,0.037250384024577476,0.09299999999999997,0.2147260823909858,50.76999999998955,0.037250384024577476,0.125,-0.0566117898344416
KXBTC15M-26AUG261000-00,True,DOWN,0.9301075268817204,-175.00999999999476,0.0,0.0,0.05999999999999994,-0.6250341841456255,0.0,0.0,0.1399999999999999,-0.5995154928428226,0.0,0.0,0.16199999999999992,0.5767104494771584,0.0,0.0,0.16299999999999992,0.7500780390334837
KXBTC15M-26AUG261015-15,True,UP,0.8018867924528301,99.55999999999769,5.100000000005849,0.0,0.030000000000000027,0.6330211910709107,5.100000000005849,0.0,0.14,0.4580905371768675,5.100000000005849,0.0,0.18000000000000005,0.8970208188900616,5.100000000005849,0.0,0.21300000000000008,0.1205265764110855
KXBTC15M-26AUG261145-45,True,DOWN,0.9301075268817204,-182.2599999999948,20.990000000005267,0.037250384024577476,0.0,0.2698749936020496,20.990000000005267,0.037250384024577476,0.03500000000000003,0.0894990347884668,20.990000000005267,0.037250384024577476,0.04200000000000004,0.2465732035767238,56.729999999995954,0.037250384024577476,0.06700000000000006,0.3176125346201733
KXBTC15M-26AUG261215-15,True,UP,0.8018867924528301,99.94000000000231,6.589999999996493,0.0,0.030000000000000027,-0.0905281991794776,6.589999999996493,0.0,0.06000000000000005,-0.343677055662967,6.589999999996493,0.0,0.09000000000000008,-0.8264412041564028,6.589999999996493,0.0,0.20000000000000007,-0.6331127927824606
KXBTC15M-26AUG261315-15,True,UP,0.8018867924528301,65.77999999999884,3.6900000000023283,0.042488296212228605,-0.1399999999999999,0.8918107657796656,3.6900000000023283,0.042488296212228605,0.14,0.5182655192627221,3.6900000000023283,0.042488296212228605,0.15000000000000002,0.367183355306201,3.6900000000023283,0.042488296212228605,0.20500000000000007,0.7787053927403392
KXBTC15M-26AUG261330-30,True,UP,0.890625,126.40999999998894,0.0,0.0,0.030000000000000027,0.1645761335129718,0.0,0.0,0.07499999999999996,0.3538325340837612,1.5499999999883585,0.0,0.08799999999999997,,1.5499999999883585,0.0,0.09499999999999997,0.0841449914884453
KXBTC15M-26AUG261400-00,True,DOWN,0.8018867924528301,-149.73000000001048,60.220000000001164,0.2109777015437393,0.020000000000000018,0.6625885506840921,60.220000000001164,0.2109777015437393,-0.08999999999999997,-0.2586335108080004,60.220000000001164,0.2109777015437393,-0.050000000000000044,0.3642696260585554,60.220000000001164,0.2109777015437393,0.010000000000000009,-0.0442785481254635
KXBTC15M-26AUG261415-15,True,UP,0.8018867924528301,90.73000000001048,27.99000000000524,0.042488296212228605,-0.14,-0.2643106713415247,33.68000000000757,0.042488296212228605,-0.050000000000000044,0.407180976085031,62.26000000000931,0.0757721427713014,-0.16000000000000003,0.741086012142715,62.26000000000931,0.0757721427713014,0.08999999999999997,0.9896693875457
KXBTC15M-26AUG261500-00,True,UP,0.890625,108.0,34.60000000000582,0.16451035031847128,-0.07999999999999996,-0.5676871883960319,34.60000000000582,0.16451035031847128,-0.04999999999999993,0.2539008776622589,34.60000000000582,0.16451035031847128,0.040000000000000036,-0.6440038750370701,34.60000000000582,0.16451035031847128,0.08600000000000008,-0.4335865349592989
KXBTC15M-26AUG261615-15,False,UP,0.8018867924528301,66.54000000000815,0.0,0.0,0.010000000000000009,0.3123198384499711,5.120000000009895,0.0,0.09000000000000008,0.6759980458325334,5.120000000009895,0.0,0.14,-0.086923531710969,24.430000000007567,0.042488296212228605,0.050000000000000044,0.595897570986143
KXBTC15M-26AUG261815-15,True,UP,0.9301075268817204,106.72000000000116,0.9499999999970896,0.0,0.039999999999999925,0.1178524040500251,41.779999999998836,0.17070903064111886,-0.030000000000000027,0.5546617888327231,41.779999999998836,0.17070903064111886,0.039999999999999925,-0.2448463339853968,46.0399999999936,0.17070903064111886,0.030000000000000027,0.238988704198478
KXBTC15M-26AUG261830-30,True,UP,0.890625,138.74000000000524,0.0,0.0,0.09999999999999998,0.2136062942169068,0.0,0.0,0.15300000000000002,-0.6035327709647913,0.0,0.0,0.139,0.1430064564255925,15.180000000007553,0.0,0.129,0.6133466902899436
KXBTC15M-26AUG261845-45,True,DOWN,0.890625,-117.93000000000757,0.0,0.0,0.050000000000000044,0.6911049487259644,0.0,0.0,0.10999999999999999,-0.2163822317414873,0.0,0.0,0.15000000000000002,-0.8556509367440469,0.0,0.0,0.251,0.1791509887583301
