feature_set,model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct_20_40,avg_time,median_time
CORE,LOGISTIC,OPEN,0.6,11,36.36363636363637,73.33333333333333,31.818181818181817,38.0,27.27272727272727,8.995391734848484,9.497539216666668
CORE,LOGISTIC,OPEN,0.65,10,40.0,66.66666666666667,32.6,40.0,20.0,8.913423476666669,9.570543233333334
CORE,LOGISTIC,OPEN,0.7,9,44.44444444444444,60.0,32.0,42.0,11.11111111111111,8.830614272222224,9.48238015
CORE,LOGISTIC,OPEN,0.75,7,57.14285714285714,46.666666666666664,33.0,39.0,28.57142857142857,8.61851710952381,9.713535083333332
CORE,LOGISTIC,OPEN,0.8,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.36631153611111,8.507992841666667
CORE,LOGISTIC,OPEN,0.85,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.36631153611111,8.507992841666667
CORE,LOGISTIC,OPEN,0.9,5,80.0,33.333333333333336,34.0,39.0,40.0,8.600872026666668,9.4735987
CORE,LOGISTIC,BRTI,0.6,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.525913326190476,9.48238015
CORE,LOGISTIC,BRTI,0.65,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.525913326190476,9.48238015
CORE,LOGISTIC,BRTI,0.7,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.525913326190476,9.48238015
CORE,LOGISTIC,BRTI,0.75,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.366502188888889,8.466322283333334
CORE,LOGISTIC,BRTI,0.8,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.35242135,8.466322283333334
CORE,LOGISTIC,BRTI,0.85,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.35242135,8.466322283333334
CORE,LOGISTIC,BRTI,0.9,5,80.0,33.333333333333336,34.0,39.0,40.0,8.600872026666668,9.4735987
CORE,LOGISTIC,BRTI_SAFE,0.6,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.525913326190476,9.48238015
CORE,LOGISTIC,BRTI_SAFE,0.65,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.525913326190476,9.48238015
CORE,LOGISTIC,BRTI_SAFE,0.7,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.525913326190476,9.48238015
CORE,LOGISTIC,BRTI_SAFE,0.75,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.366502188888889,8.466322283333334
CORE,LOGISTIC,BRTI_SAFE,0.8,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.35242135,8.466322283333334
CORE,LOGISTIC,BRTI_SAFE,0.85,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.35242135,8.466322283333334
CORE,LOGISTIC,BRTI_SAFE,0.9,5,80.0,33.333333333333336,34.0,39.0,40.0,8.600872026666668,9.4735987
CORE,LOGISTIC,BRTI_SAFE_LAG,0.6,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.501988092857143,9.48238015
CORE,LOGISTIC,BRTI_SAFE_LAG,0.65,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.501988092857143,9.48238015
CORE,LOGISTIC,BRTI_SAFE_LAG,0.7,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.501988092857143,9.48238015
CORE,LOGISTIC,BRTI_SAFE_LAG,0.75,6,66.66666666666666,40.0,35.333333333333336,40.5,33.33333333333333,8.338589416666666,8.466322283333334
