ticker,correct,call_side,official_side,initial_fair,initial_distance,initial_signed_distance,initial_remaining_min,drop_3m,end_signed_3m,flip_3m,drop_4m,end_signed_4m,flip_4m,drop_5m,end_signed_5m,flip_5m,drop_6m,end_signed_6m,flip_6m,drop_rest,min_signed_rest,flip_rest
KXBTC15M-26AUG242315-15,True,UP,UP,0.8018867924528301,186.3700000000099,186.3700000000099,10.712590783333331,9.520000000004075,253.49000000000524,False,9.520000000004075,270.13000000000466,False,9.520000000004075,210.1700000000128,False,9.520000000004075,210.1800000000076,False,32.820000000006985,153.5500000000029,False
KXBTC15M-26AUG250030-30,True,DOWN,DOWN,0.9301075268817204,-178.5,178.5,9.679167083333336,82.22000000000116,96.27999999999884,False,82.22000000000116,173.02000000000407,False,82.22000000000116,150.02000000000407,False,82.22000000000116,110.36999999999534,False,82.22000000000116,96.27999999999884,False
KXBTC15M-26AUG250100-00,True,UP,UP,0.8018867924528301,89.58999999999651,89.58999999999651,8.564127899999999,50.19999999999709,39.38999999999942,False,78.68999999998778,10.900000000008731,False,78.68999999998778,41.11000000000058,False,80.15999999998894,9.430000000007569,False,104.48999999999069,-14.89999999999418,True
KXBTC15M-26AUG250115-15,True,UP,UP,0.890625,111.02999999999884,111.02999999999884,10.84162375,0.0,171.38999999999942,False,0.0,203.4100000000035,False,0.0,220.0500000000029,False,0.0,230.2100000000064,False,0.0,111.02999999999884,False
KXBTC15M-26AUG250145-45,True,UP,UP,0.8928571428571429,119.27999999999884,119.27999999999884,8.89068275,29.0,99.25,False,38.070000000006985,81.20999999999185,False,38.070000000006985,83.77999999999884,False,38.070000000006985,104.94999999999708,False,55.74999999999999,63.52999999999884,False
KXBTC15M-26AUG250245-45,True,DOWN,DOWN,0.8018867924528301,-118.17999999999302,118.17999999999302,8.973540283333334,0.0,224.27999999999884,False,0.0,223.06999999999243,False,0.0,237.1600000000035,False,0.0,241.8399999999965,False,0.0,118.17999999999302,False
KXBTC15M-26AUG250315-15,True,UP,UP,0.890625,203.88999999999945,203.88999999999945,10.668708783333331,0.0,207.4700000000012,False,34.870000000009924,169.01999999998952,False,34.870000000009924,182.88999999999945,False,34.870000000009924,222.88999999999945,False,34.870000000009924,169.01999999998952,False
KXBTC15M-26AUG250400-00,True,DOWN,DOWN,0.9301075268817204,-384.3100000000122,384.3100000000122,10.973181866666666,0.0,1064.9700000000012,False,0.0,993.1700000000128,False,0.0,838.6399999999994,False,0.0,732.9900000000052,False,0.0,384.3100000000122,False
KXBTC15M-26AUG250430-30,True,UP,UP,0.8018867924528301,128.41999999999825,128.41999999999825,11.6087997,68.3700000000099,143.92999999999302,False,68.3700000000099,107.7899999999936,False,68.3700000000099,147.31999999999243,False,68.3700000000099,63.86999999999534,False,68.3700000000099,60.04999999998836,False
KXBTC15M-26AUG250500-00,True,DOWN,DOWN,0.9301075268817204,-187.27000000000407,187.27000000000407,10.542723816666667,17.94000000000233,212.3000000000029,False,17.94000000000233,228.6999999999971,False,17.94000000000233,246.77999999999884,False,17.94000000000233,208.19000000000236,False,17.94000000000233,169.33000000000175,False
KXBTC15M-26AUG250515-15,True,DOWN,DOWN,0.8018867924528301,-142.16999999999825,142.16999999999825,11.7429736,0.0,218.7100000000064,False,0.0,152.10000000000582,False,15.989999999990687,126.18000000000757,False,15.989999999990687,160.32000000000698,False,113.83999999999651,28.330000000001743,False
KXBTC15M-26AUG250545-45,False,UP,DOWN,0.890625,123.42999999999302,123.42999999999302,10.7879305,109.47999999999593,13.94999999999709,False,109.47999999999593,30.270000000004075,False,109.47999999999593,18.720000000001164,False,109.47999999999593,23.470000000001164,False,152.5,-29.070000000006985,True
KXBTC15M-26AUG250600-00,True,DOWN,DOWN,0.890625,-171.88000000000466,171.88000000000466,11.643469516666666,0.0,341.13000000000466,False,0.0,493.6100000000006,False,0.0,586.4700000000012,False,0.0,800.5800000000017,False,0.0,171.88000000000466,False
KXBTC15M-26AUG250630-30,False,UP,DOWN,0.8018867924528301,115.69000000000231,115.69000000000231,10.690052333333334,60.11000000000056,55.58000000000175,False,129.33000000000175,-13.639999999999418,True,129.33000000000175,48.23000000001048,True,129.33000000000175,37.08000000000175,True,141.47999999999593,-25.7899999999936,True
KXBTC15M-26AUG250730-30,True,UP,UP,0.890625,116.93000000000757,116.93000000000757,8.262003833333333,0.0,156.55999999999767,False,0.0,150.24000000000524,False,0.0,150.40000000000873,False,0.0,144.66999999999825,False,33.75,83.18000000000757,False
KXBTC15M-26AUG250745-45,False,UP,DOWN,0.890625,128.14999999999418,128.14999999999418,9.485155416666666,0.0,182.4100000000035,False,0.0,144.00999999999476,False,35.61999999999534,92.52999999999884,False,89.70999999999185,38.44000000000233,False,179.34999999999127,-51.19999999999709,True
KXBTC15M-26AUG250815-15,True,DOWN,DOWN,0.8928571428571429,-191.1600000000035,191.1600000000035,10.131315816666667,0.0,435.65000000000873,False,0.0,461.54000000000815,False,0.0,302.4400000000023,False,0.0,302.8099999999977,False,121.83000000000175,69.33000000000175,False
