timestamp_utc,contract,elapsed_min,time_left_min,btc_price,kalshi_target,target_gap_dollars,up_ask,down_ask,raw_general_side,raw_general_confidence,fair_ready,fair_up,fair_down,fair_preferred_side,fair_preferred,fair_flip_prob,fair_stay_prob,preferred_kalshi_ask,fair_edge_vs_ask,opportunity_status,price_zone,entry_tournament_ready,entry_time_left,entry_abs_target_gap,entry_rule_version,ladder_status,ladder_direction,ladder_confidence,checkpoints,expected_final_outcome,final_status,final_side,final_confidence,final_call_source,decisive_fair_ready,required_gap,dist_over_range5,legacy_final_ready,strict_distance_pct,directional_agreement,confidence_change,strict_model_ready,brti_kalshi_gate_ready
2026-09-04T12:27:43.869537+00:00,KXBTC15M-26SEP040830-30,12.386137433333333,2.6138625666666666,81296.07,81233.5,62.570000000006985,0.62,0.39,DOWN,0.5330231169794287,True,0.8872960912245444,0.11270390877545554,UP,0.8872960912245444,0.11270390877545554,0.8872960912245444,0.62,0.26729609122454445,WAIT,EXPENSIVE / WAIT,False,2.6138625666666666,62.570000000006985,V3_HISTORICAL_WINNER,RAW FORECAST,DOWN,0.5330231169794287,11,UP,PASS,NONE,,NONE,False,50.0,0.3659706381236858,False,0.0006166459702556804,0,0.00920071625036556,False,False
2026-09-04T20:15:56.397934+00:00,KXBTC15M-26SEP041630-30,0.6251826666666667,14.374817333333333,79831.12,79837.06,-5.940000000002328,0.53,0.48,DOWN,0.5666350231308781,True,0.5000914882199913,0.4999085117800087,UP,0.5000914882199913,0.5000914882199913,0.4999085117800087,0.53,-0.02990851178000875,WAIT,EXPENSIVE / WAIT,False,14.374817333333333,5.940000000002328,V3_HISTORICAL_WINNER,RAW FORECAST,DOWN,0.5666350231308781,,DOWN,PASS,NONE,,NONE,False,75.0,0.06467770034845986,False,,2,0.04252638639340467,False,False
2026-09-05T01:34:09.194800+00:00,KXBTC15M-26SEP042145-45,3.8348128333333333,11.165187166666666,79714.61,79678.89,35.720000000001164,0.57,0.44,DOWN,0.525966848818408,True,0.7465544916795261,0.2534455083204738,UP,0.7465544916795261,0.2534455083204738,0.7465544916795261,0.57,0.1765544916795262,WAIT,EXPENSIVE / WAIT,False,11.165187166666666,35.720000000001164,V3_HISTORICAL_WINNER,RAW FORECAST,DOWN,0.525966848818408,,UP,PASS,NONE,,NONE,False,75.0,0.6184210526314994,False,8.957755151439706e-05,2,0.002655236139551098,False,False
