ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,persistence,strengthening,side_agree,calls,contracts,coverage,accuracy,avg_ask,median_ask,avg_time_left,median_time_left,avg_fair,avg_edge,validation_rank
0.45,0.8,0.12,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,30
0.45,0.8,0.15,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,31
0.45,0.8,0.15,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,32
0.45,0.8,0.2,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,33
0.45,0.8,0.2,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,34
0.45,0.8,0.25,2.0,10.0,25.0,0.0,1,False,False,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,35
0.45,0.8,0.25,2.0,10.0,25.0,0.0,1,False,True,13,99,0.13131313131313133,1.0,0.34923076923076923,0.37,5.076923076923077,4.0,0.8512338316595661,0.5020030624287971,36
0.4,0.75,0.08,2.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,37
0.4,0.75,0.08,2.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,38
0.4,0.75,0.1,2.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,39
0.4,0.75,0.1,2.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,40
0.4,0.75,0.12,2.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,41
0.4,0.75,0.12,2.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,42
0.4,0.75,0.15,2.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,43
0.4,0.75,0.15,2.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,44
0.4,0.75,0.2,2.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,45
0.4,0.75,0.2,2.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,46
0.4,0.75,0.25,2.0,10.0,25.0,0.0,1,False,False,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,47
0.4,0.75,0.25,2.0,10.0,25.0,0.0,1,False,True,12,99,0.12121212121212122,1.0,0.33416666666666667,0.37,5.083333333333333,4.0,0.8291782422899608,0.4950115756232942,48
0.45,0.75,0.08,4.0,10.0,25.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,49
0.45,0.75,0.08,4.0,10.0,25.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,50
0.45,0.75,0.1,4.0,10.0,25.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,51
0.45,0.75,0.1,4.0,10.0,25.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,52
0.45,0.75,0.12,4.0,10.0,25.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,53
0.45,0.75,0.12,4.0,10.0,25.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,54
0.45,0.75,0.15,4.0,10.0,25.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,55
0.45,0.75,0.15,4.0,10.0,25.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,56
0.45,0.75,0.2,4.0,10.0,25.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,57
0.45,0.75,0.2,4.0,10.0,25.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,58
0.45,0.75,0.25,4.0,10.0,25.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,59
0.45,0.75,0.25,4.0,10.0,25.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.382,0.385,6.9,5.5,0.8305614443286551,0.44856144432865513,60
0.4,0.8,0.08,2.0,10.0,0.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,61
0.4,0.8,0.08,2.0,10.0,0.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,62
0.4,0.8,0.1,2.0,10.0,0.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,63
0.4,0.8,0.1,2.0,10.0,0.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,64
0.4,0.8,0.12,2.0,10.0,0.0,0.0,1,False,False,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,65
0.4,0.8,0.12,2.0,10.0,0.0,0.0,1,False,True,10,99,0.10101010101010101,1.0,0.32300000000000006,0.36,4.8,3.5,0.845741176546538,0.5227411765465381,66
