ticker,official_side,traj_side,correct,n_rows,dominant_share,final_support,mean_support,improvement,dist_support_mean,final_distance,distance_trend,flips,p_slope_abs
KXBTC15M-26AUG230945-45,UP,DOWN,False,8,0.875,0.39344262295081966,0.5751598321047755,0.012564562168734805,0.875,-12.389999999999418,-5.892142857142715,1,0.007946059037560047
KXBTC15M-26AUG231045-45,DOWN,DOWN,True,8,1.0,0.7261146496815287,0.6232733930995391,0.08612524053163095,1.0,38.52000000000408,-2.7629761904763255,0,0.023352611379729965
KXBTC15M-26AUG231145-45,UP,DOWN,False,8,0.625,0.4285714285714286,0.5179595582915688,-0.10438700586584193,0.625,-1.5500000000029104,-9.259404761904516,1,0.024893064419267502
KXBTC15M-26AUG231230-30,UP,DOWN,False,8,0.625,0.4285714285714286,0.5209727333556373,-0.02438106390097028,0.625,-4.970000000001164,-1.5170238095240731,5,0.01087917602638242
KXBTC15M-26AUG231300-00,UP,UP,True,8,0.875,0.6347826086956522,0.5648215500794254,0.042340040923669164,0.875,27.270000000004075,1.7602380952386216,2,0.006149984297246174
KXBTC15M-26AUG231330-30,DOWN,UP,False,8,0.875,0.6347826086956522,0.6408226809866276,0.12491791689686382,0.875,51.81999999999243,7.452380952380779,1,0.0288532159432015
KXBTC15M-26AUG231345-45,UP,UP,True,8,0.75,0.5714285714285714,0.539467631314821,0.07638424222147888,0.75,16.430000000007567,4.724523809524163,2,0.015392749605697066
KXBTC15M-26AUG231400-00,DOWN,DOWN,True,8,1.0,0.5714285714285714,0.5688775510204082,0.0025510204081633514,1.0,0.0899999999965075,-0.7374999999996193,0,0.0006073858114674545
KXBTC15M-26AUG231415-15,UP,DOWN,False,10,1.0,0.7593984962406015,0.6526837520631764,0.13695605608961214,1.0,44.29000000000815,2.9603030303031894,0,0.02132056678623108
KXBTC15M-26AUG231430-30,UP,DOWN,False,8,1.0,0.5714285714285714,0.578935262629642,0.02011542321846771,1.0,15.630000000004657,2.1828571428569767,0,0.003831509184470042
KXBTC15M-26AUG231445-45,DOWN,DOWN,True,8,1.0,0.6065573770491803,0.6013033295998371,0.010508094898686426,1.0,30.319999999992437,-4.477380952380158,0,0.0009934978980901223
KXBTC15M-26AUG231500-00,DOWN,DOWN,True,8,1.0,0.7593984962406015,0.6303242727731914,0.08266259706863088,1.0,61.36999999999534,1.9392857142851256,0,0.02372797013058386
KXBTC15M-26AUG231515-15,DOWN,UP,False,9,0.6666666666666666,0.5663265306122449,0.5221088435374149,0.04438775510204074,0.6666666666666666,5.610000000000582,0.6443333333333923,3,0.01420068027210882
KXBTC15M-26AUG231545-45,UP,DOWN,False,10,0.7,0.4336734693877551,0.4647482460053787,-0.29445424807480886,0.9,-1.9100000000034925,-7.902666666667387,1,0.058033114545512805
KXBTC15M-26AUG231645-45,UP,UP,True,10,1.0,0.6065573770491803,0.577381501353817,0.02820789056770867,0.9,12.10000000000582,-0.6114545454541012,0,0.002194038595120306
KXBTC15M-26AUG231700-00,DOWN,UP,False,10,0.5,0.5663265306122449,0.5725332741792369,-0.20102040816326538,0.3,1.8999999999941792,-0.21993939393909115,2,0.03565244279529992
KXBTC15M-26AUG231830-30,UP,UP,True,10,0.6,0.6065573770491803,0.5332005760251356,0.14395217245843467,0.6,48.36999999999534,11.181878787878489,1,0.02600206025519131
KXBTC15M-26AUG231845-45,DOWN,DOWN,True,10,1.0,0.7261146496815287,0.6038378513146931,0.06890019242530465,1.0,40.18000000000757,-1.171212121212384,0,0.01643542890876531
KXBTC15M-26AUG231900-00,DOWN,UP,False,10,0.5,0.6347826086956522,0.517714300260375,0.06195921276564792,0.5,11.05000000000291,3.1929090909086595,3,0.013764413301120352
KXBTC15M-26AUG231945-45,DOWN,UP,False,10,0.9,0.5714285714285714,0.5661508865841418,-0.05270993643358979,0.9,1.7799999999988358,-13.56890909090924,2,0.01080983809321045
KXBTC15M-26AUG232330-30,DOWN,DOWN,True,4,1.0,0.7709723766794906,0.607963648561802,0.1274430463701718,1.0,77.8799999999901,14.13099999999686,0,0.07879630605854268
