contract,official_side,final_side,final_time_left,side_ask,side_fair,preferred_fair,preferred_edge,abs_btc_gap,dist_over_range5,brti_side,brti_gap_to_target,brti_age_seconds,brti_agrees_side,reversal_state,btc_move_15s_side,btc_move_30s_side,ask_move_15s,ask_move_30s,fair_move_15s,fair_move_30s
KXBTC15M-26SEP040200-00,UP,DOWN,5.840347566666667,0.89,0.9018939639641544,0.9018939639641544,0.0118939639641544,103.43000000000757,2.404230590423007,DOWN,-98.99000000000524,0.6292712688446045,True,MIXED,2.1699999999982538,31.23000000001048,0.0,0.06,0.0093463905242791,0.0351977916645912
KXBTC15M-26SEP041000-00,DOWN,UP,7.9520107,0.82,0.918411987317043,0.918411987317043,0.098411987317043,184.90000000000876,1.148732604373766,UP,200.0500000000029,0.944267988204956,True,MIXED,-3.569999999992433,12.25,0.0499999999999999,0.0499999999999999,0.0021401506678381,0.0034342056103419
