ticker,correct,call_side,initial_fair,initial_distance,gain6,fair6,worst_distance_gain_after6,worst_fair_gain_after6,distance_giveback,pct_distance_giveback,fair_giveback,first_50pct_giveback_min,first_fair_below_5pt_min,7m_distance_gain,7m_fair_gain,8m_distance_gain,8m_fair_gain,9m_distance_gain,9m_fair_gain,10m_distance_gain,10m_fair_gain
KXBTC15M-26AUG250945-45,True,UP,0.8018867924528301,188.57000000000696,290.8600000000007,0.19811320754716988,-237.6399999999994,-0.694743935309973,528.5000000000001,1.8170253730316952,0.8928571428571429,7.091545316666667,10.633251933333334,127.61999999999537,0.19811320754716988,116.66000000000352,0.19811320754716988,188.06999999999246,0.19811320754716988,-10.58999999999648,0.14683115626511867
KXBTC15M-26AUG251000-00,True,DOWN,0.8018867924528301,-190.9499999999971,158.14000000001397,0.16363044892648027,-86.40999999998893,0.09097035040431278,244.5500000000029,1.5464145693687954,0.07266009852216748,7.982342433333333,,88.99000000000524,0.16363044892648027,-35.75,0.12822073442889026,-62.23999999999069,0.09097035040431278,-27.35999999998603,0.12822073442889026
KXBTC15M-26AUG251015-15,True,UP,0.8928571428571429,201.4899999999907,160.5800000000017,0.1071428571428571,156.1200000000099,0.1071428571428571,4.459999999991794,0.02777431809684735,0.0,,,156.1200000000099,0.1071428571428571,200.25,0.1071428571428571,198.98000000001053,0.1071428571428571,209.9600000000064,0.1071428571428571
KXBTC15M-26AUG251600-00,True,UP,0.8018867924528301,118.75,56.11000000000058,0.19811320754716988,56.11000000000058,0.19811320754716988,0.0,0.0,0.0,,,84.1299999999901,0.19811320754716988,84.1299999999901,0.19811320754716988,,,,
KXBTC15M-26AUG251815-15,True,UP,0.890625,144.13999999999942,175.44000000000233,0.109375,146.02000000000407,0.109375,29.419999999998254,0.16769265845872014,0.0,,,146.02000000000407,0.109375,210.35000000000582,0.109375,161.0899999999965,0.109375,,
KXBTC15M-26AUG251900-00,True,UP,0.890625,97.38000000000466,45.419999999998254,0.109375,24.39999999999418,0.109375,21.020000000004075,0.46279172170860594,0.0,,,49.25,0.109375,33.419999999998254,0.109375,24.39999999999418,0.109375,,
KXBTC15M-26AUG251930-30,True,DOWN,0.8018867924528301,-139.58000000000175,146.58000000000175,0.1862084456424079,74.08000000000175,0.1862084456424079,72.5,0.49461045163050305,0.0,,,148.7899999999936,0.19811320754716988,151.6600000000035,0.19811320754716988,162.43000000000757,0.19811320754716988,103.97999999999593,0.1862084456424079
KXBTC15M-26AUG252100-00,True,UP,0.8018867924528301,105.58999999999652,194.05999999999767,0.19811320754716988,142.55999999999761,0.19811320754716988,51.50000000000006,0.26538184066783815,0.0,,,178.4899999999907,0.19811320754716988,174.61000000000058,0.19811320754716988,188.7899999999936,0.19811320754716988,170.34999999999127,0.19811320754716988
KXBTC15M-26AUG252230-30,True,UP,0.8018867924528301,124.72999999999593,240.13000000000466,0.19811320754716988,240.13000000000466,0.19811320754716988,0.0,0.0,0.0,,,240.30999999999767,0.19811320754716988,277.22000000000116,0.19811320754716988,324.22000000000116,0.19811320754716988,306.820000000007,0.19811320754716988
KXBTC15M-26AUG260845-45,True,DOWN,0.8018867924528301,-206.86000000000053,176.72999999999598,0.1862084456424079,72.05000000000297,0.1862084456424079,104.67999999999302,0.5923159622022033,0.0,9.17260975,,140.75000000000006,0.1862084456424079,117.5700000000071,0.19811320754716988,72.05000000000297,0.1862084456424079,154.25000000000006,0.1862084456424079
KXBTC15M-26AUG261215-15,True,UP,0.8018867924528301,99.94000000000231,42.89999999999419,0.19811320754716988,42.89999999999419,0.19811320754716988,0.0,0.0,0.0,,,,,,,,,,
KXBTC15M-26AUG261330-30,True,UP,0.890625,126.40999999998894,110.72000000000116,0.109375,95.41000000000349,0.109375,15.309999999997672,0.13827673410402375,0.0,,,95.41000000000349,0.109375,231.66999999999825,0.109375,215.74000000000524,0.109375,255.59000000001106,0.109375
KXBTC15M-26AUG270600-00,True,DOWN,0.890625,-171.77000000000407,91.69999999999715,0.109375,91.69999999999715,0.09747023809523803,0.0,0.0,0.011904761904761973,,,100.00999999999476,0.109375,155.88999999999942,0.09747023809523803,96.58999999999651,0.109375,,
KXBTC15M-26AUG270615-15,False,UP,0.8018867924528301,104.52999999999884,89.7100000000064,0.19811320754716988,-130.74000000000524,-0.6925117924528301,220.45000000001164,2.4573626128636263,0.890625,7.145640983333333,7.145640983333333,-54.24999999999999,-0.042488296212228605,-56.830000000001746,0.08873820754716988,-130.74000000000524,-0.6925117924528301,,
KXBTC15M-26AUG271300-00,True,DOWN,0.890625,-109.2100000000064,51.48999999999069,0.109375,51.48999999999069,0.109375,0.0,0.0,0.0,,,72.11000000000055,0.109375,90.42999999999304,0.109375,83.16999999999823,0.109375,,
