signal_id,contract,side,entry_timestamp_utc,entry_ask,armed,arm_timestamp_utc,arm_seconds,peak_profit_c,exit_timestamp_utc,exit_seconds,exit_bid,profit_c,roi_pct,exit_reason,brti_ready_at_exit,brti_side_at_exit,brti_agreed_at_exit,target_profit_c,floor_profit_c,trail_c,notes
KXBTC15M-26SEP050100-00|DOWN|SCALP|1788583829087,KXBTC15M-26SEP050100-00,DOWN,2026-09-05T04:50:29.087274+00:00,0.41,True,2026-09-05T04:50:54.108635+00:00,25.0,23.0,2026-09-05T04:50:59.110742+00:00,30.0,0.64,23.0,56.1,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050100-00|UP|SCALP|1788583999092,KXBTC15M-26SEP050100-00,UP,2026-09-05T04:53:19.092925+00:00,0.21,True,2026-09-05T04:53:39.112209+00:00,20.0,28.0,2026-09-05T04:53:44.089297+00:00,25.0,0.49,28.0,133.3,TARGET_20,True,DOWN,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050130-30|DOWN|SCALP|1788585529720,KXBTC15M-26SEP050130-30,DOWN,2026-09-05T05:18:49.720418+00:00,0.44,True,2026-09-05T05:20:09.729591+00:00,80.0,14.0,2026-09-05T05:20:29.706059+00:00,100.0,0.58,14.0,31.8,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050145-45|DOWN|SCALP|1788586960435,KXBTC15M-26SEP050145-45,DOWN,2026-09-05T05:42:40.435847+00:00,0.24,True,2026-09-05T05:42:45.445301+00:00,5.0,45.0,2026-09-05T05:42:50.438171+00:00,10.0,0.69,45.0,187.5,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050200-00|UP|SCALP|1788587560862,KXBTC15M-26SEP050200-00,UP,2026-09-05T05:52:40.862811+00:00,0.39,True,2026-09-05T05:53:15.887912+00:00,35.0,27.0,2026-09-05T05:53:20.863295+00:00,40.0,0.66,27.0,69.2,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050300-00|DOWN|SCALP|1788591452741,KXBTC15M-26SEP050300-00,DOWN,2026-09-05T06:57:32.741784+00:00,0.088,True,2026-09-05T06:58:02.725663+00:00,30.0,55.2,2026-09-05T06:58:07.728525+00:00,35.0,0.64,55.2,627.3,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050315-15|UP|SCALP|1788591692944,KXBTC15M-26SEP050315-15,UP,2026-09-05T07:01:32.944343+00:00,0.43,True,2026-09-05T07:01:52.947202+00:00,20.0,25.0,2026-09-05T07:01:57.962474+00:00,25.0,0.68,25.0,58.1,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050400-00|DOWN|SCALP|1788595045553,KXBTC15M-26SEP050400-00,DOWN,2026-09-05T07:57:25.553230+00:00,0.39,True,2026-09-05T07:57:35.580599+00:00,10.0,42.0,2026-09-05T07:57:40.555636+00:00,15.0,0.81,42.0,107.7,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050430-30|DOWN|SCALP|1788596375936,KXBTC15M-26SEP050430-30,DOWN,2026-09-05T08:19:35.936378+00:00,0.18,True,2026-09-05T08:20:00.949616+00:00,25.0,29.0,2026-09-05T08:20:05.937770+00:00,30.0,0.47,29.0,161.1,TARGET_20,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050545-45|DOWN|SCALP|1788600868126,KXBTC15M-26SEP050545-45,DOWN,2026-09-05T09:34:28.126409+00:00,0.36,True,2026-09-05T09:34:58.157805+00:00,30.0,10.0,2026-09-05T09:35:03.095851+00:00,35.0,0.46,10.0,27.8,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050545-45|DOWN|SCALP|1788601003122,KXBTC15M-26SEP050545-45,DOWN,2026-09-05T09:36:43.122442+00:00,0.33,True,2026-09-05T09:36:58.118585+00:00,15.0,26.0,2026-09-05T09:37:03.118959+00:00,20.0,0.59,26.0,78.8,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050630-30|DOWN|SCALP|1788603638732,KXBTC15M-26SEP050630-30,DOWN,2026-09-05T10:20:38.732586+00:00,0.39,True,2026-09-05T10:20:43.726243+00:00,5.0,24.0,2026-09-05T10:21:28.722863+00:00,50.0,0.63,24.0,61.5,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050630-30|UP|SCALP|1788603823749,KXBTC15M-26SEP050630-30,UP,2026-09-05T10:23:43.749251+00:00,0.37,True,2026-09-05T10:24:13.709836+00:00,30.0,38.0,2026-09-05T10:24:18.706259+00:00,35.0,0.75,38.0,102.7,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050630-30|DOWN|SCALP|1788604078713,KXBTC15M-26SEP050630-30,DOWN,2026-09-05T10:27:58.713129+00:00,0.37,True,2026-09-05T10:28:28.729958+00:00,30.0,35.0,2026-09-05T10:28:33.729690+00:00,35.0,0.72,35.0,94.6,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050645-45|DOWN|SCALP|1788604523873,KXBTC15M-26SEP050645-45,DOWN,2026-09-05T10:35:23.873201+00:00,0.16,True,2026-09-05T10:35:43.918887+00:00,20.0,31.0,2026-09-05T10:35:48.877759+00:00,25.0,0.47,31.0,193.7,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050645-45|DOWN|SCALP|1788604943881,KXBTC15M-26SEP050645-45,DOWN,2026-09-05T10:42:23.881890+00:00,0.13,True,2026-09-05T10:42:58.914555+00:00,35.0,15.0,2026-09-05T10:43:03.886825+00:00,40.0,0.28,15.0,115.4,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP050700-00|UP|SCALP|1788605534493,KXBTC15M-26SEP050700-00,UP,2026-09-05T10:52:14.493408+00:00,0.37,True,2026-09-05T10:52:34.526600+00:00,20.0,32.0,2026-09-05T10:52:39.517236+00:00,25.0,0.69,32.0,86.5,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
