model,pool,threshold,selection_status,val_calls,val_accuracy,val_coverage,val_avg_ask,val_avg_time_left,hold_calls,hold_coverage,hold_accuracy,hold_avg_ask,hold_median_ask,hold_pct_le40,hold_pct_20_40,hold_avg_time_left,hold_median_time_left,fresh_calls,fresh_coverage,fresh_accuracy,fresh_avg_ask,fresh_median_ask,fresh_pct_le40,fresh_pct_20_40,fresh_avg_time_left,fresh_median_time_left
LOGISTIC,CHEAP50_BROAD,0.5,BEST_FALLBACK,8,0.75,0.2,0.38125000000000003,7.25,9,0.225,0.6666666666666666,0.39444444444444443,0.44,0.3333333333333333,0.2222222222222222,7.333333333333333,8.0,40,0.16,0.7,0.42074999999999996,0.44999999999999996,0.3,0.275,6.75,7.0
RANDOM_FOREST,CHEAP50_BROAD,0.5,BEST_FALLBACK,9,0.8888888888888888,0.225,0.36777777777777776,6.888888888888889,10,0.25,0.8,0.365,0.375,0.6,0.5,7.5,8.0,41,0.164,0.7560975609756098,0.38975609756097557,0.42,0.4146341463414634,0.34146341463414637,6.195121951219512,6.0
EXTRA_TREES,CHEAP50_BROAD,0.5,BEST_FALLBACK,11,0.9090909090909091,0.275,0.3854545454545455,6.545454545454546,11,0.275,0.7272727272727273,0.3718181818181818,0.39,0.5454545454545454,0.45454545454545453,7.181818181818182,8.0,40,0.16,0.75,0.39275000000000004,0.41,0.45,0.4,6.125,6.0
GRADIENT_BOOSTING,CHEAP50_BROAD,0.75,BEST_FALLBACK,8,0.75,0.2,0.38125,7.125,11,0.275,0.7272727272727273,0.3718181818181818,0.39,0.5454545454545454,0.45454545454545453,7.181818181818182,8.0,44,0.176,0.7045454545454546,0.41636363636363627,0.45999999999999996,0.2727272727272727,0.25,6.5227272727272725,7.0
