target_roi,stop_roi,model,gate,threshold,calls,accuracy,coverage,avg_ask,avg_target_c,avg_stop_c,avg_time
0.18,0.18,RF,PULLBACK,0.6,4,50.0,57.142857142857146,22.5,5.0,5.0,8.422412516666666
0.18,0.18,RF,PULLBACK,0.65,3,33.33333333333333,42.857142857142854,26.0,5.0,5.0,7.503129205555555
0.18,0.18,RF,PULLBACK,0.7,2,50.0,28.571428571428573,27.0,5.5,5.5,7.9511383083333325
0.18,0.18,RF,PULLBACK,0.75,2,50.0,28.571428571428573,26.0,5.5,5.5,7.5344373666666655
0.18,0.18,RF,PULLBACK,0.8,2,50.0,28.571428571428573,26.0,5.5,5.5,7.5344373666666655
0.18,0.18,RF,PULLBACK,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,6.0,5.754095
0.18,0.18,RF,PULLBACK,0.9,0,,0.0,,,,
0.18,0.18,RF,LAG,0.55,5,80.0,71.42857142857143,23.800000000000004,5.2,5.2,7.858124120000001
0.18,0.18,RF,LAG,0.6,5,80.0,71.42857142857143,23.800000000000004,5.2,5.2,7.824768146666666
0.18,0.18,RF,LAG,0.65,4,75.0,57.142857142857146,26.75,5.25,5.25,6.9858945708333335
0.18,0.18,RF,LAG,0.7,2,50.0,28.571428571428573,30.5,6.0,6.0,7.097596266666667
0.18,0.18,RF,LAG,0.75,1,0.0,14.285714285714286,28.000000000000004,6.0,6.0,5.754095
0.18,0.18,RF,LAG,0.8,1,0.0,14.285714285714286,28.000000000000004,6.0,6.0,5.754095
0.18,0.18,RF,LAG,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,6.0,5.754095
0.18,0.18,RF,LAG,0.9,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.55,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.6,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.65,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.7,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.75,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.8,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.85,0,,0.0,,,,
0.18,0.18,RF,BRTI,0.9,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.55,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.6,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.65,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.7,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.75,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.8,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.85,0,,0.0,,,,
0.18,0.18,RF,HYBRID,0.9,0,,0.0,,,,
0.18,0.18,HGB,OPEN,0.55,4,50.0,57.142857142857146,27.750000000000004,6.0,6.0,9.339114945833332
0.18,0.18,HGB,OPEN,0.6,4,50.0,57.142857142857146,27.750000000000004,6.0,6.0,9.339114945833332
0.18,0.18,HGB,OPEN,0.65,4,50.0,57.142857142857146,29.000000000000004,6.25,6.25,9.151575316666666
0.18,0.18,HGB,OPEN,0.7,4,50.0,57.142857142857146,29.000000000000004,6.25,6.25,9.151575316666666
0.18,0.18,HGB,OPEN,0.75,4,50.0,57.142857142857146,29.000000000000004,6.25,6.25,9.151575316666666
0.18,0.18,HGB,OPEN,0.8,4,50.0,57.142857142857146,29.000000000000004,6.25,6.25,9.151575316666666
0.18,0.18,HGB,OPEN,0.85,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.943235945833333
0.18,0.18,HGB,OPEN,0.9,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.943235945833333
0.18,0.18,HGB,PULLBACK,0.55,4,50.0,57.142857142857146,27.750000000000004,6.0,6.0,9.339114945833332
0.18,0.18,HGB,PULLBACK,0.6,4,50.0,57.142857142857146,27.750000000000004,6.0,6.0,9.339114945833332
0.18,0.18,HGB,PULLBACK,0.65,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.964033954166666
0.18,0.18,HGB,PULLBACK,0.7,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.964033954166666
0.18,0.18,HGB,PULLBACK,0.75,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.964033954166666
0.18,0.18,HGB,PULLBACK,0.8,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.943235945833333
0.18,0.18,HGB,PULLBACK,0.85,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.943235945833333
0.18,0.18,HGB,PULLBACK,0.9,4,25.0,57.142857142857146,27.500000000000004,5.75,5.75,8.943235945833333
0.18,0.18,HGB,LAG,0.55,4,75.0,57.142857142857146,25.000000000000007,5.5,5.5,8.943304175
0.18,0.18,HGB,LAG,0.6,4,75.0,57.142857142857146,25.000000000000007,5.5,5.5,8.943304175
0.18,0.18,HGB,LAG,0.65,4,75.0,57.142857142857146,26.25,5.75,5.75,8.755764545833333
0.18,0.18,HGB,LAG,0.7,4,75.0,57.142857142857146,26.25,5.75,5.75,8.755764545833333
0.18,0.18,HGB,LAG,0.75,4,75.0,57.142857142857146,26.25,5.75,5.75,8.734891883333333
0.18,0.18,HGB,LAG,0.8,4,75.0,57.142857142857146,26.25,5.75,5.75,8.734891883333333
0.18,0.18,HGB,LAG,0.85,4,50.0,57.142857142857146,24.750000000000004,5.25,5.25,8.5265525125
0.18,0.18,HGB,LAG,0.9,4,50.0,57.142857142857146,24.750000000000004,5.25,5.25,8.422465808333333
0.18,0.18,HGB,BRTI,0.55,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.6,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.65,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.7,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.75,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.8,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.85,0,,0.0,,,,
0.18,0.18,HGB,BRTI,0.9,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.55,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.6,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.65,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.7,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.75,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.8,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.85,0,,0.0,,,,
0.18,0.18,HGB,HYBRID,0.9,0,,0.0,,,,
0.18,0.25,LOGISTIC,OPEN,0.55,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,OPEN,0.6,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,OPEN,0.65,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,OPEN,0.7,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,OPEN,0.75,6,66.66666666666666,85.71428571428571,23.333333333333336,5.333333333333333,6.5,9.31147671111111
0.18,0.25,LOGISTIC,OPEN,0.8,6,66.66666666666666,85.71428571428571,23.333333333333336,5.333333333333333,6.5,9.31147671111111
0.18,0.25,LOGISTIC,OPEN,0.85,6,66.66666666666666,85.71428571428571,23.333333333333336,5.333333333333333,6.5,9.31147671111111
0.18,0.25,LOGISTIC,OPEN,0.9,4,50.0,57.142857142857146,27.750000000000004,6.0,7.5,9.359947895833333
0.18,0.25,LOGISTIC,PULLBACK,0.55,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,PULLBACK,0.6,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,PULLBACK,0.65,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,PULLBACK,0.7,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,6.428571428571429,9.203508985714285
0.18,0.25,LOGISTIC,PULLBACK,0.75,6,66.66666666666666,85.71428571428571,23.333333333333336,5.333333333333333,6.5,9.31147671111111
0.18,0.25,LOGISTIC,PULLBACK,0.8,6,66.66666666666666,85.71428571428571,23.333333333333336,5.333333333333333,6.5,9.31147671111111
0.18,0.25,LOGISTIC,PULLBACK,0.85,6,66.66666666666666,85.71428571428571,23.333333333333336,5.333333333333333,6.5,9.31147671111111
0.18,0.25,LOGISTIC,PULLBACK,0.9,4,50.0,57.142857142857146,27.750000000000004,6.0,7.5,9.359947895833333
0.18,0.25,LOGISTIC,LAG,0.55,6,83.33333333333334,85.71428571428571,21.500000000000004,5.0,6.0,9.019782750000001
0.18,0.25,LOGISTIC,LAG,0.6,6,83.33333333333334,85.71428571428571,21.500000000000004,5.0,6.0,9.019782750000001
0.18,0.25,LOGISTIC,LAG,0.65,6,83.33333333333334,85.71428571428571,22.666666666666668,5.0,6.166666666666667,8.117028030555556
0.18,0.25,LOGISTIC,LAG,0.7,6,83.33333333333334,85.71428571428571,22.666666666666668,5.0,6.166666666666667,8.047636894444445
0.18,0.25,LOGISTIC,LAG,0.75,6,83.33333333333334,85.71428571428571,22.666666666666668,5.0,6.166666666666667,8.047636894444445
0.18,0.25,LOGISTIC,LAG,0.8,6,83.33333333333334,85.71428571428571,22.666666666666668,5.0,6.166666666666667,8.047636894444445
0.18,0.25,LOGISTIC,LAG,0.85,4,50.0,57.142857142857146,25.0,5.5,7.0,8.633961016666667
0.18,0.25,LOGISTIC,LAG,0.9,3,33.33333333333333,42.857142857142854,27.666666666666668,6.0,7.666666666666667,8.457954477777777
0.18,0.25,LOGISTIC,BRTI,0.55,0,,0.0,,,,
0.18,0.25,LOGISTIC,BRTI,0.6,0,,0.0,,,,
0.18,0.25,LOGISTIC,BRTI,0.65,0,,0.0,,,,
0.18,0.25,LOGISTIC,BRTI,0.7,0,,0.0,,,,
0.18,0.25,LOGISTIC,BRTI,0.75,0,,0.0,,,,
0.18,0.25,LOGISTIC,BRTI,0.8,0,,0.0,,,,
