threshold,flagged,mistakes_caught,mistake_capture,good_flagged,false_warning_rate,clean_calls,clean_accuracy
50,58,23,0.7419354838709677,35,0.25735294117647056,109,0.926605504587156
75,37,19,0.6129032258064516,18,0.1323529411764706,130,0.9076923076923077
100,22,14,0.45161290322580644,8,0.058823529411764705,145,0.8827586206896552
125,15,12,0.3870967741935484,3,0.022058823529411766,152,0.875
150,11,10,0.3225806451612903,1,0.007352941176470588,156,0.8653846153846154
175,6,6,0.1935483870967742,0,0.0,161,0.84472049689441
200,3,3,0.0967741935483871,0,0.0,164,0.8292682926829268
250,2,2,0.06451612903225806,0,0.0,165,0.8242424242424242
