ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,start,snapshot_utc,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct
KXBTC15M-26AUG302015-15,6.0,9.0,0,-111.23000000001048,111.23000000001048,-0.0014316094685722335,-36.84000000001106,-0.0004746115052323349,-149.3000000000029,-219.93000000000757,-173.44000000000233,-93.38999999999942,149.3000000000029,219.93000000000757,173.44000000000233,93.38999999999942,250.02999999999884,0.0011636887525843132,12.358888888890053,0.44486661600612326,1,1,2026-08-31 00:00:00+00:00,2026-08-31 00:06:00+00:00,0.20118808672019875,0.7988119132798013,0,DOWN,0.7988119132798013,2026-08-31 00:06:00+00:00,0.59,0.58,0.42000000000000004,0.42000000000000004,0.37881191327980124,False
KXBTC15M-26AUG302145-45,9.0,6.0,1,61.09999999999127,61.09999999999127,0.0007855695880939956,73.72000000000116,0.0009479801669998636,132.6600000000035,39.16000000000349,120.7899999999936,139.06999999999243,132.6600000000035,39.16000000000349,120.7899999999936,139.06999999999243,264.0500000000029,0.0010831348556853554,10.183333333331879,0.23139556902098313,0,1,2026-08-31 01:30:00+00:00,2026-08-31 01:39:00+00:00,0.8509425326091525,0.14905746739084746,1,UP,0.8509425326091525,2026-08-31 01:39:00+00:00,0.23,0.22,0.78,0.23,0.6209425326091526,False
KXBTC15M-26AUG310045-45,9.0,6.0,1,40.63999999999942,40.63999999999942,0.0005242872454226707,36.50999999999476,0.00047098197613503964,74.91999999999825,30.40999999998894,63.220000000001164,78.25,74.91999999999825,30.40999999998894,63.220000000001164,78.25,115.95999999999185,0.00055306956827234,6.773333333333237,0.3504656778199575,1,0,2026-08-31 04:30:00+00:00,2026-08-31 04:39:00+00:00,0.8008262250857817,0.19917377491421828,1,UP,0.8008262250857817,2026-08-31 04:39:00+00:00,0.32,0.31,0.69,0.32,0.4808262250857817,True
KXBTC15M-26AUG310100-00,8.0,7.0,1,46.91000000000349,46.91000000000349,0.0006048598964737157,45.5399999999936,0.0005871846751245878,121.33000000000175,107.98999999999069,102.06999999999243,89.86999999999534,121.33000000000175,107.98999999999069,102.06999999999243,89.86999999999534,156.47000000000116,0.0006918159505944259,6.70142857142907,0.29980187895445226,1,0,2026-08-31 04:45:00+00:00,2026-08-31 04:53:00+00:00,0.7993844622612953,0.20061553773870466,1,UP,0.7993844622612953,2026-08-31 04:53:00+00:00,0.15,0.14,0.86,0.15,0.6493844622612953,True
KXBTC15M-26AUG310200-00,12.0,3.0,1,28.010000000009313,28.010000000009313,0.00035926768905977064,16.210000000006403,0.00020788461057552236,38.270000000004075,4.230000000010477,6.430000000007567,-35.20999999999185,38.270000000004075,4.230000000010477,6.430000000007567,-35.20999999999185,93.48999999999069,0.00038457551709076524,9.336666666669771,0.2996042357472682,1,0,2026-08-31 05:45:00+00:00,2026-08-31 05:57:00+00:00,0.8453290959075478,0.1546709040924522,1,UP,0.8453290959075478,2026-08-31 05:57:00+00:00,0.39,0.38,0.62,0.39,0.4553290959075478,True
KXBTC15M-26AUG310230-30,11.0,4.0,1,35.520000000004075,35.520000000004075,0.0004553328358685887,-47.89999999999418,-0.000613376813511221,38.179999999993015,51.979999999995925,61.220000000001164,12.190000000002328,38.179999999993015,51.979999999995925,61.220000000001164,12.190000000002328,83.81999999999243,0.00023004430037330625,8.880000000001019,0.4237652111668728,0,1,2026-08-31 06:15:00+00:00,2026-08-31 06:26:00+00:00,0.7894995508977503,0.21050044910224974,1,UP,0.7894995508977503,2026-08-31 06:26:00+00:00,0.43,0.42,0.5800000000000001,0.43,0.35949955089775026,False
KXBTC15M-26AUG310300-00,11.0,4.0,0,-44.38000000000466,44.38000000000466,-0.000568370647331708,-33.80999999999767,-0.0004330602359761707,-41.06999999999243,-63.5,-69.58999999999651,-9.80000000000291,41.06999999999243,63.5,69.58999999999651,9.80000000000291,87.41999999999825,0.00026357581679246005,11.095000000001164,0.5076641500801367,0,0,2026-08-31 06:45:00+00:00,2026-08-31 06:56:00+00:00,0.2392355485835009,0.7607644514164991,0,DOWN,0.7607644514164991,2026-08-31 06:56:00+00:00,0.61,0.59,0.41000000000000003,0.41000000000000003,0.35076445141649903,True
KXBTC15M-26AUG310345-45,9.0,6.0,1,32.7899999999936,32.7899999999936,0.00041927970585199637,76.51999999998952,0.0009789946037590926,49.98999999999069,12.039999999993597,19.389999999999418,62.13999999999942,49.98999999999069,12.039999999993597,19.389999999999418,62.13999999999942,74.41000000000349,0.00042014021541273225,5.464999999998933,0.4406665770728673,1,0,2026-08-31 07:30:00+00:00,2026-08-31 07:39:00+00:00,0.8548286200283649,0.1451713799716351,1,UP,0.8548286200283649,2026-08-31 07:39:00+00:00,0.39,0.38,0.62,0.39,0.4648286200283649,True
KXBTC15M-26AUG310515-15,5.0,10.0,1,47.080000000001746,47.080000000001746,0.0006000449396443975,50.94000000000233,0.0006492734293835144,122.19000000000233,123.54999999998836,99.61999999999534,50.94000000000233,122.19000000000233,123.54999999998836,99.61999999999534,50.94000000000233,158.10000000000582,0.0007719352675434983,4.708000000000174,0.2977862112586971,1,0,2026-08-31 09:00:00+00:00,2026-08-31 09:05:00+00:00,0.8018745263128559,0.19812547368714406,1,UP,0.8018745263128559,2026-08-31 09:05:00+00:00,0.25,0.24,0.76,0.25,0.5518745263128559,True
KXBTC15M-26AUG310700-00,6.0,9.0,1,35.529999999998836,35.529999999998836,0.00045258580882993047,63.729999999995925,0.0008120928306334199,59.970000000001164,50.0399999999936,20.470000000001164,33.979999999995925,59.970000000001164,50.0399999999936,20.470000000001164,33.979999999995925,66.10000000000582,0.000433831596217843,3.9477777777776484,0.5375189107412361,1,0,2026-08-31 10:45:00+00:00,2026-08-31 10:51:00+00:00,0.8454346031417396,0.15456539685826043,1,UP,0.8454346031417396,2026-08-31 10:51:00+00:00,0.39,0.38,0.62,0.39,0.45543460314173956,True
