timestamp_utc,contract,side,side_num,seconds_left,minutes_left,side_ask,side_bid,side_spread,quote_advantage,btc_gap_side,abs_btc_gap,btc_move_5s_side,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,btc_move_120s_side,ask_move_5s,ask_move_15s,ask_move_30s,ask_move_60s,ask_move_120s,recent_low_30s,recent_low_60s,recent_low_120s,recent_high_30s,recent_high_60s,recent_high_120s,bounce_from_60s_low,drawdown_from_60s_high,side_fair,side_edge,fair_move_5s_side,fair_move_15s_side,fair_move_30s_side,brti_gap_side,brti_minus_coinbase_side,brti_age_seconds,brti_agrees_side,result,final_up,correct
2026-09-03 04:08:33.394632+00:00,KXBTC15M-26SEP030015-15,DOWN,0,386.61,6.4435,0.18,0.17,0.0099999999999999,0.6499999999999999,-55.070000000006985,55.070000000006985,,,,,,,,,,,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,,,,,,,,,0.0,no,0,1
2026-09-03 04:08:38.457397+00:00,KXBTC15M-26SEP030015-15,DOWN,0,381.54,6.359,0.14,0.13,0.01,0.73,-65.2100000000064,65.2100000000064,-10.139999999999418,,,,,-0.0399999999999999,,,,,0.14,0.14,0.14,0.18,0.18,0.18,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 04:08:43.393677+00:00,KXBTC15M-26SEP030015-15,DOWN,0,376.61,6.276833333333333,0.14,0.13,0.01,0.73,-65.2100000000064,65.2100000000064,-10.139999999999418,,,,,-0.0399999999999999,,,,,0.14,0.14,0.14,0.18,0.18,0.18,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 04:08:48.400827+00:00,KXBTC15M-26SEP030015-15,DOWN,0,371.6,6.193333333333333,0.14,0.13,0.01,0.73,-65.2100000000064,65.2100000000064,-0.0,-10.139999999999418,,,,0.0,-0.0399999999999999,,,,0.14,0.14,0.14,0.18,0.18,0.18,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 04:08:53.400041+00:00,KXBTC15M-26SEP030015-15,DOWN,0,366.6,6.11,0.14,0.13,0.01,0.73,-65.2100000000064,65.2100000000064,-0.0,-10.139999999999418,,,,0.0,-0.0399999999999999,,,,0.14,0.14,0.14,0.18,0.18,0.18,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 04:08:58.439452+00:00,KXBTC15M-26SEP030015-15,DOWN,0,361.56,6.026,0.14,0.13,0.01,0.73,-73.19999999999709,73.19999999999709,-7.989999999990687,-7.989999999990687,,,,0.0,0.0,,,,0.14,0.14,0.14,0.18,0.18,0.18,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 04:09:03.391866+00:00,KXBTC15M-26SEP030015-15,DOWN,0,356.61,5.9435,0.14,0.13,0.01,0.73,-69.94000000000233,69.94000000000233,-4.7299999999959255,-4.7299999999959255,,,,0.0,0.0,,,,0.14,0.14,0.14,0.18,0.18,0.18,0.0,0.0399999999999999,,,,,,,,,0.0,no,0,1
2026-09-03 04:09:08.411820+00:00,KXBTC15M-26SEP030015-15,DOWN,0,351.59,5.859833333333333,0.094,0.093,0.001,0.8130000000000001,-73.2100000000064,73.2100000000064,-3.2700000000040745,-8.0,-18.139999999999414,,,-0.046,-0.046,-0.086,,,0.094,0.094,0.094,0.14,0.18,0.18,0.0,0.086,,,,,,,,,0.0,no,0,1
2026-09-03 04:09:13.390370+00:00,KXBTC15M-26SEP030015-15,DOWN,0,346.61,5.776833333333333,0.094,0.093,0.001,0.8130000000000001,-73.2100000000064,73.2100000000064,-3.2700000000040745,-8.0,-8.0,,,-0.046,-0.046,-0.046,,,0.094,0.094,0.094,0.14,0.18,0.18,0.0,0.086,,,,,,,,,0.0,no,0,1
2026-09-03 04:09:18.451437+00:00,KXBTC15M-26SEP030015-15,DOWN,0,341.55,5.6925,0.094,0.093,0.001,0.8130000000000001,-73.2100000000064,73.2100000000064,-0.0,-3.2700000000040745,-8.0,,,0.0,-0.046,-0.046,,,0.094,0.094,0.094,0.14,0.18,0.18,0.0,0.086,,,,,,,,,0.0,no,0,1
