contract,correct,time_left,reversal_state,preferred_fair,abs_btc_gap,dist_over_range5
KXBTC15M-26SEP032315-15,True,7.9861075,MIXED,0.9201156030440324,145.02999999999884,1.2923721261806926
KXBTC15M-26SEP032330-30,True,0.8139768833333334,PUSH,0.9043558385261626,90.04000000000815,1.064554268148573
KXBTC15M-26SEP040000-00,True,5.463976833333334,MIXED,0.9005623106989135,70.35000000000582,1.3402552867212574
KXBTC15M-26SEP040030-30,True,7.949529066666667,MIXED,0.9209295448895785,125.61999999999534,1.6156913183279145
KXBTC15M-26SEP040045-45,True,5.94249665,PUSH,0.9049498379360617,175.3399999999965,1.615441311958788
KXBTC15M-26SEP040130-30,True,6.59804145,PUSH,0.9188758518538064,99.25999999999476,1.066738312734999
KXBTC15M-26SEP040145-45,True,1.926176916666667,MIXED,0.9016521995101356,75.16000000000349,1.300121086317359
KXBTC15M-26SEP040200-00,False,5.840347566666667,MIXED,0.9018939639641544,103.43000000000757,2.404230590423007
KXBTC15M-26SEP040845-45,True,6.752442966666666,AGAINST,0.906654828777173,1634.75,2.9150320970042647
KXBTC15M-26SEP040915-15,True,0.9825267,PUSH,0.9042648276231962,189.99000000000524,1.5683506686478963
KXBTC15M-26SEP040930-30,True,7.972311033333333,PUSH,0.9207526410751354,191.4499999999971,1.6659415245388096
KXBTC15M-26SEP041000-00,False,7.9520107,MIXED,0.918411987317043,184.90000000000876,1.148732604373766
KXBTC15M-26SEP041045-45,True,3.9207573,MIXED,0.9017820118747272,181.0100000000093,1.213854613734006
KXBTC15M-26SEP041100-00,True,4.996817533333333,MIXED,0.9004630893058728,184.77000000000407,1.3968097973994988
KXBTC15M-26SEP041115-15,True,6.991721966666666,PUSH,0.9211185333432812,143.1600000000035,1.0797194358549458
KXBTC15M-26SEP041130-30,True,6.814702183333334,PUSH,0.9007040297528921,80.95999999999185,1.4060437651960644
KXBTC15M-26SEP041145-45,True,4.973562983333333,PUSH,0.9213323437263784,124.9600000000064,1.1480018373909024
KXBTC15M-26SEP041200-00,True,3.2968827666666667,PUSH,0.90148793228297,121.35000000000582,1.1869131455399022
KXBTC15M-26SEP041215-15,True,1.9482472833333333,PUSH,0.9193539597389112,63.35000000000582,1.4296998420223237
KXBTC15M-26SEP041230-30,True,2.0237212333333336,PUSH,0.91677199576662,66.02999999999884,1.0487611181703842
KXBTC15M-26SEP041245-45,True,7.930045216666667,AGAINST,0.9218411262283714,226.7899999999936,1.4106487528768326
KXBTC15M-26SEP041300-00,True,0.9277663666666668,AGAINST,0.9018535670699028,74.33999999999651,1.027079303674934
KXBTC15M-26SEP041315-15,True,3.9252986333333335,MIXED,0.9027545617503248,86.75999999999476,1.2634338138924854
KXBTC15M-26SEP041330-30,True,1.99937615,AGAINST,0.9022320888782656,77.21999999998661,1.6195469798657285
KXBTC15M-26SEP041415-15,True,7.97640385,PUSH,0.906131813735949,111.91999999999824,2.118493280333041
KXBTC15M-26SEP041430-30,True,7.969580616666667,PUSH,0.9129639065542235,81.01999999998952,1.1074357572441995
KXBTC15M-26SEP041445-45,True,2.9660234,MIXED,0.9099986591753092,79.55000000000291,1.2539407313997477
KXBTC15M-26SEP041630-30,True,3.21095705,MIXED,0.904644632816616,68.41000000000349,1.1497478991597223
KXBTC15M-26SEP041645-45,True,1.950470183333333,MIXED,0.9198185127770038,64.00999999999476,1.6866930171271444
KXBTC15M-26SEP041715-15,True,6.680651466666666,PUSH,0.9019505119552804,91.19999999999708,1.798107255520406
KXBTC15M-26SEP041800-00,True,2.937856033333333,MIXED,0.9020961171646312,155.66999999999825,1.0108441558441446
KXBTC15M-26SEP041930-30,True,5.984438233333334,PUSH,0.91642791817827,79.26999999998952,1.1783856102272146
