ticker,call_time,correct,call_side,official_side,initial_fair,initial_remaining_min,initial_distance,initial_signed_distance,drop_3m,end_signed_3m,flip_3m,drop_4m,end_signed_4m,flip_4m,drop_5m,end_signed_5m,flip_5m,drop_6m,end_signed_6m,flip_6m
KXBTC15M-26AUG231100-00,2026-08-23 14:49:43.735041+00:00,True,UP,UP,0.8018867924528301,10.27108265,120.10000000000582,120.10000000000582,0.0,156.02999999999884,False,3.8100000000122236,154.5899999999965,False,3.8100000000122236,136.33000000000175,False,3.8100000000122236,177.4100000000035,False
KXBTC15M-26AUG231115-15,2026-08-23 15:06:43.848379+00:00,True,UP,UP,0.890625,8.269193683333333,158.84999999999127,158.84999999999127,80.25999999999476,93.7899999999936,False,80.25999999999476,125.5799999999872,False,80.25999999999476,105.93999999998778,False,94.92999999999302,63.919999999998254,False
KXBTC15M-26AUG231130-30,2026-08-23 15:19:43.688140+00:00,False,DOWN,UP,0.9301075268817204,10.271864333333331,-217.74000000000524,217.74000000000524,180.35000000000582,37.38999999999942,False,272.97000000000116,-55.229999999995925,True,272.97000000000116,-2.1699999999982538,True,272.97000000000116,-28.169999999998254,True
KXBTC15M-26AUG231200-00,2026-08-23 15:50:43.832562+00:00,True,DOWN,DOWN,0.8018867924528301,9.2694573,-104.7899999999936,104.7899999999936,21.879999999990105,90.14999999999418,False,21.879999999990105,106.33999999999652,False,21.879999999990105,119.2100000000064,False,21.879999999990105,99.08999999999652,False
KXBTC15M-26AUG231215-15,2026-08-23 16:03:43.928489+00:00,True,UP,UP,0.8018867924528301,11.267858516666667,121.20999999999184,121.20999999999184,26.269999999989523,108.23999999999069,False,42.11000000000057,80.08000000000175,False,42.11000000000057,82.29999999998836,False,42.11000000000057,86.41999999999825,False
KXBTC15M-26AUG231245-45,2026-08-23 16:35:13.851552+00:00,True,UP,UP,0.9301075268817204,9.7691408,111.5,111.5,88.97000000000116,22.52999999999884,False,88.97000000000116,38.84999999999127,False,88.97000000000116,78.76999999998952,False,88.97000000000116,51.169999999998254,False
KXBTC15M-26AUG231315-15,2026-08-23 17:03:13.925271+00:00,True,DOWN,DOWN,0.8018867924528301,11.76791215,-150.5500000000029,150.5500000000029,26.779999999998836,123.77000000000407,False,46.38999999999943,104.16000000000348,False,68.75,139.61000000000058,False,68.75,107.55000000000292,False
KXBTC15M-26AUG231530-30,2026-08-23 19:20:48.459643+00:00,True,UP,UP,0.8018867924528301,9.192339283333332,61.73999999999069,61.73999999999069,14.410000000003485,47.3299999999872,False,14.410000000003485,59.36999999999534,False,17.139999999999418,48.0,False,17.139999999999418,49.379999999990105,False
KXBTC15M-26AUG231600-00,2026-08-23 19:51:35.947025+00:00,True,DOWN,DOWN,0.8018867924528301,8.400882916666667,-40.55999999999767,40.55999999999767,6.44999999999709,40.26000000000931,False,6.44999999999709,39.44999999999709,False,6.44999999999709,72.13999999999942,False,6.44999999999709,90.80999999999769,False
KXBTC15M-26AUG231615-15,2026-08-23 20:03:09.747010+00:00,True,DOWN,DOWN,0.8018867924528301,11.837549833333332,-140.05999999999767,140.05999999999767,56.11999999999534,101.86000000000058,False,56.11999999999534,123.76000000000931,False,56.11999999999534,102.52000000000407,False,56.11999999999534,87.18000000000757,False
