timestamp_utc,contract,elapsed_min,time_left_min,btc_price,kalshi_target,target_gap_dollars,up_ask,down_ask,raw_general_side,raw_general_confidence,fair_ready,fair_up,fair_down,fair_preferred_side,fair_preferred,fair_flip_prob,fair_stay_prob,preferred_kalshi_ask,fair_edge_vs_ask,opportunity_status,price_zone,ladder_status,ladder_direction,ladder_confidence,checkpoints,expected_final_outcome,final_status,final_side,final_confidence,final_call_source,decisive_fair_ready,required_gap,dist_over_range5,legacy_final_ready,strict_distance_pct,directional_agreement,confidence_change,strict_model_ready,brti_kalshi_gate_ready
2026-09-02T21:55:19.077776+00:00,KXBTC15M-26SEP021800-00,10.016160316666666,4.9838396833333345,77276.18,77404.3,-128.1200000000099,0.055,0.946,UP,0.5433124740618367,True,0.10898612720756112,0.8910138727924388,DOWN,0.8910138727924388,0.10898612720756112,0.8910138727924388,0.946,-0.05498612720756113,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5433124740618367,9,DOWN,PASS,NONE,,NONE,False,50.0,2.6542365858711223,False,0.001654689289710909,1,-0.017949060730915622,False,False
2026-09-02T22:01:48.405930+00:00,KXBTC15M-26SEP021815-15,1.5060046,13.4939954,77231.43,77272.69,-41.26000000000931,0.41,0.6,UP,0.5657521525715704,True,0.33837226053231895,0.661627739467681,DOWN,0.661627739467681,0.33837226053231895,0.661627739467681,0.6,0.061627739467681075,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5657521525715704,,DOWN,PASS,NONE,,NONE,False,75.0,0.5409728595779089,False,0.0004505201754351207,0,0.04637533648487069,False,False
2026-09-02T22:03:24.869490+00:00,KXBTC15M-26SEP021815-15,3.1180703666666667,11.881929633333334,77233.77,77272.69,-38.919999999998254,0.28,0.73,UP,0.5456275898456077,True,0.26924099311565336,0.7307590068843466,DOWN,0.7307590068843466,0.26924099311565336,0.7307590068843466,0.73,0.0007590068843466025,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5456275898456077,,DOWN,PASS,NONE,,NONE,False,75.0,0.6447978793902895,False,0.00042023527998780175,1,0.02625077375890794,False,False
2026-09-02T22:05:00.829888+00:00,KXBTC15M-26SEP021815-15,4.71456395,10.285436050000001,77174.33,77272.69,-98.36000000000058,0.29,0.72,UP,0.5167876171514901,False,,,,,,,0.29,0.22678761715149015,WATCH,DEEP VALUE <=30c,RAW FORECAST,UP,0.5167876171514901,,DOWN,PASS,NONE,,NONE,False,75.0,,False,0.0011895233933992833,1,-0.002589198935209591,False,False
2026-09-02T22:06:36.061733+00:00,KXBTC15M-26SEP021815-15,6.294400866666667,8.705599133333333,77124.84,77272.69,-147.85000000000582,0.13,0.88,DOWN,0.6014186402932428,True,0.10421295556791009,0.8957870444320899,DOWN,0.8957870444320899,0.10421295556791009,0.8957870444320899,0.88,0.01578704443208989,WAIT,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.6014186402932428,,DOWN,PASS,NONE,,NONE,False,75.0,1.3089862771138525,False,0.0018300359898451024,3,0.08204182420654305,False,True
2026-09-02T22:08:11.634978+00:00,KXBTC15M-26SEP021815-15,7.8970747999999995,7.1029252000000005,77109.74,77272.69,-162.9499999999971,0.073,0.928,DOWN,0.5882803782980855,True,0.08537947594153682,0.9146205240584632,DOWN,0.9146205240584632,0.08537947594153682,0.9146205240584632,0.928,-0.013379475941536878,WAIT,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5882803782980855,7,DOWN,FINAL CALL,DOWN,0.9146205240584632,TOURNAMENT WINNER,True,75.0,2.3077467780766994,False,0.002025464161320656,2,0.06890356221138583,False,True
2026-09-02T22:09:47.050017+00:00,KXBTC15M-26SEP021815-15,9.482145483333333,5.517854516666667,77103.02,77272.69,-169.66999999999825,0.042,0.959,DOWN,0.5904093155339972,True,0.08674862362105976,0.9132513763789403,DOWN,0.9132513763789403,0.08674862362105976,0.9132513763789403,0.959,-0.04574862362105969,WAIT,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5904093155339972,"7,9",DOWN,FINAL CALL,DOWN,0.9132513763789403,TOURNAMENT WINNER,True,50.0,3.2466513585910453,False,0.002112436168758891,3,0.0710324994472975,False,True
2026-09-02T22:11:22.604227+00:00,KXBTC15M-26SEP021815-15,11.070987583333334,3.929012416666666,77059.07,77272.69,-213.61999999999534,0.013,0.988,DOWN,0.5959544280612822,True,0.08606692949779966,0.9139330705022003,DOWN,0.9139330705022003,0.08606692949779966,0.9139330705022003,0.988,-0.0740669294977997,WAIT,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5959544280612822,"7,9,11",DOWN,FINAL CALL,DOWN,0.9139330705022003,TOURNAMENT WINNER,True,50.0,2.5846339987897493,False,0.0026812486281201364,3,0.07657761197458246,False,True
2026-09-02T22:12:57.468754+00:00,KXBTC15M-26SEP021815-15,12.661415233333335,2.3385847666666653,77107.03,77272.69,-165.6600000000035,0.002,0.999,UP,0.5394142617365713,True,0.08577958792267461,0.9142204120773254,DOWN,0.9142204120773254,0.08577958792267461,0.9142204120773254,0.999,-0.08477958792267459,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5394142617365713,"7,9,11",DOWN,FINAL CALL,DOWN,0.9142204120773254,TOURNAMENT WINNER,True,50.0,2.0045982575024763,False,0.0020605376940822095,2,0.020037445649871533,False,False
2026-09-02T22:14:32.370361+00:00,KXBTC15M-26SEP021815-15,14.241764333333332,0.7582356666666676,77128.81,77272.69,-143.88000000000466,0.001,1.0,UP,0.5358352925541638,True,0.0949142483111393,0.9050857516888607,DOWN,0.9050857516888607,0.0949142483111393,0.9050857516888607,1.0,-0.09491424831113926,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5358352925541638,"7,9,11",DOWN,FINAL CALL,DOWN,0.9050857516888607,TOURNAMENT WINNER,True,50.0,1.2045207199664347,False,0.0017786552056888727,2,0.016458476467464123,False,False
2026-09-02T22:16:07.337916+00:00,KXBTC15M-26SEP021830-30,0.82576025,14.17423975,77145.32,77144.31,1.0100000000093132,0.4,0.61,UP,0.531767265971477,True,0.6611383314114196,0.3388616685885803,UP,0.6611383314114196,0.3388616685885803,0.6611383314114196,0.4,0.2611383314114196,VALUE WATCH,ATTRACTIVE 31-40c,RAW FORECAST,UP,0.531767265971477,,DOWN,PASS,NONE,,NONE,False,75.0,0.01617811949398031,False,0.0002399943677173777,2,0.004105508105424205,False,False
2026-09-02T22:17:43.274119+00:00,KXBTC15M-26SEP021830-30,2.4174952666666667,12.582504733333334,77099.65,77144.31,-44.66000000000349,0.57,0.44,UP,0.581418314255428,True,0.2979367693481378,0.7020632306518622,DOWN,0.7020632306518622,0.2979367693481378,0.7020632306518622,0.44,0.26206323065186216,OPPORTUNITY,ACCEPTABLE 41-50c,RAW FORECAST,UP,0.581418314255428,,DOWN,PASS,NONE,,NONE,False,75.0,0.5234411626816671,False,0.0003521473272394271,1,0.04965104828395095,False,False
2026-09-02T22:19:17.769889+00:00,KXBTC15M-26SEP021830-30,4.004129933333333,10.995870066666667,77122.36,77144.31,-21.94999999999709,0.49,0.52,UP,0.5670290903816936,True,0.25916604833096235,0.7408339516690376,DOWN,0.7408339516690376,0.25916604833096235,0.7408339516690376,0.52,0.22083395166903763,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5670290903816936,,DOWN,PASS,NONE,,NONE,False,75.0,0.29356693861168776,False,5.7697187268557215e-05,1,0.035261824410216525,False,False
2026-09-02T22:20:52.502396+00:00,KXBTC15M-26SEP021830-30,5.5845652333333335,9.415434766666667,77061.14,77144.31,-83.16999999999825,0.22,0.79,UP,0.5907513210376755,True,0.2374380630706778,0.7625619369293222,DOWN,0.7625619369293222,0.2374380630706778,0.7625619369293222,0.79,-0.027438063070677865,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5907513210376755,,DOWN,PASS,NONE,,NONE,False,75.0,0.886957449077473,False,0.0008514548961638946,0,0.058984055066198415,False,False
2026-09-02T22:22:26.604538+00:00,KXBTC15M-26SEP021830-30,7.146935116666667,7.853064883333333,77032.4,77144.31,-111.91000000000349,0.15,0.86,UP,0.5978523298421213,True,0.1275557520013011,0.8724442479986989,DOWN,0.8724442479986989,0.1275557520013011,0.8724442479986989,0.86,0.01244424799869892,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5978523298421213,7,DOWN,PASS,NONE,,NONE,False,75.0,1.1324630641571753,False,0.0012240879662986925,0,0.06608506387064428,False,False
2026-09-02T22:24:00.502932+00:00,KXBTC15M-26SEP021830-30,8.719232466666666,6.280767533333334,77023.45,77144.31,-120.86000000000058,0.12,0.89,UP,0.6082823235358805,False,,,,,,,0.12,0.4882823235358805,WATCH,DEEP VALUE <=30c,RAW FORECAST,UP,0.6082823235358805,"7,8",DOWN,PASS,NONE,,NONE,False,75.0,,False,0.0013401306238388644,0,0.07651505756440347,False,False
2026-09-02T22:25:34.344314+00:00,KXBTC15M-26SEP021830-30,10.276354233333333,4.723645766666667,77030.2,77144.31,-114.11000000000058,0.081,0.92,UP,0.6036884507527805,True,0.08397341137210766,0.9160265886278923,DOWN,0.9160265886278923,0.08397341137210766,0.9160265886278923,0.92,-0.003973411372107716,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.6036884507527805,"7,8,9",DOWN,FINAL CALL,DOWN,0.9160265886278923,TOURNAMENT WINNER,True,50.0,4.89532389532441,False,0.0012526124184314424,0,0.0719211847813035,False,False
2026-09-02T22:27:09.498648+00:00,KXBTC15M-26SEP021830-30,11.857428383333334,3.1425716166666664,77003.71,77144.31,-140.59999999999127,0.013,0.988,UP,0.5325358151064224,True,0.08473528108443217,0.9152647189155678,DOWN,0.9152647189155678,0.08473528108443217,0.9152647189155678,0.988,-0.07273528108443217,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5325358151064224,"7,8,9,11",DOWN,FINAL CALL,DOWN,0.9152647189155678,TOURNAMENT WINNER,True,50.0,3.603280369040917,False,0.001596072753430211,1,0.0007685491349453955,False,False
2026-09-02T22:28:44.206746+00:00,KXBTC15M-26SEP021830-30,13.434627233333334,1.5653727666666661,77033.59,77144.31,-110.72000000000116,0.001,1.0,UP,0.5941504969056374,True,0.08815062786823046,0.9118493721317695,DOWN,0.9118493721317695,0.08815062786823046,0.9118493721317695,1.0,-0.08815062786823047,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5941504969056374,"7,8,9,11",DOWN,FINAL CALL,DOWN,0.9118493721317695,TOURNAMENT WINNER,True,50.0,2.8208917197452528,False,0.0012086588308267698,3,0.062383230934160316,False,False
2026-09-02T22:30:19.113743+00:00,,,,76992.7,,,,,UP,0.5198999445546628,False,,,,,,,,,WATCH,NO LIVE ASK,RAW FORECAST,UP,0.5198999445546628,,UP,PASS,NONE,,NONE,False,50.0,,False,,0,,False,False
2026-09-02T22:31:53.240329+00:00,KXBTC15M-26SEP021845-45,1.5935995833333334,13.406400416666667,76998.01,77006.46,-8.450000000011642,0.76,0.25,UP,0.6475406566975259,True,0.5114422664548169,0.48855773354518306,UP,0.5114422664548169,0.5114422664548169,0.48855773354518306,0.76,-0.24855773354518307,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.6475406566975259,,UP,PASS,NONE,,NONE,False,75.0,0.15116279069785907,False,0.00010871592593497681,1,0.11712935514943434,False,False
2026-09-02T22:33:28.166102+00:00,KXBTC15M-26SEP021845-45,3.1663403666666667,11.833659633333333,77055.69,77006.46,49.229999999995925,0.77,0.24,UP,0.5036041970331097,True,0.8601784466854364,0.13982155331456358,UP,0.8601784466854364,0.13982155331456358,0.8601784466854364,0.77,0.0901784466854364,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5036041970331097,,UP,PASS,NONE,,NONE,False,75.0,0.7078360891444122,False,0.0008579076353649739,3,-0.026807104514981916,False,True
2026-09-02T22:35:01.864305+00:00,KXBTC15M-26SEP021845-45,4.7365365,10.2634635,77055.41,77006.46,48.94999999999709,0.8,0.21,UP,0.5418509071437856,False,,,,,,,0.8,-0.25814909285621446,WATCH,EXPENSIVE / WAIT,RAW FORECAST,UP,0.5418509071437856,,UP,PASS,NONE,,NONE,False,75.0,,False,0.0008542707824066298,2,0.011439605595694013,False,True
2026-09-02T22:36:36.416641+00:00,KXBTC15M-26SEP021845-45,6.314816916666667,8.685183083333333,77056.81,77006.46,50.34999999999127,0.79,0.22,UP,0.542970454335364,True,0.8862623239290099,0.11373767607099,UP,0.8862623239290099,0.11373767607099,0.8862623239290099,0.79,0.09626232392900991,WAIT,EXPENSIVE / WAIT,RAW FORECAST,UP,0.542970454335364,,UP,PASS,NONE,,NONE,False,75.0,0.8476430976430337,False,0.0008724550471985726,1,0.012559152787272376,False,True
