fair_min,max_time_left,early_boundary,early_gap,late_gap,min_support,min_dist_range,calls,contracts,coverage,accuracy,avg_time_left,median_time_left,pct_calls_5plus_min_left,avg_gap,avg_fair,validation_rank
0.9,8.0,6.0,75.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,1
0.9,8.0,6.0,90.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,2
0.9,8.0,6.0,100.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,3
0.9,8.0,7.0,75.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,4
0.9,8.0,7.0,90.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,5
0.9,8.0,7.0,100.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,6
0.9,8.0,8.0,75.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,7
0.9,8.0,8.0,90.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,8
0.9,8.0,8.0,100.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,9
0.9,8.0,8.0,110.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,10
0.9,8.0,8.0,125.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,11
0.9,8.0,8.0,150.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.18,5.0,0.64,276.8204000000007,0.9146206543994458,12
0.9,8.0,6.0,110.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.16,5.0,0.64,277.93400000000054,0.914643484783989,13
0.9,8.0,7.0,110.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.16,5.0,0.64,277.93400000000054,0.914643484783989,14
0.9,8.0,7.0,125.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.16,5.0,0.64,277.93400000000054,0.914643484783989,15
0.9,8.0,7.0,150.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.16,5.0,0.64,277.93400000000054,0.914643484783989,16
0.9,8.0,6.0,125.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.02,5.0,0.62,278.2104000000007,0.9145938020021643,17
0.9,8.0,6.0,150.0,50.0,0,1.0,50,99,0.5050505050505051,1.0,5.02,5.0,0.62,278.2104000000007,0.9145938020021643,18
