ticker,call_time,call_side,winner,correct,signal_status,initial_fair,initial_remaining_min,initial_distance,drop_4m_max,drop_6m_max,layer_a_state,first_post_sec,early_sample_usable,first_post_distance_drop,first_post_fair_drop,shock_distance,shock_fair,shock_either
KXBTC15M-26AUG231100-00,2026-08-23 14:49:43.735041+00:00,UP,UP,True,STRONG,0.8018867924528301,10.27108265,120.10000000000582,3.8100000000122236,3.8100000000122236,CLEAN,30.076377,True,0.0,0.042488296212228605,False,False,False
KXBTC15M-26AUG231115-15,2026-08-23 15:06:43.848379+00:00,UP,UP,True,STRONG,0.890625,8.269193683333333,158.84999999999127,80.25999999999476,94.92999999999302,LATE_DANGER_ONLY,29.962096,True,39.63999999999943,0.13122650375939848,True,True,True
KXBTC15M-26AUG231130-30,2026-08-23 15:19:43.688140+00:00,DOWN,UP,False,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,10.271864333333331,-217.74000000000524,272.97000000000116,272.97000000000116,CONFIRMED_DANGER,30.107075,True,36.80999999999764,0.0,True,False,True
KXBTC15M-26AUG231200-00,2026-08-23 15:50:43.832562+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,9.2694573,-104.7899999999936,21.879999999990105,21.879999999990105,CLEAN,30.002018,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231215-15,2026-08-23 16:03:43.928489+00:00,UP,UP,True,STRONG,0.8018867924528301,11.267858516666667,121.20999999999184,42.11000000000057,42.11000000000057,CLEAN,29.887483,True,3.9199999999982396,0.0,False,False,False
KXBTC15M-26AUG231245-45,2026-08-23 16:35:13.851552+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,9.7691408,111.5,88.97000000000116,88.97000000000116,LATE_DANGER_ONLY,30.095982,True,7.630000000004657,0.0,False,False,False
KXBTC15M-26AUG231315-15,2026-08-23 17:03:13.925271+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.76791215,-150.5500000000029,46.38999999999943,68.75,CLEAN,29.934241,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231530-30,2026-08-23 19:20:48.459643+00:00,UP,UP,True,STRONG,0.8018867924528301,9.192339283333332,61.73999999999069,14.410000000003485,17.139999999999418,CLEAN,29.944283,True,0.0,0.0,False,False,False
KXBTC15M-26AUG231600-00,2026-08-23 19:51:35.947025+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,8.400882916666667,-40.55999999999767,6.44999999999709,6.44999999999709,CLEAN,15.964146,True,5.0499999999883585,0.042488296212228605,False,False,False
KXBTC15M-26AUG231615-15,2026-08-23 20:03:09.747010+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.837549833333332,-140.05999999999767,56.11999999999534,56.11999999999534,CLEAN,33.388291,True,56.11999999999534,0.23045822102425872,True,True,True
KXBTC15M-26AUG231630-30,2026-08-23 20:18:47.968723+00:00,UP,UP,True,STRONG,0.890625,11.200521283333334,31.269999999989523,8.610000000000582,8.610000000000582,CLEAN,32.752119,True,8.610000000000582,0.2558423913043478,False,True,True
