timestamp_utc,contract,elapsed_min,time_left_min,btc_price,kalshi_target,target_gap_dollars,up_ask,down_ask,raw_general_side,raw_general_confidence,fair_ready,fair_up,fair_down,fair_preferred_side,fair_preferred,fair_flip_prob,fair_stay_prob,preferred_kalshi_ask,fair_edge_vs_ask,opportunity_status,price_zone,entry_winner_ready,entry_time_left,entry_target_gap,ladder_status,ladder_direction,ladder_confidence,checkpoints,expected_final_outcome,final_status,final_side,final_confidence,final_call_source,decisive_fair_ready,required_gap,dist_over_range5,legacy_final_ready,strict_distance_pct,directional_agreement,confidence_change,strict_model_ready,brti_kalshi_gate_ready
2026-09-02T23:44:16.488569+00:00,KXBTC15M-26SEP021945-45,13.9841765,1.0158234999999998,77093.91,77171.27,-77.36000000000058,0.006,0.995,DOWN,0.5059613395223382,True,0.07951868410032974,0.9204813158996703,DOWN,0.9204813158996703,0.07951868410032974,0.9204813158996703,0.995,-0.07451868410032969,WAIT,EXPENSIVE / WAIT,False,1.0158234999999998,77.36000000000058,RAW FORECAST,DOWN,0.5059613395223382,11,DOWN,FINAL CALL,DOWN,0.9204813158996703,TOURNAMENT WINNER,True,50.0,2.9537991599844866,False,0.0009280051504868547,1,-0.016132712924791903,False,True
2026-09-02T23:56:04.537159+00:00,KXBTC15M-26SEP022000-00,10.780254233333332,4.219745766666668,77251.6,77110.73,140.8700000000099,0.976,0.025,UP,0.5416847070642956,False,,,,,,,0.976,-0.43431529293570437,WATCH,EXPENSIVE / WAIT,False,,,RAW FORECAST,UP,0.5416847070642956,9,UP,PASS,NONE,,NONE,False,50.0,,False,0.0017265647844324494,1,0.03079510293528187,False,True
2026-09-02T23:57:37.910349+00:00,KXBTC15M-26SEP022000-00,12.335873016666666,2.6641269833333343,77274.52,77110.73,163.79000000000815,0.996,0.005,DOWN,0.5059199451349566,True,0.9204174834540342,0.07958251654596585,UP,0.9204174834540342,0.07958251654596585,0.9204174834540342,0.996,-0.07558251654596582,WAIT,EXPENSIVE / WAIT,False,2.6641269833333343,163.79000000000815,RAW FORECAST,DOWN,0.5059199451349566,"9,11",UP,FINAL CALL,UP,0.9204174834540342,TOURNAMENT WINNER,True,50.0,2.9087195879945407,False,0.0020237699279486154,2,-0.004969658994057102,False,False
2026-09-02T23:59:11.873965+00:00,KXBTC15M-26SEP022000-00,13.902412033333333,1.0975879666666675,77302.52,77110.73,191.79000000000815,1.0,0.001,UP,0.5385960309177136,True,0.9207153171753006,0.07928468282469932,UP,0.9207153171753006,0.07928468282469932,0.9207153171753006,1.0,-0.07928468282469936,WAIT,EXPENSIVE / WAIT,False,1.0975879666666675,191.79000000000815,RAW FORECAST,UP,0.5385960309177136,"9,11",UP,FINAL CALL,UP,0.9207153171753006,TOURNAMENT WINNER,True,50.0,2.9739494495276144,False,0.0023868477647048802,3,0.027706426788699834,False,True
2026-09-03T00:00:45.417326+00:00,KXBTC15M-26SEP022015-15,0.4629091666666667,14.537090833333334,77307.37,77329.68,-22.30999999999767,0.34,0.67,UP,0.5371433018646626,True,0.3594236029666276,0.6405763970333724,DOWN,0.6405763970333724,0.3594236029666276,0.6405763970333724,0.67,-0.029423602966627604,WAIT,EXPENSIVE / WAIT,False,14.537090833333334,22.30999999999767,RAW FORECAST,UP,0.5371433018646626,,UP,PASS,NONE,,NONE,False,75.0,0.2553800366300083,False,,2,0.026253697735648895,False,False
2026-09-03T00:02:19.319191+00:00,KXBTC15M-26SEP022015-15,2.031024233333333,12.968975766666667,77307.31,77329.68,-22.369999999995343,0.57,0.44,DOWN,0.5194997649393317,True,0.31331624492310906,0.686683755076891,DOWN,0.686683755076891,0.31331624492310906,0.686683755076891,0.44,0.24668375507689094,WATCH,ACCEPTABLE 41-50c,False,12.968975766666667,22.369999999995343,RAW FORECAST,DOWN,0.5194997649393317,,DOWN,PASS,NONE,,NONE,False,75.0,0.35746244806639055,False,6.467689492861695e-07,1,0.0021270601913309095,False,True
2026-09-03T00:03:52.928389+00:00,KXBTC15M-26SEP022015-15,3.587022533333333,11.412977466666668,77332.71,77329.68,3.0300000000133878,0.61,0.4,DOWN,0.5455869956164104,True,0.6507033259187156,0.34929667408128434,UP,0.6507033259187156,0.34929667408128434,0.6507033259187156,0.61,0.040703325918715616,WAIT,EXPENSIVE / WAIT,False,11.412977466666668,3.0300000000133878,RAW FORECAST,DOWN,0.5455869956164104,,UP,PASS,NONE,,NONE,False,75.0,0.038247917192796556,False,0.00032791185729275085,1,0.028214290868409653,False,False
2026-09-03T00:05:27.198257+00:00,KXBTC15M-26SEP022015-15,5.158009616666666,9.841990383333334,77354.02,77329.68,24.34000000001106,0.58,0.43,DOWN,0.5744716519950922,True,0.7714927300244333,0.2285072699755667,UP,0.7714927300244333,0.2285072699755667,0.7714927300244333,0.58,0.19149273002443334,WAIT,EXPENSIVE / WAIT,False,9.841990383333334,24.34000000001106,RAW FORECAST,DOWN,0.5744716519950922,,UP,PASS,NONE,,NONE,False,75.0,0.30728443378372794,False,0.0006035647834825575,0,0.057098947247091414,False,False
2026-09-03T00:07:01.224936+00:00,KXBTC15M-26SEP022015-15,6.72453745,8.27546255,77342.2,77329.68,12.520000000004075,0.41,0.6,DOWN,0.5440175407633646,False,,,,,,,0.6,-0.05598245923663536,WATCH,EXPENSIVE / WAIT,False,,,RAW FORECAST,DOWN,0.5440175407633646,,UP,PASS,NONE,,NONE,False,75.0,,False,0.00045066860386899776,1,0.026644836015363826,False,False
2026-09-03T00:08:35.922874+00:00,KXBTC15M-26SEP022015-15,8.299099516666667,6.700900483333333,77250.74,77329.68,-78.93999999998778,0.1,0.901,UP,0.5184875525439596,True,0.2440805336945152,0.7559194663054848,DOWN,0.7559194663054848,0.2440805336945152,0.7559194663054848,0.901,-0.14508053369451523,WAIT,EXPENSIVE / WAIT,False,6.700900483333333,78.93999999998778,RAW FORECAST,UP,0.5184875525439596,8,DOWN,PASS,NONE,,NONE,False,75.0,0.6907595379767989,False,0.0007324011581820722,0,0.0011148477959588288,False,False
