timestamp_utc,contract,side,side_num,target,seconds_left,minutes_left,btc_price,btc_gap,btc_gap_side,abs_btc_gap,side_bid,side_ask,side_spread,opposite_ask,quote_advantage,btc_move_5s_side,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,btc_move_120s_side,ask_move_5s,ask_move_15s,ask_move_30s,ask_move_60s,ask_move_120s,recent_low_30s,recent_low_60s,recent_low_120s,recent_high_30s,recent_high_60s,recent_high_120s,bounce_from_60s_low,drawdown_from_60s_high,side_fair,side_edge,fair_move_5s,fair_move_15s,fair_move_30s,preferred_fair_side,preferred_fair,preferred_edge,current_target_side,preferred_side_match,dist_over_range5,range5,vol5,broad_candidate,candidate_persistence_30s,brti_value,brti_age_seconds,brti_ready,brti_gap_to_target,brti_gap_side,brti_minus_coinbase,brti_minus_coinbase_side,brti_side,brti_agrees_side,kalshi_lag_15s,kalshi_lag_30s,reversal_state,final60_count,final60_average,final60_side,final60_complete,brti_ready_b,required_gap,final_gate,official_side,base_correct,base_mixed,delay_seconds,recheck_reason,scenario_delay_seconds
2026-09-04 03:07:00.833550+00:00,KXBTC15M-26SEP032315-15,UP,1,80824.03,479.17,7.9861075,80969.06,145.02999999999884,145.02999999999884,145.02999999999884,0.82,0.83,0.01,0.18,-0.6499999999999999,2.029999999998836,-9.330000000001746,-10.940000000002328,47.86000000000058,87.41000000000349,0.01,0.01,0.01,0.13,0.1699999999999999,0.82,0.77,0.66,0.83,0.83,0.83,0.0599999999999999,0.0,0.9201156030440324,0.0901156030440323,0.0014123220115352,0.0005053679964195,0.0005639494946864,UP,0.9201156030440324,0.0901156030440323,UP,True,1.2923721261806926,112.22000000000116,0.0002957938579262,False,0,80973.85,1.8955013751983645,True,149.82000000000698,149.82000000000698,4.790000000008149,4.790000000008149,UP,True,False,False,MIXED,0.0,,,False,True,75.0,True,UP,True,True,0.0,BASE_MIXED,0
2026-09-04 03:29:11.161387+00:00,KXBTC15M-26SEP032330-30,DOWN,0,80934.8,48.84,0.8139768833333334,80844.76,-90.04000000000815,90.04000000000815,90.04000000000815,0.99,0.991,0.001,0.01,-0.981,7.3400000000110595,0.0100000000093132,15.85000000000582,32.80000000000291,29.220000000001164,0.0,0.004,0.004,0.0629999999999999,0.023,0.987,0.928,0.86,0.991,0.991,0.991,0.0629999999999999,0.0,0.9043558385261626,-0.0866441614738373,0.0038490032064928,0.0155101492177911,0.0192110626391447,DOWN,0.9043558385261626,-0.0866441614738373,DOWN,True,1.064554268148573,84.58000000000175,0.0003085829854503,False,0,80850.24,1.2130224704742432,True,-84.55999999999767,84.55999999999767,5.480000000010477,-5.480000000010477,DOWN,True,False,False,PUSH,11.0,80855.43818181819,DOWN,False,True,50.0,True,DOWN,True,False,0.0,BASE_NON_MIXED,0
2026-09-04 03:54:32.161390+00:00,KXBTC15M-26SEP040000-00,UP,1,80871.86,327.84,5.463976833333334,80942.21,70.35000000000582,70.35000000000582,70.35000000000582,0.78,0.79,0.01,0.22,-0.5700000000000001,0.0,0.0,-3.0799999999871943,-3.059999999997672,5.210000000006403,0.03,0.03,0.04,0.04,0.06,0.76,0.75,0.73,0.79,0.79,0.79,0.04,0.0,0.9005623106989135,0.1105623106989134,0.0019728860759525,0.011315003505848,0.011177843902447,UP,0.9005623106989135,0.1105623106989134,UP,True,1.3402552867212574,52.49000000000524,0.0002025292352367,False,0,80941.26,1.2116365432739258,True,69.39999999999418,69.39999999999418,-0.9500000000116416,-0.9500000000116416,UP,True,False,False,MIXED,0.0,,,False,True,50.0,True,UP,True,True,0.0,BASE_MIXED,0
2026-09-04 04:22:03.028256+00:00,KXBTC15M-26SEP040030-30,UP,1,80964.41,476.97,7.949529066666667,81090.03,125.61999999999534,125.61999999999534,125.61999999999534,0.81,0.82,0.0099999999999998,0.19,-0.6299999999999999,0.0,0.0,-16.520000000004075,-20.75999999999476,5.600000000005821,0.0,0.0,-0.02,0.0199999999999999,0.0299999999999999,0.82,0.82,0.79,0.84,0.84,0.84,0.0,0.02,0.9209295448895785,0.1009295448895785,0.0012745339025767,0.0012745339025767,0.0003158755382659,UP,0.9209295448895785,0.1009295448895785,UP,True,1.6156913183279145,77.75,0.0002242792498851,False,0,81089.85,1.080660343170166,True,125.44000000000231,125.44000000000231,-0.179999999993015,-0.179999999993015,UP,True,False,False,MIXED,0.0,,,False,True,75.0,True,UP,True,True,0.0,BASE_MIXED,0
2026-09-04 04:39:03.450201+00:00,KXBTC15M-26SEP040045-45,DOWN,0,81254.09,356.55,5.94249665,81078.75,-175.3399999999965,175.3399999999965,175.3399999999965,0.947,0.948,0.001,0.053,-0.8949999999999999,2.2400000000052387,14.679999999993017,14.169999999998254,73.72000000000116,83.35000000000582,0.0,0.0,0.0879999999999999,0.0879999999999999,0.1379999999999999,0.86,0.86,0.81,0.948,0.948,0.948,0.0879999999999999,0.0,0.9049498379360617,-0.0430501620639383,0.0098154708702933,0.009764830908592,0.009764830908592,DOWN,0.9049498379360617,-0.0430501620639383,DOWN,True,1.615441311958788,108.5399999999936,0.0003359745884524,False,0,81075.41,1.5109400749206543,True,-178.67999999999302,178.67999999999302,-3.3399999999965075,3.3399999999965075,DOWN,True,True,False,PUSH,0.0,,,False,True,50.0,True,DOWN,True,False,0.0,BASE_NON_MIXED,0
2026-09-04 05:23:24.117513+00:00,KXBTC15M-26SEP040130-30,UP,1,80993.64,395.88,6.59804145,81092.9,99.25999999999476,99.25999999999476,99.25999999999476,0.79,0.8,0.01,0.21,-0.5900000000000001,14.40999999998894,12.819999999992431,12.559999999997672,52.81999999999243,48.86999999999534,0.1100000000000001,0.1100000000000001,0.1100000000000001,0.17,0.16,0.69,0.63,0.63,0.8,0.8,0.8,0.17,0.0,0.9188758518538064,0.1188758518538062,0.0043066361524494,0.0045754769036175,0.0055346455855458,UP,0.9188758518538064,0.1188758518538062,UP,True,1.066738312734999,93.05000000000292,0.0004446407997947,False,0,81095.58,1.185349464416504,True,101.94000000000231,101.94000000000231,2.680000000007567,2.680000000007567,UP,True,False,False,PUSH,0.0,,,False,True,75.0,True,UP,True,False,0.0,BASE_NON_MIXED,0
2026-09-04 05:43:04.429385+00:00,KXBTC15M-26SEP040145-45,DOWN,0,81040.17,115.57,1.926176916666667,80965.01,-75.16000000000349,75.16000000000349,75.16000000000349,0.913,0.914,0.001,0.087,-0.8270000000000001,-0.0,-1.610000000000582,4.990000000005239,-2.0899999999965075,-30.2899999999936,0.0,0.0,-0.006,-0.006,-0.0309999999999999,0.914,0.914,0.914,0.92,0.92,0.945,0.0,0.006,0.9016521995101356,-0.0123478004898643,0.0158697455571538,0.0166841409664887,0.0355335438733647,DOWN,0.9016521995101356,-0.0123478004898643,DOWN,True,1.300121086317359,57.80999999999767,0.0001444935325243,False,0,80970.24,1.4792282581329346,True,-69.92999999999302,69.92999999999302,5.230000000010477,-5.230000000010477,DOWN,True,False,True,MIXED,0.0,,,False,True,50.0,True,DOWN,True,True,0.0,BASE_MIXED,0
2026-09-04 05:54:09.579146+00:00,KXBTC15M-26SEP040200-00,DOWN,0,80969.52,350.42,5.840347566666667,80866.09,-103.43000000000757,103.43000000000757,103.43000000000757,0.88,0.89,0.01,0.12,-0.77,-5.4799999999959255,2.1699999999982538,31.23000000001048,34.88999999999942,23.630000000004657,0.0,0.0,0.06,0.04,0.1099999999999999,0.83,0.83,0.82,0.89,0.89,0.89,0.06,0.0,0.9018939639641544,0.0118939639641544,0.0057817667757665,0.0093463905242791,0.0351977916645912,DOWN,0.9018939639641544,0.0118939639641544,DOWN,True,2.404230590423007,43.02000000000408,0.0002932794926412,False,0,80870.53,0.6292712688446045,True,-98.99000000000524,98.99000000000524,4.440000000002328,-4.440000000002328,DOWN,True,True,False,MIXED,0.0,,,False,True,50.0,True,UP,False,True,0.0,BASE_MIXED,0
2026-09-04 12:38:14.853422+00:00,KXBTC15M-26SEP040845-45,DOWN,0,81294.75,405.15,6.752442966666666,79660.0,-1634.75,1634.75,1634.75,0.981,0.983,0.002,0.019,-0.964,-47.97000000000117,-25.0,-182.88999999999945,-159.0,202.97999999999595,0.0,0.0,0.008,0.008,0.031,0.975,0.975,0.952,0.983,0.983,0.983,0.008,0.0,0.906654828777173,-0.076345171222827,0.0143044755904158,0.014337493352434,0.015832547829089,DOWN,0.906654828777173,-0.076345171222827,DOWN,True,2.9150320970042647,560.8000000000029,0.0008853513429262,False,0,79643.25,0.9164047241210938,True,-1651.5,1651.5,-16.75,16.75,DOWN,True,False,False,AGAINST,0.0,,,False,True,75.0,True,DOWN,True,False,0.0,BASE_NON_MIXED,0
2026-09-04 13:14:01.048398+00:00,KXBTC15M-26SEP040915-15,DOWN,0,79451.53,58.95,0.9825267,79261.54,-189.99000000000524,189.99000000000524,189.99000000000524,0.996,0.997,0.001,0.004,-0.993,44.570000000006985,20.580000000001743,16.55000000000291,26.29000000000815,60.55000000000291,0.05,0.05,0.05,0.039,0.137,0.947,0.947,0.86,0.997,0.997,0.997,0.05,0.0,0.9042648276231962,-0.0927351723768038,-0.001048116333316,0.0008325977933356,0.0013501825451226,DOWN,0.9042648276231962,-0.0927351723768038,DOWN,True,1.5683506686478963,121.13999999999942,0.0006918715101026,False,0,79264.32,1.1024141311645508,True,-187.20999999999185,187.20999999999185,2.780000000013388,-2.780000000013388,DOWN,True,False,False,PUSH,1.0,79264.32,DOWN,False,True,50.0,True,DOWN,True,False,0.0,BASE_NON_MIXED,0
