timestamp_utc,contract,side,side_num,target,seconds_left,minutes_left,btc_price,btc_gap,btc_gap_side,abs_btc_gap,side_bid,side_ask,side_spread,opposite_ask,quote_advantage,btc_move_5s_side,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,btc_move_120s_side,ask_move_5s,ask_move_15s,ask_move_30s,ask_move_60s,ask_move_120s,recent_low_30s,recent_low_60s,recent_low_120s,recent_high_30s,recent_high_60s,recent_high_120s,bounce_from_60s_low,drawdown_from_60s_high,side_fair,side_edge,fair_move_5s,fair_move_15s,fair_move_30s,preferred_fair_side,preferred_fair,preferred_edge,current_target_side,preferred_side_match,dist_over_range5,range5,vol5,broad_candidate,candidate_persistence_30s,brti_value,brti_age_seconds,brti_ready,brti_gap_to_target,brti_gap_side,brti_minus_coinbase,brti_minus_coinbase_side,brti_side,brti_agrees_side,kalshi_lag_15s,kalshi_lag_30s,reversal_state,final60_count,final60_average,final60_side,final60_complete,bounce_from_low_30s,drawdown_from_high_30s,bounce_from_low_60s,drawdown_from_high_60s,brti_ready_n,brti_agrees_n,lag15_n,lag30_n,preferred_match_n,state_warming,state_push,state_pullback,state_reversal_warn,state_against,state_mixed,prev_reversal_state,state_changed,prev_brti_agrees,brti_flip,prev_lag15,prev_lag30,lag_on_event,side_fair_mean_30,side_fair_chg_30,side_fair_mean_60,side_fair_chg_60,side_edge_mean_30,side_edge_chg_30,side_edge_mean_60,side_edge_chg_60,side_ask_mean_30,side_ask_chg_30,side_ask_mean_60,side_ask_chg_60,btc_gap_side_mean_30,btc_gap_side_chg_30,btc_gap_side_mean_60,btc_gap_side_chg_60,brti_agrees_n_mean_30,brti_agrees_n_chg_30,brti_agrees_n_mean_60,brti_agrees_n_chg_60,lag15_n_mean_30,lag15_n_chg_30,lag15_n_mean_60,lag15_n_chg_60,lag30_n_mean_30,lag30_n_chg_30,lag30_n_mean_60,lag30_n_chg_60,state_push_mean_30,state_push_chg_30,state_push_mean_60,state_push_chg_60,state_pullback_mean_30,state_pullback_chg_30,state_pullback_mean_60,state_pullback_chg_60,state_reversal_warn_mean_30,state_reversal_warn_chg_30,state_reversal_warn_mean_60,state_reversal_warn_chg_60,state_against_mean_30,state_against_chg_30,state_against_mean_60,state_against_chg_60,state_mixed_mean_30,state_mixed_chg_30,state_mixed_mean_60,state_mixed_chg_60,brti_persist_60,lag_persist_60,chop_frac_60,scalp_win,seconds_to_target,seconds_to_stop,target_delta_c,stop_delta_c,prob
2026-09-04 14:27:18.978779+00:00,KXBTC15M-26SEP041030-30,UP,1,79434.16,161.02,2.683687016666666,79360.0,-74.16000000000349,-74.16000000000349,74.16000000000349,0.17,0.18,0.0099999999999999,0.83,0.6499999999999999,12.029999999998836,66.36000000000058,68.69000000000233,-43.979999999995925,20.0,-0.01,-0.01,-0.01,-0.01,-0.01,0.18,0.18,0.18,0.19,0.31,0.31,0.0,0.13,0.1577900541902884,-0.0222099458097115,0.0162527018672194,0.0302727092715243,0.0307887081019197,DOWN,0.8422099458097115,0.0122099458097115,DOWN,False,0.4067796610169735,182.30999999999767,0.0004851280850468,False,0,79359.19,1.0412702560424805,True,-74.97000000000116,-74.97000000000116,-0.8099999999976717,-0.8099999999976717,DOWN,False,True,True,MIXED,0.0,,,False,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MIXED,0.0,0.0,0.0,1.0,0.0,1.0,0.13229994596978725,0.029233490461820916,0.1505066216365397,-0.0617528240036157,-0.056033387363545996,0.0392334904618209,-0.08866004503012691,0.0682471759963843,0.18833333333333332,-0.010000000000000009,0.23916666666666667,-0.13,-110.58000000000175,63.529999999998836,-99.3716666666672,-16.770000000004075,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-1.0,0.4166666666666667,0.0,0.6666666666666666,1.0,0.5833333333333334,0.0,0.0,0.20833333333333331,1.0,1,30.052095,,4.0,4.0,0.8816949481153521
2026-09-04 14:37:14.762533+00:00,KXBTC15M-26SEP041045-45,DOWN,0,79366.24,465.24,7.753957783333333,79284.98,-81.26000000000931,81.26000000000931,81.26000000000931,0.48,0.49,0.01,0.52,0.03,-1.709999999991851,17.430000000007567,84.69000000000233,134.29000000000815,120.44000000000231,0.0,0.0,0.0999999999999999,0.1499999999999999,-0.04,0.49,0.39,0.34,0.49,0.49,0.49,0.0999999999999999,0.0,0.7501689455563858,0.2601689455563858,-0.008476809703025,0.0625397151257853,0.4383060537856516,DOWN,0.7501689455563858,0.2601689455563858,DOWN,True,0.4730744600338492,171.76999999998952,0.0008084991703309,True,4,79302.11,11.83013653755188,False,-64.13000000000466,64.13000000000466,17.130000000004657,-17.130000000004657,DOWN,True,True,False,MIXED,0.0,,,False,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,PUSH,1.0,1.0,0.0,1.0,0.0,0.0,0.6784696429805042,0.2934919419533396,0.45193361622587097,0.5572335039799892,0.18846964298050414,0.2934919419533396,0.011933616225871026,0.4572335039799892,0.49,0.0,0.44,0.09999999999999998,56.930000000002714,79.60000000000582,16.14666666666987,120.4600000000064,1.0,0.0,0.5833333333333334,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,-1.0,0.9166666666666666,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.08333333333333333,1.0,0.5833333333333334,0.25,0.08333333333333333,1,5.060401,,9.0,9.0,0.861267010345814
2026-09-04 16:05:08.118147+00:00,KXBTC15M-26SEP041215-15,UP,1,79430.56,591.88,9.86469755,79425.99,-4.569999999992433,-4.569999999992433,4.569999999992433,0.45,0.46,0.01,0.55,0.09,12.770000000004076,12.760000000009311,0.1900000000023283,-9.269999999989524,-8.330000000001746,0.0,-0.09,-0.09,-0.1,-0.18,0.46,0.46,0.46,0.55,0.56,0.64,0.0,0.1,0.4981805020825179,0.0381805020825179,0.1662281522232995,0.1424011263855676,-0.0132726025716667,DOWN,0.501819497917482,-0.048180502082518,DOWN,False,0.0483751455487707,94.47000000000116,0.0003276753161325,False,0,79433.22,1.1722569465637207,True,2.6600000000034925,2.6600000000034925,7.229999999995925,7.229999999995925,UP,True,True,True,MIXED,0.0,,,False,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AGAINST,1.0,0.0,1.0,0.0,0.0,1.0,0.45775315213509415,-0.13403445701357103,0.5192344564577475,-0.10452653228507475,-0.04724684786490594,-0.044034457013570893,-0.010765543542252629,-0.0045265322850747,0.505,-0.09000000000000002,0.53,-0.10000000000000003,-8.521666666662592,-7.639999999999418,-3.569999999997284,-9.269999999989523,0.5,0.0,0.75,0.0,0.5,0.0,0.25,1.0,0.3333333333333333,1.0,0.25,1.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,-1.0,0.3333333333333333,0.0,0.25,1.0,0.75,0.25,0.9166666666666666,1,34.988405,,9.0,9.0,0.9753964053009926
2026-09-04 16:51:44.318716+00:00,KXBTC15M-26SEP041300-00,UP,1,79843.91,495.68,8.261354733333333,79836.99,-6.919999999998254,-6.919999999998254,6.919999999998254,0.34,0.35,0.0099999999999999,0.66,0.31,8.710000000006403,21.580000000001743,40.93000000000757,35.86000000000058,47.98000000001048,0.0,0.0,0.0,-0.04,-0.08,0.35,0.35,0.35,0.35,0.39,0.43,0.0,0.04,0.477407788391521,0.127407788391521,0.1219338937935016,0.1954494749092818,0.2179192576759862,DOWN,0.522592211608479,-0.137407788391521,DOWN,False,0.0728497736603629,94.99000000000524,0.0002180616040299,False,0,79844.66,1.373196363449097,True,0.75,0.75,7.669999999998254,7.669999999998254,UP,True,True,True,PUSH,0.0,,,False,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PUSH,0.0,0.0,1.0,1.0,1.0,0.0,0.3638286019014392,0.1916409384136623,0.31548030141608674,0.21163732966350196,0.013828601901439252,0.1916409384136622,-0.047853031917246526,0.2516373296635019,0.35,0.0,0.36333333333333334,-0.040000000000000036,-17.673333333337116,20.340000000011063,-30.52333333333688,35.870000000009895,0.16666666666666666,1.0,0.08333333333333333,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.5833333333333334,1.0,0.8333333333333334,1.0,0.4166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,-1.0,0.4166666666666667,-1.0,0.08333333333333333,0.625,0.5833333333333334,1,10.004236,,7.000000000000001,7.000000000000001,0.855616588434368
2026-09-04 17:21:20.017675+00:00,KXBTC15M-26SEP041330-30,UP,1,79662.43,519.98,8.666372083333332,79617.91,-44.51999999998952,-44.51999999998952,44.51999999998952,0.32,0.33,0.01,0.68,0.35,8.860000000000582,8.85000000000582,-4.089999999996508,-23.979999999995925,-0.8899999999994179,0.0,-0.1099999999999999,-0.1099999999999999,0.0499999999999999,-0.0899999999999999,0.33,0.28,0.28,0.44,0.44,0.44,0.0499999999999999,0.1099999999999999,0.1757585835601997,-0.1542414164398003,-0.0026958706710827,-0.0005358524227708,-0.0163555190543207,DOWN,0.8242414164398003,0.1442414164398002,DOWN,False,0.4301864914483866,103.48999999999069,0.0004735493354461,False,0,79631.16,1.0717644691467283,True,-31.269999999989523,-31.269999999989523,13.25,13.25,DOWN,False,True,False,MIXED,0.0,,,False,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AGAINST,1.0,0.0,0.0,0.0,0.0,1.0,0.18072663979360667,-0.013730219281575307,0.19507714622798944,-0.050991691446131804,-0.20427336020639333,0.0962697807184246,-0.17742285377201047,-0.1009916914461319,0.385,-0.10999999999999999,0.37250000000000005,0.04999999999999999,-48.7949999999934,-2.0899999999965075,-39.51416666666046,-23.979999999995922,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.25,-1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5833333333333334,0.0,0.0,0.29166666666666663,0.9166666666666667,1,20.012057,,6.0,6.0,0.8643255015315946
2026-09-04 17:35:30.580650+00:00,KXBTC15M-26SEP041345-45,UP,1,79529.46,569.42,9.4903225,79509.65,-19.810000000012224,-19.810000000012224,19.810000000012224,0.43,0.44,0.01,0.57,0.1299999999999999,1.3699999999953434,1.9499999999970896,-7.410000000003492,-3.25,-17.20000000001164,-0.02,-0.02,-0.02,-0.0499999999999999,-0.11,0.44,0.44,0.44,0.46,0.49,0.55,0.0,0.0499999999999999,0.363350724055727,-0.076649275944273,-0.0060433659170923,-0.0044918172926433,-0.0588846901007764,DOWN,0.636649275944273,0.066649275944273,DOWN,False,0.2959808755418242,66.92999999999302,0.0002022213679945,False,0,79523.68,1.6388936042785645,True,-5.780000000013388,-5.780000000013388,14.029999999998836,14.029999999998836,DOWN,False,True,False,MIXED,0.0,,,False,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MIXED,0.0,1.0,1.0,1.0,1.0,0.0,0.39058404374590766,-0.08044355397544023,0.38731425781908985,-0.03765417171139823,-0.06274928958742564,-0.060443553975440295,-0.07935240884757677,0.012345828288601701,0.45333333333333337,-0.020000000000000018,0.4666666666666666,-0.04999999999999999,-16.67666666667598,-13.710000000006403,-17.78583333334124,-2.540000000008149,0.3333333333333333,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.4166666666666667,1.0,0.3333333333333333,-1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5833333333333334,-1.0,0.6666666666666666,0.0,0.4166666666666667,1.0,0.16666666666666666,0.33333333333333337,1.0,0,,70.027692,8.0,8.0,0.8672807804703796
2026-09-04 17:55:40.800779+00:00,KXBTC15M-26SEP041400-00,UP,1,79507.69,259.2,4.319987016666667,79466.46,-41.229999999995925,-41.229999999995925,41.229999999995925,0.18,0.19,0.01,0.82,0.6299999999999999,14.560000000012224,14.560000000012224,0.75,21.960000000006403,72.99000000000524,-0.1099999999999999,-0.1099999999999999,-0.1099999999999999,0.0499999999999999,0.06,0.19,0.19,0.13,0.3,0.3,0.3,0.0,0.1099999999999999,0.265966407090686,0.0759664070906859,-0.0014361333176236,-0.0254505773794067,-0.0356806962649239,DOWN,0.734033592909314,-0.0859664070906859,DOWN,False,0.5055174104953053,81.55999999999767,0.0002860375707278,False,0,79476.6,0.8574872016906738,True,-31.089999999996508,-31.089999999996508,10.139999999999418,10.139999999999418,DOWN,False,True,True,MIXED,0.0,,,False,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MIXED,0.0,0.0,0.0,0.0,0.0,1.0,0.27978068663719247,-0.02287683479416802,0.2889198178471594,-0.019326275389081216,-0.0018859800294741501,0.0871231652058318,0.027253151180492697,0.020673724610918702,0.2816666666666667,-0.10999999999999999,0.26166666666666666,-0.04000000000000001,-51.45500000000417,3.100000000005828,-50.19666666666793,21.410000000003492,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.25,1.0,0.16666666666666666,1.0,0.08333333333333333,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.8333333333333334,1,30.025704,,4.0,4.0,0.9263091773558528
2026-09-04 18:36:37.027966+00:00,KXBTC15M-26SEP041445-45,DOWN,0,79551.12,502.97,8.382867233333334,79568.44,17.320000000006985,-17.320000000006985,17.320000000006985,0.26,0.27,0.01,0.74,0.47,12.209999999991853,26.489999999990687,25.610000000000586,23.979999999995925,45.56999999999243,0.0,0.0,-0.01,0.12,0.09,0.27,0.15,0.15,0.27,0.28,0.28,0.12,0.01,0.3102071559142314,0.0402071559142314,0.088892277022333,0.1145721469264912,0.1121889039779704,UP,0.6897928440857686,-0.0502071559142314,UP,False,0.2490652861663586,69.5399999999936,0.0002680150502112,False,0,79565.06,1.092071533203125,True,13.940000000002328,-13.940000000002328,-3.3800000000046566,3.3800000000046566,UP,False,True,True,PUSH,0.0,,,False,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MIXED,1.0,0.0,0.0,1.0,1.0,0.0,0.22930100626945446,0.11541280009715452,0.21453572072857088,0.11262128050631773,-0.04069899373054548,0.1154128000971544,-0.06046427927142905,0.1226212805063176,0.27,0.0,0.275,-0.010000000000000009,-32.130000000002234,26.489999999990687,-36.559166666669626,23.989999999990687,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-1.0,0.25,0.0,0.5,0.0,0.4166666666666667,0.0,0.0,0.3333333333333333,0.6666666666666667,1,5.005155,,5.0,5.0,0.8773042241153094
2026-09-04 20:20:17.346868+00:00,KXBTC15M-26SEP041630-30,DOWN,0,79837.06,582.65,9.710885533333334,79851.56,14.5,-14.5,14.5,0.43,0.44,0.01,0.57,0.1299999999999999,-6.19999999999709,0.8899999999994179,-6.440000000002328,-17.34999999999127,-3.559999999997672,0.0,0.0,-0.06,0.0,-0.09,0.44,0.44,0.41,0.5,0.5,0.5,0.0,0.06,0.3582053903933465,-0.0817946096066534,-0.0195829370459821,0.0267466489820889,-0.0099271779839217,UP,0.6417946096066535,0.0717946096066535,UP,False,0.4063901345290618,35.68000000000757,0.0002629995726912,False,0,79858.05,1.4041740894317627,True,20.99000000000524,-20.99000000000524,6.490000000005239,-6.490000000005239,UP,False,True,False,MIXED,0.0,,,False,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AGAINST,1.0,0.0,0.0,0.0,0.0,1.0,0.360598506203486,-0.009637294885314895,0.36376328257668006,-0.008225446876575115,-0.08940149379651392,0.05036270511468509,-0.11123671742331986,0.05177455312342501,0.45,-0.06,0.47500000000000003,-0.06,-11.483333333337214,-7.229999999995926,-9.786666666669285,-6.470000000001164,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4166666666666667,0.0,0.3333333333333333,0.0,0.5833333333333334,0.0,0.0,0.16666666666666666,1.0,0,,9.992262,8.0,8.0,0.924481936630422
2026-09-04 20:36:22.981357+00:00,KXBTC15M-26SEP041645-45,UP,1,79786.0,517.02,8.616977383333333,79766.2,-19.80000000000291,-19.80000000000291,19.80000000000291,0.36,0.37,0.01,0.64,0.27,0.6999999999970896,1.3999999999941792,8.679999999993015,14.429999999993017,26.20999999999185,0.0,0.0,0.0,0.0299999999999999,0.01,0.37,0.34,0.34,0.37,0.37,0.41,0.0299999999999999,0.0,0.3295476417454937,-0.0404523582545062,0.0016518353671369,0.0039433367013161,0.0230673994951596,DOWN,0.6704523582545063,0.0304523582545063,DOWN,False,0.5444047291725446,36.36999999999534,0.0002154322369427,False,0,79772.85,1.0425193309783936,True,-13.14999999999418,-13.14999999999418,6.650000000008731,6.650000000008731,DOWN,False,True,True,PUSH,0.0,,,False,,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MIXED,1.0,0.0,0.0,1.0,0.0,1.0,0.32391461802921373,0.023067399495159624,0.30046256642602803,0.05168275257913285,-0.04608538197078622,0.023067399495159596,-0.057037433573971945,0.0216827525791329,0.37,0.0,0.3575,0.02999999999999997,-21.959999999999127,8.679999999993015,-26.949166666664194,14.429999999993015,0.0,0.0,0.0,0.0,0.5,1.0,0.5833333333333334,1.0,0.16666666666666666,1.0,0.4166666666666667,1.0,0.6666666666666666,1.0,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-1.0,0.4166666666666667,-1.0,0.0,0.5,0.4166666666666667,1,59.960284,,7.000000000000001,7.000000000000001,0.9375050676557345
