ticker,correct,call_side,winner,initial_fair,initial_remaining_min,initial_distance,drop_4m,drop_6m,distance_drop_30s,fair_drop_30s,ask_change_30s,distance_drop_60s,fair_drop_60s,ask_change_60s,distance_drop_90s,fair_drop_90s,ask_change_90s,distance_drop_2m,fair_drop_2m,ask_change_2m,distance_drop_3m,fair_drop_3m,ask_change_3m
KXBTC15M-26AUG250900-00,True,UP,UP,0.8018867924528301,9.795704566666666,138.63000000000466,36.33000000000173,36.33000000000173,0.0,0.0,0.05999999999999994,0.0,0.0,0.05999999999999994,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.11399999999999999
KXBTC15M-26AUG250945-45,True,UP,UP,0.8018867924528301,11.549265616666666,188.57000000000696,0.0,0.0,0.0,0.0,0.15999999999999992,0.0,0.0,0.15999999999999992,0.0,0.0,0.242,0.0,0.0,0.242,0.0,0.0,0.265
KXBTC15M-26AUG251000-00,True,DOWN,DOWN,0.8018867924528301,11.480671616666664,-190.9499999999971,4.19999999999709,4.19999999999709,4.19999999999709,0.0,0.07000000000000006,4.19999999999709,0.0,0.07000000000000006,0.0,0.0,0.16000000000000003,0.0,0.0,0.16000000000000003,0.0,0.0,0.2400000000000001
KXBTC15M-26AUG251015-15,True,UP,UP,0.8928571428571429,9.99736915,201.4899999999907,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.08000000000000007,0.0,0.0,0.09999999999999998,0.0,0.0,0.09999999999999998,0.0,0.0,0.07000000000000006
KXBTC15M-26AUG251445-45,True,DOWN,DOWN,0.890625,8.007033016666666,-132.43000000000757,15.25999999999476,33.30999999999767,0.0,0.0,0.019999999999999907,0.0,0.0,0.019999999999999907,0.0,0.0,0.008999999999999897,0.0,0.0,0.008999999999999897,12.479999999995925,0.0,0.03199999999999992
KXBTC15M-26AUG251600-00,True,UP,UP,0.8018867924528301,8.053157133333334,118.75,0.0,0.0,0.0,0.0,0.20300000000000007,0.0,0.0,0.20300000000000007,0.0,0.0,0.235,0.0,0.0,0.235,0.0,0.0,0.25
KXBTC15M-26AUG251630-30,False,UP,DOWN,0.8018867924528301,10.30359135,101.8799999999901,58.2899999999936,74.1299999999901,58.2899999999936,0.1953294154036498,0.0,58.2899999999936,0.1953294154036498,0.0,43.80999999999767,0.16710418375717795,-0.16000000000000003,43.80999999999767,0.16710418375717795,-0.16000000000000003,51.65999999998893,0.16710418375717795,-0.09000000000000008
KXBTC15M-26AUG251815-15,True,UP,UP,0.890625,9.267738283333331,144.13999999999942,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,-0.020000000000000018,0.0,0.0,0.08499999999999996,0.0,0.0,0.08499999999999996,0.0,0.0,0.11599999999999999
KXBTC15M-26AUG251845-45,True,UP,UP,0.8018867924528301,11.489497983333331,178.80999999999767,9.10000000000582,9.10000000000582,1.1500000000087311,0.0,0.06800000000000006,1.1500000000087311,0.0,0.06800000000000006,0.0,0.0,0.06900000000000006,0.0,0.0,0.06900000000000006,0.0,0.0,0.10599999999999998
KXBTC15M-26AUG251900-00,True,UP,UP,0.890625,9.71489175,97.38000000000466,9.639999999999418,9.639999999999418,9.639999999999418,0.0,0.0,9.639999999999418,0.0,0.0,4.419999999998254,0.0,0.07999999999999996,4.419999999998254,0.0,0.07999999999999996,0.0,0.0,0.122
KXBTC15M-26AUG251930-30,True,DOWN,DOWN,0.8018867924528301,10.715208683333334,-139.58000000000175,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.271,0.0,0.0,0.271,0.0,0.0,0.275
KXBTC15M-26AUG252000-00,True,DOWN,DOWN,0.8018867924528301,8.927172033333333,-120.65000000000872,43.94000000000232,43.94000000000232,0.0,0.0,0.07999999999999996,0.0,0.0,0.07999999999999996,0.0,0.0,0.135,0.0,0.0,0.135,2.6100000000005537,0.0,0.129
KXBTC15M-26AUG252100-00,True,UP,UP,0.8018867924528301,11.537458183333332,105.58999999999652,0.0,0.0,0.0,0.0,0.08999999999999997,0.0,0.0,0.08999999999999997,0.0,0.042488296212228605,0.17999999999999994,0.0,0.042488296212228605,0.17999999999999994,0.0,0.0,0.31999999999999995
KXBTC15M-26AUG252115-15,True,UP,UP,0.8928571428571429,9.8020711,184.0800000000017,0.0,64.66999999999821,0.0,0.0,0.10299999999999998,0.0,0.0,0.10299999999999998,0.0,0.0,0.11099999999999999,0.0,0.0,0.11099999999999999,0.0,0.0,0.1449999999999999
KXBTC15M-26AUG252145-45,True,UP,UP,0.8018867924528301,11.633183033333331,177.97000000000116,22.479999999995925,22.479999999995925,22.479999999995925,0.042488296212228605,0.0,22.479999999995925,0.042488296212228605,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.0,0.031000000000000028
KXBTC15M-26AUG252230-30,True,UP,UP,0.8018867924528301,9.796583450000002,124.72999999999593,22.220000000001164,22.220000000001164,0.0,0.0,0.06000000000000005,0.0,0.0,0.06000000000000005,22.220000000001164,0.0,0.07000000000000006,22.220000000001164,0.0,0.07000000000000006,0.0,0.0,0.08000000000000007
