rule,flagged,misses_caught,total_misses,good_flagged,kept,kept_accuracy,capture
120s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
120s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
120s_worst_ask_change <= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
180s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
180s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
180s_worst_distance_drop >= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
180s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
180s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
180s_worst_fair_drop >= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
180s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
180s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
180s_worst_ask_change <= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
240s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
240s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
240s_worst_distance_drop >= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
240s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
240s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
240s_worst_fair_drop >= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
240s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
240s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
240s_worst_ask_change <= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 30s_worst_distance_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 30s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 30s_worst_ask_change <= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 30s_worst_ask_change >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 60s_worst_distance_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 60s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 60s_worst_ask_change <= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 90s_worst_distance_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 90s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 90s_worst_ask_change <= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 300s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 360s_worst_distance_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 360s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 360s_worst_ask_change <= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 420s_worst_distance_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 420s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 420s_worst_ask_change <= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 480s_worst_distance_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 480s_worst_fair_drop >= 0,86,5,5,81,9,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 480s_worst_ask_change <= 0,86,5,5,81,9,1.0,1.0
300s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
300s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
300s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
300s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
300s_worst_ask_change <= 0 AND 300s_worst_distance_drop <= 62.498,86,5,5,81,9,1.0,1.0
360s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
360s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
360s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
360s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
360s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
360s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
420s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
420s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
420s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
420s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
420s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
420s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
480s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
480s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
480s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
480s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
480s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
480s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_distance_drop <= 0 AND initial_signed_distance <= 246.149,87,5,5,82,8,1.0,1.0
30s_worst_distance_drop <= 0 AND rescore_initial_signed_distance <= 246.149,87,5,5,82,8,1.0,1.0
30s_worst_distance_drop <= 0 AND 360s_worst_distance_drop <= 77.905,87,5,5,82,8,1.0,1.0
30s_worst_fair_drop <= 0 AND initial_signed_distance <= 246.149,87,5,5,82,8,1.0,1.0
30s_worst_fair_drop <= 0 AND rescore_initial_signed_distance <= 246.149,87,5,5,82,8,1.0,1.0
30s_worst_fair_drop <= 0 AND 360s_worst_distance_drop <= 77.905,87,5,5,82,8,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 30s_worst_distance_drop <= 0,87,5,5,82,8,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 30s_worst_fair_drop <= 0,87,5,5,82,8,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 300s_worst_distance_drop <= 68.579,87,5,5,82,8,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 360s_worst_distance_drop <= 77.905,87,5,5,82,8,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND 30s_worst_distance_drop <= 0,87,5,5,82,8,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND 30s_worst_fair_drop <= 0,87,5,5,82,8,1.0,1.0
300s_worst_distance_drop <= 68.579 AND 30s_worst_distance_drop <= 0,87,5,5,82,8,1.0,1.0
300s_worst_distance_drop <= 68.579 AND 30s_worst_fair_drop <= 0,87,5,5,82,8,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND 300s_worst_distance_drop <= 68.579,88,5,5,83,7,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND 360s_worst_distance_drop <= 77.905,88,5,5,83,7,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 240s_worst_distance_drop <= 62.0845,89,5,5,84,6,1.0,1.0
300s_worst_distance_drop <= 68.579 AND 360s_worst_distance_drop <= 77.905,89,5,5,84,6,1.0,1.0
initial_signed_distance <= 246.149 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_distance_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_distance_drop >= 0 AND 360s_worst_distance_drop <= 77.905,90,5,5,85,5,1.0,1.0
30s_worst_fair_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_fair_drop >= 0 AND 360s_worst_distance_drop <= 77.905,90,5,5,85,5,1.0,1.0
30s_worst_ask_change <= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_ask_change <= 0 AND 360s_worst_distance_drop <= 77.905,90,5,5,85,5,1.0,1.0
30s_worst_ask_change >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_ask_change >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
30s_worst_ask_change >= 0 AND 360s_worst_distance_drop <= 77.905,90,5,5,85,5,1.0,1.0
60s_worst_distance_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
60s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
60s_worst_fair_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
60s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
60s_worst_ask_change <= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
60s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
90s_worst_distance_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
90s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
90s_worst_fair_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
90s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
90s_worst_ask_change <= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
90s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
120s_worst_distance_drop >= 0 AND initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
120s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 246.149,90,5,5,85,5,1.0,1.0
120s_worst_distance_drop >= 0 AND 180s_worst_distance_drop <= 61.1275,90,5,5,85,5,1.0,1.0
