rule,flagged,misses_caught,total_misses,good_flagged,kept,kept_accuracy,capture
120s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
120s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
120s_worst_fair_drop <= 0.195329 AND 180s_worst_distance_drop <= 61.1275,82,4,5,78,13,0.9230769230769231,0.8
120s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
120s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 53.894 AND 30s_worst_distance_drop <= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 53.894 AND 30s_worst_fair_drop <= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 53.894 AND 60s_worst_distance_drop <= 33.322,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 53.894 AND 90s_worst_distance_drop <= 33.322,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 53.894 AND 300s_worst_distance_drop <= 68.579,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 53.894 AND 360s_worst_distance_drop <= 77.905,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 61.1275 AND 300s_worst_fair_drop <= 0.230458,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 61.1275 AND 360s_worst_distance_drop <= 68.945,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_distance_drop <= 61.1275 AND 360s_worst_fair_drop <= 0.230458,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_fair_drop <= 0.196894 AND 30s_worst_distance_drop <= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
180s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop <= 56.925 AND 30s_worst_distance_drop <= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop <= 56.925 AND 30s_worst_fair_drop <= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop <= 56.925 AND 420s_worst_distance_drop <= 96.4115,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop <= 62.0845 AND 60s_worst_distance_drop <= 33.322,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop <= 62.0845 AND 90s_worst_distance_drop <= 33.322,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_distance_drop <= 62.0845 AND 420s_worst_distance_drop <= 79.943,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_fair_drop <= 0.196894 AND 30s_worst_distance_drop <= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
240s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 62.498 AND 60s_worst_ask_change >= -0.0575,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 62.498 AND 90s_worst_ask_change >= -0.0575,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 62.498 AND 360s_worst_distance_drop <= 68.945,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 62.498 AND 420s_worst_distance_drop <= 96.4115,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 62.498 AND 480s_worst_distance_drop <= 107.438,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 68.579 AND 300s_worst_fair_drop <= 0.230458,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 68.579 AND 360s_worst_fair_drop <= 0.230458,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_distance_drop <= 68.579 AND 480s_worst_distance_drop <= 90.534,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_fair_drop <= 0.230458 AND 360s_worst_distance_drop <= 77.905,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
300s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_distance_drop <= 68.945 AND 60s_worst_distance_drop <= 51.034,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_distance_drop <= 68.945 AND 90s_worst_distance_drop <= 51.034,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_distance_drop <= 77.905 AND 360s_worst_fair_drop <= 0.230458,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
360s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
420s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
420s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
420s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
420s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
420s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
420s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
480s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
480s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
480s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
480s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
480s_worst_ask_change <= 0 AND 60s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
480s_worst_ask_change <= 0 AND 90s_worst_ask_change >= 0,82,4,5,78,13,0.9230769230769231,0.8
30s_worst_distance_drop <= 0 AND 60s_worst_ask_change >= -0.011,83,4,5,79,12,0.9166666666666666,0.8
30s_worst_distance_drop <= 0 AND 90s_worst_ask_change >= -0.011,83,4,5,79,12,0.9166666666666666,0.8
30s_worst_distance_drop <= 0 AND 360s_worst_fair_drop <= 0.230458,83,4,5,79,12,0.9166666666666666,0.8
30s_worst_fair_drop <= 0 AND 60s_worst_ask_change >= -0.011,83,4,5,79,12,0.9166666666666666,0.8
30s_worst_fair_drop <= 0 AND 90s_worst_ask_change >= -0.011,83,4,5,79,12,0.9166666666666666,0.8
120s_worst_distance_drop <= 51.031 AND 180s_worst_distance_drop <= 53.894,83,4,5,79,12,0.9166666666666666,0.8
120s_worst_distance_drop <= 51.031 AND 180s_worst_distance_drop <= 61.1275,83,4,5,79,12,0.9166666666666666,0.8
120s_worst_fair_drop <= 0.195329 AND 30s_worst_distance_drop <= 0,83,4,5,79,12,0.9166666666666666,0.8
180s_worst_distance_drop <= 53.894 AND 240s_worst_distance_drop <= 56.925,83,4,5,79,12,0.9166666666666666,0.8
180s_worst_distance_drop <= 61.1275 AND 60s_worst_distance_drop <= 33.322,83,4,5,79,12,0.9166666666666666,0.8
180s_worst_distance_drop <= 61.1275 AND 90s_worst_distance_drop <= 33.322,83,4,5,79,12,0.9166666666666666,0.8
180s_worst_fair_drop <= 0.196894 AND 30s_worst_fair_drop <= 0,83,4,5,79,12,0.9166666666666666,0.8
180s_worst_fair_drop <= 0.196894 AND 300s_worst_fair_drop <= 0.230458,83,4,5,79,12,0.9166666666666666,0.8
180s_worst_fair_drop <= 0.196894 AND 360s_worst_fair_drop <= 0.230458,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_distance_drop <= 56.925 AND 60s_worst_distance_drop <= 51.034,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_distance_drop <= 56.925 AND 90s_worst_distance_drop <= 51.034,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_distance_drop <= 62.0845 AND 60s_worst_ask_change >= -0.011,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_distance_drop <= 62.0845 AND 90s_worst_ask_change >= -0.011,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_distance_drop <= 62.0845 AND 360s_worst_distance_drop <= 68.945,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_fair_drop <= 0.196894 AND 30s_worst_fair_drop <= 0,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_fair_drop <= 0.196894 AND 300s_worst_fair_drop <= 0.230458,83,4,5,79,12,0.9166666666666666,0.8
240s_worst_fair_drop <= 0.196894 AND 360s_worst_fair_drop <= 0.230458,83,4,5,79,12,0.9166666666666666,0.8
300s_worst_distance_drop <= 68.579 AND 420s_worst_distance_drop <= 79.943,83,4,5,79,12,0.9166666666666666,0.8
300s_worst_fair_drop <= 0.230458 AND 30s_worst_distance_drop <= 0,83,4,5,79,12,0.9166666666666666,0.8
360s_worst_distance_drop <= 68.945 AND 420s_worst_distance_drop <= 79.943,83,4,5,79,12,0.9166666666666666,0.8
360s_worst_distance_drop <= 68.945 AND 480s_worst_distance_drop <= 90.534,83,4,5,79,12,0.9166666666666666,0.8
360s_worst_distance_drop <= 68.945 AND 480s_worst_distance_drop <= 107.438,83,4,5,79,12,0.9166666666666666,0.8
360s_worst_distance_drop <= 77.905 AND 480s_worst_distance_drop <= 90.534,83,4,5,79,12,0.9166666666666666,0.8
420s_worst_distance_drop <= 79.943 AND 480s_worst_distance_drop <= 90.534,83,4,5,79,12,0.9166666666666666,0.8
initial_signed_distance >= 35.4505 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
initial_signed_distance <= 246.149 AND rescore_initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
30s_worst_fair_drop <= 0 AND 360s_worst_fair_drop <= 0.230458,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_distance_drop <= 51.034 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_distance_drop <= 51.034 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_fair_drop <= 0.221692 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_fair_drop <= 0.221692 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_fair_drop <= 0.221692 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_ask_change >= -0.0575 AND initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_ask_change >= -0.0575 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_ask_change >= -0.0575 AND rescore_initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_ask_change >= -0.0575 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_ask_change >= -0.0575 AND 60s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
60s_worst_ask_change >= -0.0575 AND 90s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_distance_drop <= 51.034 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_distance_drop <= 51.034 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_fair_drop <= 0.221692 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_fair_drop <= 0.221692 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_ask_change >= -0.0575 AND initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_ask_change >= -0.0575 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_ask_change >= -0.0575 AND rescore_initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_ask_change >= -0.0575 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
90s_worst_ask_change >= -0.0575 AND 90s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_distance_drop <= 57.528 AND 60s_worst_distance_drop <= 33.322,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_distance_drop <= 57.528 AND 90s_worst_distance_drop <= 33.322,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_distance_drop <= 57.528 AND 480s_worst_distance_drop <= 107.438,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.195329 AND 30s_worst_fair_drop <= 0,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.195329 AND 300s_worst_fair_drop <= 0.230458,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.195329 AND 360s_worst_fair_drop <= 0.230458,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.195329 AND 420s_worst_fair_drop <= 0.401693,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND 60s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND 240s_worst_distance_drop <= 62.0845,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND 300s_worst_distance_drop <= 68.579,84,4,5,80,11,0.9090909090909091,0.8
120s_worst_fair_drop <= 0.271366 AND 360s_worst_distance_drop <= 77.905,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_distance_drop <= 53.894 AND 240s_worst_distance_drop <= 62.0845,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_distance_drop <= 61.1275 AND 60s_worst_ask_change >= -0.011,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_distance_drop <= 61.1275 AND 90s_worst_ask_change >= -0.011,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_distance_drop <= 61.1275 AND 420s_worst_distance_drop <= 96.4115,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_distance_drop <= 61.1275 AND 480s_worst_distance_drop <= 107.438,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.196894 AND 300s_worst_fair_drop <= 0.290259,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.196894 AND 360s_worst_fair_drop <= 0.305783,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.196894 AND 420s_worst_fair_drop <= 0.401693,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND 60s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND 240s_worst_distance_drop <= 62.0845,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND 300s_worst_distance_drop <= 68.579,84,4,5,80,11,0.9090909090909091,0.8
180s_worst_fair_drop <= 0.271366 AND 360s_worst_distance_drop <= 77.905,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 56.925 AND 300s_worst_distance_drop <= 68.579,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 56.925 AND 360s_worst_distance_drop <= 77.905,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND rescore_initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND 60s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND 90s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND 240s_worst_fair_drop <= 0.271366,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND 300s_worst_fair_drop <= 0.290259,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND 360s_worst_fair_drop <= 0.305783,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_distance_drop <= 62.0845 AND 480s_worst_distance_drop <= 107.438,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.196894 AND 300s_worst_fair_drop <= 0.290259,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.196894 AND 360s_worst_fair_drop <= 0.305783,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.196894 AND 420s_worst_fair_drop <= 0.401693,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.271366 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.271366 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.271366 AND 60s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.271366 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.271366 AND 300s_worst_distance_drop <= 68.579,84,4,5,80,11,0.9090909090909091,0.8
240s_worst_fair_drop <= 0.271366 AND 360s_worst_distance_drop <= 77.905,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND rescore_initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND 60s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND 90s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND 300s_worst_fair_drop <= 0.290259,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND 360s_worst_distance_drop <= 68.945,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_distance_drop <= 68.579 AND 360s_worst_fair_drop <= 0.305783,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.230458 AND 30s_worst_fair_drop <= 0,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.230458 AND 420s_worst_fair_drop <= 0.401693,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.290259 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.290259 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.290259 AND 60s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.290259 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
300s_worst_fair_drop <= 0.290259 AND 360s_worst_distance_drop <= 77.905,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 68.945 AND 420s_worst_distance_drop <= 96.4115,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 77.905 AND initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 77.905 AND rescore_initial_signed_distance >= 35.4505,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 77.905 AND 60s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 77.905 AND 90s_worst_fair_drop <= 0.221692,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 77.905 AND 360s_worst_fair_drop <= 0.305783,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_distance_drop <= 77.905 AND 420s_worst_distance_drop <= 79.943,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_fair_drop <= 0.230458 AND 420s_worst_fair_drop <= 0.401693,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_fair_drop <= 0.305783 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_fair_drop <= 0.305783 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_fair_drop <= 0.305783 AND 60s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
360s_worst_fair_drop <= 0.305783 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_distance_drop <= 79.943 AND 480s_worst_distance_drop <= 107.438,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_distance_drop <= 96.4115 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_distance_drop <= 96.4115 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_fair_drop <= 0.401693 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_fair_drop <= 0.401693 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_fair_drop <= 0.401693 AND 60s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
420s_worst_fair_drop <= 0.401693 AND 90s_worst_ask_change >= -0.0575,84,4,5,80,11,0.9090909090909091,0.8
480s_worst_distance_drop <= 107.438 AND initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
480s_worst_distance_drop <= 107.438 AND rescore_initial_signed_distance <= 246.149,84,4,5,80,11,0.9090909090909091,0.8
480s_worst_distance_drop <= 107.438 AND 60s_worst_distance_drop <= 51.034,84,4,5,80,11,0.9090909090909091,0.8
480s_worst_distance_drop <= 107.438 AND 90s_worst_distance_drop <= 51.034,84,4,5,80,11,0.9090909090909091,0.8
30s_worst_distance_drop >= 0 AND 60s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_distance_drop >= 0 AND 60s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_distance_drop >= 0 AND 90s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_distance_drop >= 0 AND 90s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_distance_drop >= 0 AND 360s_worst_distance_drop <= 68.945,85,4,5,81,10,0.9,0.8
30s_worst_distance_drop >= 0 AND 420s_worst_distance_drop <= 79.943,85,4,5,81,10,0.9,0.8
30s_worst_distance_drop >= 0 AND 480s_worst_distance_drop <= 90.534,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 60s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 60s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 90s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 90s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 360s_worst_distance_drop <= 68.945,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 420s_worst_distance_drop <= 79.943,85,4,5,81,10,0.9,0.8
30s_worst_fair_drop >= 0 AND 480s_worst_distance_drop <= 90.534,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 60s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 60s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 90s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 90s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 360s_worst_distance_drop <= 68.945,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 420s_worst_distance_drop <= 79.943,85,4,5,81,10,0.9,0.8
30s_worst_ask_change <= 0 AND 480s_worst_distance_drop <= 90.534,85,4,5,81,10,0.9,0.8
30s_worst_ask_change >= 0 AND 60s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
30s_worst_ask_change >= 0 AND 60s_worst_ask_change >= -0.011,85,4,5,81,10,0.9,0.8
30s_worst_ask_change >= 0 AND 90s_worst_distance_drop <= 33.322,85,4,5,81,10,0.9,0.8
