ticker,call_time,call_side,winner,correct,signal_status,initial_fair,initial_remaining_min,initial_distance,drop_30s,fair_drop_30s,drop_4m,drop_6m,layer_a_state,shock_distance,shock_fair,shock_either
KXBTC15M-26AUG231100-00,2026-08-23 14:49:43.735041+00:00,UP,UP,True,STRONG,0.8018867924528301,10.27108265,120.10000000000582,0.0,0.042488296212228605,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG231115-15,2026-08-23 15:06:43.848379+00:00,UP,UP,True,STRONG,0.890625,8.269193683333333,158.84999999999127,39.63999999999943,0.13122650375939848,33.270000000004075,94.92999999999302,LATE_DANGER_ONLY,True,True,True
KXBTC15M-26AUG231130-30,2026-08-23 15:19:43.688140+00:00,DOWN,UP,False,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,10.271864333333331,-217.74000000000524,36.80999999999764,0.0,202.13000000000466,261.929999999993,CONFIRMED_DANGER,True,False,True
KXBTC15M-26AUG231200-00,2026-08-23 15:50:43.832562+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,9.2694573,-104.7899999999936,0.0,0.0,0.0,5.699999999997075,CLEAN,False,False,False
KXBTC15M-26AUG231215-15,2026-08-23 16:03:43.928489+00:00,UP,UP,True,STRONG,0.8018867924528301,11.267858516666667,121.20999999999184,3.9199999999982396,0.0,41.12999999999009,34.78999999999358,CLEAN,False,False,False
KXBTC15M-26AUG231245-45,2026-08-23 16:35:13.851552+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,9.7691408,111.5,7.630000000004657,0.0,53.7100000000064,60.330000000001746,CLEAN,False,False,False
KXBTC15M-26AUG231315-15,2026-08-23 17:03:13.925271+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.76791215,-150.5500000000029,0.0,0.0,68.75,60.419999999998254,CLEAN,False,False,False
KXBTC15M-26AUG231530-30,2026-08-23 19:20:48.459643+00:00,UP,UP,True,STRONG,0.8018867924528301,9.192339283333332,61.73999999999069,0.0,0.0,2.3699999999953434,15.679999999993015,CLEAN,False,False,False
KXBTC15M-26AUG231600-00,2026-08-23 19:51:35.947025+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,8.400882916666667,-40.55999999999767,5.0499999999883585,0.042488296212228605,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG231615-15,2026-08-23 20:03:09.747010+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,11.837549833333332,-140.05999999999767,56.11999999999534,0.23045822102425872,19.79999999998836,54.94000000000233,CLEAN,True,True,True
KXBTC15M-26AUG231630-30,2026-08-23 20:18:47.968723+00:00,UP,UP,True,STRONG,0.890625,11.200521283333334,31.269999999989523,8.610000000000582,0.2558423913043478,0.0,0.0,CLEAN,False,True,True
KXBTC15M-26AUG231715-15,2026-08-23 21:03:24.596316+00:00,UP,UP,True,STRONG,0.8018867924528301,11.5900614,162.52999999999884,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG231730-30,2026-08-23 21:18:16.077787+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9487179487179488,11.732036883333334,244.8700000000099,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG231745-45,2026-08-23 21:35:23.308854+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,9.6115191,-165.73000000001048,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG231800-00,2026-08-23 21:49:01.642810+00:00,UP,UP,True,STRONG,0.8018867924528301,10.972619833333331,162.42999999999302,0.0,0.0,7.75,0.0,CLEAN,False,False,False
KXBTC15M-26AUG231815-15,2026-08-23 22:04:47.858869+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,10.202352183333334,-186.5,94.13999999999942,0.0757721427713014,86.5,129.97999999999593,LATE_DANGER_ONLY,True,True,True
KXBTC15M-26AUG231915-15,2026-08-23 23:03:58.111678+00:00,DOWN,DOWN,True,STRONG,0.890625,11.031472033333332,-161.7100000000064,25.919999999998254,0.08873820754716988,0.0,42.02000000000409,CLEAN,False,True,True
KXBTC15M-26AUG231930-30,2026-08-23 23:18:30.516002+00:00,UP,UP,True,STRONG,0.8018867924528301,11.491399966666668,116.7100000000064,0.0,0.0,64.85000000000582,80.08000000000175,CLEAN,False,False,False
KXBTC15M-26AUG232000-00,2026-08-23 23:50:11.150543+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,9.814157616666668,108.06999999999243,0.0,0.0,11.279999999998836,0.0,CLEAN,False,False,False
KXBTC15M-26AUG232015-15,2026-08-24 00:06:07.577761+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,8.873703983333334,-126.36000000000058,0.0,0.0,93.63000000000466,76.26000000000931,CLEAN,False,False,False
KXBTC15M-26AUG232030-30,2026-08-24 00:21:27.808735+00:00,DOWN,DOWN,True,STRONG,0.8928571428571429,8.536521083333334,-142.69000000000233,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG232045-45,2026-08-24 00:36:02.046134+00:00,UP,DOWN,False,STRONG,0.890625,8.965897766666666,166.2100000000064,52.44000000000233,0.16451035031847128,187.0100000000093,182.32000000000698,CONFIRMED_DANGER,True,True,True
KXBTC15M-26AUG241215-15,2026-08-24 16:03:51.340475+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.988095238095238,11.144325416666668,306.33000000000175,31.15000000000873,0.0,0.0,0.0,CLEAN,True,False,True
KXBTC15M-26AUG241230-30,2026-08-24 16:18:35.824911+00:00,UP,UP,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,11.40291815,308.75,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG241300-00,2026-08-24 16:51:37.215335+00:00,DOWN,DOWN,True,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,8.379744416666666,-245.76999999998952,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG241315-15,2026-08-24 17:03:27.647441+00:00,DOWN,UP,False,STRONG,0.8928571428571429,11.539209316666668,-368.11999999999534,96.77999999999884,0.0022321428571429047,295.11999999999534,461.7299999999959,CONFIRMED_DANGER,True,False,True
KXBTC15M-26AUG241330-30,2026-08-24 17:20:44.090477+00:00,DOWN,DOWN,True,STRONG,0.8018867924528301,9.265158716666669,-212.82000000000696,0.0,0.0,0.0,0.0,CLEAN,False,False,False
KXBTC15M-26AUG241400-00,2026-08-24 17:50:47.131669+00:00,UP,UP,True,STRONG,0.890625,9.214472183333331,106.36000000000058,86.63000000000466,0.3191964285714286,96.91999999999825,160.18000000000757,LATE_DANGER_ONLY,True,True,True
