ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,snapshot_utc,start,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct,preferred_agrees_current,fair_ask_ratio,edge_per_time,gap_per_time,model_prob
KXBTC15M-26AUG301945-45,5.0,10.0,0,-87.94000000000233,87.94000000000233,-0.0011311729738928819,-165.08000000000175,-0.002121320569600553,-96.63999999999942,-107.66000000000349,-100.3700000000099,-165.08000000000175,96.63999999999942,107.66000000000349,100.3700000000099,165.08000000000175,280.6200000000099,0.0006363996604632912,8.794000000000233,0.3133775212030476,0,0,2026-08-30 23:35:00+00:00,2026-08-30 23:30:00+00:00,0.24935507164935686,0.7506449283506431,0,DOWN,0.7506449283506431,2026-08-30 23:35:00+00:00,0.54,0.53,0.47,0.47,0.28064492835064314,1,1,1.5971168688311557,0.028064492835064313,8.794000000000233,0.54656343005684
KXBTC15M-26AUG302015-15,6.0,9.0,0,-111.23000000001048,111.23000000001048,-0.0014316094685722335,-36.84000000001106,-0.0004746115052323349,-149.3000000000029,-219.93000000000757,-173.44000000000233,-93.38999999999942,149.3000000000029,219.93000000000757,173.44000000000233,93.38999999999942,250.02999999999884,0.0011636887525843132,12.358888888890053,0.44486661600612326,1,1,2026-08-31 00:06:00+00:00,2026-08-31 00:00:00+00:00,0.20118808672019875,0.7988119132798013,0,DOWN,0.7988119132798013,2026-08-31 00:06:00+00:00,0.59,0.58,0.42,0.42,0.3788119132798013,0,1,1.9019331268566697,0.04209021258664459,12.358888888890053,0.6025403343489699
KXBTC15M-26AUG302145-45,8.0,7.0,0,-71.56000000001222,71.56000000001222,-0.0009200549872999011,-58.94000000000233,-0.0007579212024277439,-93.5,-11.870000000009895,11.059999999997672,-3.110000000000582,93.5,11.870000000009895,-11.059999999997672,3.110000000000582,179.24000000000524,0.0008118572472583986,10.222857142858889,0.39924124079452206,0,0,2026-08-31 01:38:00+00:00,2026-08-31 01:30:00+00:00,0.2719989745795584,0.7280010254204416,0,DOWN,0.7280010254204416,2026-08-31 01:38:00+00:00,0.55,0.54,0.4599999999999999,0.4599999999999999,0.26800102542044174,1,1,1.5826109248270475,0.03828586077434882,10.222857142858889,0.5737481223700064
KXBTC15M-26AUG310045-45,9.0,6.0,1,40.63999999999942,40.63999999999942,0.0005242872454226707,36.50999999999476,0.00047098197613503964,74.91999999999825,30.40999999998894,63.220000000001164,78.25,74.91999999999825,30.40999999998894,63.220000000001164,78.25,115.95999999999185,0.00055306956827234,6.773333333333237,0.3504656778199575,1,0,2026-08-31 04:39:00+00:00,2026-08-31 04:30:00+00:00,0.8008262250857817,0.19917377491421828,1,UP,0.8008262250857817,2026-08-31 04:39:00+00:00,0.32,0.31,0.69,0.32,0.4808262250857817,1,1,2.5025819533930678,0.08013770418096362,6.773333333333237,0.6799530665456162
KXBTC15M-26AUG310100-00,8.0,7.0,1,46.91000000000349,46.91000000000349,0.0006048598964737157,45.5399999999936,0.0005871846751245878,121.33000000000175,107.98999999999069,102.06999999999243,89.86999999999534,121.33000000000175,107.98999999999069,102.06999999999243,89.86999999999534,156.47000000000116,0.0006918159505944259,6.70142857142907,0.29980187895445226,1,0,2026-08-31 04:53:00+00:00,2026-08-31 04:45:00+00:00,0.7993844622612954,0.20061553773870455,1,UP,0.7993844622612954,2026-08-31 04:53:00+00:00,0.15,0.14,0.86,0.15,0.6493844622612954,1,1,5.329229748408636,0.09276920889447078,6.70142857142907,0.7282913565370941
KXBTC15M-26AUG310115-15,8.0,7.0,1,42.05999999999767,42.05999999999767,0.0005418256277338159,97.22000000000116,0.0012532987397786111,43.70999999999185,29.94999999999709,23.5,83.27999999999884,43.70999999999185,29.94999999999709,23.5,83.27999999999884,112.74000000000524,0.00029953378716328946,6.008571428571096,0.37307078233098917,1,0,2026-08-31 05:08:00+00:00,2026-08-31 05:00:00+00:00,0.8576146225027887,0.14238537749721125,1,UP,0.8576146225027887,2026-08-31 05:08:00+00:00,0.46,0.45,0.55,0.46,0.39761462250278873,1,1,1.8643796141364972,0.05680208892896982,6.008571428571096,0.6327532560947831
KXBTC15M-26AUG310145-45,6.0,9.0,0,-67.91000000000349,67.91000000000349,-0.000870734127213134,-72.14999999999418,-0.0009250486243506926,-67.24000000000524,-121.36999999999534,-105.0,-103.72999999999593,67.24000000000524,121.36999999999534,105.0,103.72999999999593,131.11000000000058,0.0005385012039685663,7.545555555555944,0.5179620166272839,0,0,2026-08-31 05:36:00+00:00,2026-08-31 05:30:00+00:00,0.29592128213401014,0.7040787178659899,0,DOWN,0.7040787178659899,2026-08-31 05:36:00+00:00,0.52,0.51,0.49,0.49,0.21407871786598986,1,1,1.4368953425836528,0.023786524207332207,7.545555555555944,0.5192178265571735
KXBTC15M-26AUG310230-30,11.0,4.0,1,35.520000000004075,35.520000000004075,0.0004553328358685887,-47.89999999999418,-0.000613376813511221,38.179999999993015,51.979999999995925,61.220000000001164,12.190000000002328,38.179999999993015,51.979999999995925,61.220000000001164,12.190000000002328,83.81999999999243,0.00023004430037330625,8.880000000001019,0.4237652111668728,0,1,2026-08-31 06:26:00+00:00,2026-08-31 06:15:00+00:00,0.7894995508977503,0.21050044910224974,1,UP,0.7894995508977503,2026-08-31 06:26:00+00:00,0.43,0.42,0.5800000000000001,0.43,0.35949955089775026,0,1,1.8360454672040705,0.08987488772443757,8.880000000001019,0.6379368564797817
KXBTC15M-26AUG310300-00,11.0,4.0,0,-44.38000000000466,44.38000000000466,-0.000568370647331708,-33.80999999999767,-0.0004330602359761707,-41.06999999999243,-63.5,-69.58999999999651,-9.80000000000291,41.06999999999243,63.5,69.58999999999651,9.80000000000291,87.41999999999825,0.00026357581679246005,11.095000000001164,0.5076641500801367,0,0,2026-08-31 06:56:00+00:00,2026-08-31 06:45:00+00:00,0.2392355485835008,0.7607644514164992,0,DOWN,0.7607644514164992,2026-08-31 06:56:00+00:00,0.61,0.59,0.41,0.41,0.3507644514164992,1,1,1.8555230522353638,0.0876911128541248,11.095000000001164,0.6263210029922512
KXBTC15M-26AUG310315-15,10.0,5.0,1,35.74000000000524,35.74000000000524,0.000457752540052774,39.11999999999534,0.000501064762620509,39.13000000000466,39.11999999999534,51.94000000000233,43.13000000000466,39.13000000000466,39.11999999999534,51.94000000000233,43.13000000000466,129.27000000000407,0.0002276900529177729,7.148000000001048,0.27647559371860536,1,0,2026-08-31 07:10:00+00:00,2026-08-31 07:00:00+00:00,0.7614215665663788,0.23857843343362117,1,UP,0.7614215665663788,2026-08-31 07:10:00+00:00,0.48,0.47,0.53,0.48,0.28142156656637884,1,1,1.5862949303466227,0.05628431331327577,7.148000000001048,0.5972326477150939
KXBTC15M-26AUG310345-45,9.0,6.0,1,32.7899999999936,32.7899999999936,0.00041927970585199637,76.51999999998952,0.0009789946037590926,49.98999999999069,12.039999999993597,19.389999999999418,62.13999999999942,49.98999999999069,12.039999999993597,19.389999999999418,62.13999999999942,74.41000000000349,0.00042014021541273225,5.464999999998933,0.4406665770728673,1,0,2026-08-31 07:39:00+00:00,2026-08-31 07:30:00+00:00,0.8548286200283649,0.1451713799716351,1,UP,0.8548286200283649,2026-08-31 07:39:00+00:00,0.39,0.38,0.62,0.39,0.4648286200283649,1,1,2.1918682564829868,0.07747143667139415,5.464999999998933,0.5892386063218381
KXBTC15M-26AUG310415-15,11.0,4.0,1,113.77999999999884,113.77999999999884,0.0014553490023606743,130.4899999999907,0.001669441819971645,114.39999999999418,132.89999999999418,171.70999999999185,256.84999999999127,114.39999999999418,132.89999999999418,171.70999999999185,256.84999999999127,270.22000000000116,0.00047308013192965033,28.44499999999971,0.42106431796313504,0,1,2026-08-31 08:11:00+00:00,2026-08-31 08:00:00+00:00,0.9005488085365783,0.09945119146342174,1,UP,0.9005488085365783,2026-08-31 08:11:00+00:00,0.48,0.47,0.53,0.48,0.4205488085365783,0,1,1.8761433511178713,0.10513720213414457,28.44499999999971,0.8017234084833553
KXBTC15M-26AUG310515-15,5.0,10.0,1,47.080000000001746,47.080000000001746,0.0006000449396443975,50.94000000000233,0.0006492734293835144,122.19000000000233,123.54999999998836,99.61999999999534,50.94000000000233,122.19000000000233,123.54999999998836,99.61999999999534,50.94000000000233,158.10000000000582,0.0007719352675434983,4.708000000000174,0.2977862112586971,1,0,2026-08-31 09:05:00+00:00,2026-08-31 09:00:00+00:00,0.8018745263128559,0.19812547368714406,1,UP,0.8018745263128559,2026-08-31 09:05:00+00:00,0.25,0.24,0.76,0.25,0.5518745263128559,1,1,3.2074981052514238,0.05518745263128559,4.708000000000174,0.6345395525675754
KXBTC15M-26AUG310830-30,6.0,9.0,0,-95.91000000000349,95.91000000000349,-0.0012235376964042522,-90.69000000000233,-0.0011570224526656404,-95.7100000000064,-135.7600000000093,-98.11000000000058,-99.74000000000524,95.7100000000064,135.7600000000093,98.11000000000058,99.74000000000524,153.5500000000029,0.0008214880688484452,10.656666666667055,0.6246173884728211,0,0,2026-08-31 12:21:00+00:00,2026-08-31 12:15:00+00:00,0.20428460375635601,0.795715396243644,0,DOWN,0.795715396243644,2026-08-31 12:21:00+00:00,0.52,0.51,0.49,0.49,0.30571539624364397,1,1,1.623908971925804,0.03396837736040489,10.656666666667055,0.5834505451839898
KXBTC15M-26AUG310945-45,9.0,6.0,1,111.34999999999127,111.34999999999127,0.0014276049174225271,-25.880000000004657,-0.00033122160363479436,124.61999999999534,193.5399999999936,258.90999999998894,119.63999999999942,124.61999999999534,193.5399999999936,258.90999999998894,119.63999999999942,362.09999999999127,0.0004227952236175349,18.558333333331877,0.30751173708918517,1,0,2026-08-31 13:39:00+00:00,2026-08-31 13:30:00+00:00,0.8533721195082951,0.14662788049170494,1,UP,0.8533721195082951,2026-08-31 13:39:00+00:00,0.46,0.45,0.55,0.46,0.39337211950829504,1,1,1.8551567815397718,0.06556201991804918,18.558333333331877,0.7760804888014156
KXBTC15M-26AUG311015-15,8.0,7.0,1,198.79999999998836,198.79999999998836,0.0025545478855011077,199.67999999999302,0.0025658847580045186,216.06999999999243,174.4899999999907,50.579999999987194,20.529999999998836,216.06999999999243,174.4899999999907,50.579999999987194,20.529999999998836,250.80999999999767,0.0016166049231324565,28.399999999998336,0.7926318727323082,1,0,2026-08-31 14:08:00+00:00,2026-08-31 14:00:00+00:00,0.9177473177873388,0.08225268221266124,1,UP,0.9177473177873388,2026-08-31 14:08:00+00:00,0.46,0.45,0.55,0.46,0.45774731778733874,1,1,1.9951028647550841,0.06539247396961982,28.399999999998336,0.7818150821565677
KXBTC15M-26AUG311030-30,8.0,7.0,0,-80.69999999999709,80.69999999999709,-0.0010356126264662946,6.510000000009313,8.363558626116957e-05,-87.00999999999476,-75.97000000000116,-81.41999999999825,-139.86000000000058,87.00999999999476,75.97000000000116,81.41999999999825,139.86000000000058,245.66999999999825,0.0004968774008681232,11.528571428571013,0.3284894370496913,1,1,2026-08-31 14:23:00+00:00,2026-08-31 14:15:00+00:00,0.2906183650563067,0.7093816349436932,0,DOWN,0.7093816349436932,2026-08-31 14:23:00+00:00,0.56,0.55,0.4499999999999999,0.4499999999999999,0.2593816349436933,0,1,1.5764036332082074,0.03705451927767047,11.528571428571013,0.5744194706158461
KXBTC15M-26AUG311045-45,5.0,10.0,1,113.25,113.25,0.0014522682699195423,49.170000000012806,0.0006300167825094529,156.0500000000029,86.02000000000407,79.63000000000466,49.170000000012806,156.0500000000029,86.02000000000407,79.63000000000466,49.170000000012806,190.1600000000035,0.0010905303466901856,11.325,0.5955511148506412,1,0,2026-08-31 14:35:00+00:00,2026-08-31 14:30:00+00:00,0.8787887972488775,0.12121120275112252,1,UP,0.8787887972488775,2026-08-31 14:35:00+00:00,0.45,0.44,0.56,0.45,0.4287887972488775,1,1,1.9528639938863943,0.04287887972488775,11.325,0.7562482348983813
KXBTC15M-26AUG311215-15,9.0,6.0,1,33.38000000000466,33.38000000000466,0.0004249066045609441,37.79000000000815,0.0004810701627912425,62.570000000006985,-24.10999999998603,-31.639999999999418,11.720000000001164,62.570000000006985,-24.10999999998603,-31.639999999999418,11.720000000001164,115.06000000001222,0.0007419965124537487,5.56333333333411,0.2901095080827491,1,0,2026-08-31 16:09:00+00:00,2026-08-31 16:00:00+00:00,0.8454652313767315,0.15453476862326854,1,UP,0.8454652313767315,2026-08-31 16:09:00+00:00,0.39,0.38,0.62,0.39,0.45546523137673145,1,1,2.167859567632645,0.0759108718961219,5.56333333333411,0.5839972043518068
