ticker,side,final_side,eventual_winner_side,first_le50_ask,first_le50_elapsed,first_le50_remaining,first_le50_fair,first_le50_edge,first_le40_ask,first_le40_elapsed,first_le40_remaining,first_le40_fair,first_le40_edge,first_le30_ask,first_le30_elapsed,first_le30_remaining,first_le30_fair,first_le30_edge,cheapest_attractive_ask,cheapest_attractive_elapsed,cheapest_attractive_remaining,cheapest_attractive_fair,cheapest_attractive_edge,best_positive_edge,best_positive_edge_ask,best_positive_edge_fair,best_positive_edge_elapsed,best_positive_edge_remaining,saw_attractive_le50,saw_attractive_le40,saw_attractive_le30
KXBTC15M-26AUG230930-30,DOWN,UP,NO,0.001,13.838535383333332,1.161464616666667,0.0119047619047619,0.0109047619047619,0.001,13.838535383333332,1.161464616666667,0.0119047619047619,0.0109047619047619,0.001,13.838535383333332,1.161464616666667,0.0119047619047619,0.0109047619047619,0.001,13.838535383333332,1.161464616666667,0.0119047619047619,0.0109047619047619,0.06889247311827949,0.001,0.0698924731182795,14.83596135,0.16403865,True,True,True
KXBTC15M-26AUG230930-30,UP,UP,YES,,,,,,,,,,,,,,,,,,,,,0.079095238095238,0.909,0.988095238095238,8.005626833333332,6.994373166666667,False,False,False
KXBTC15M-26AUG230945-45,DOWN,UP,NO,0.42,2.338624216666666,12.661375783333334,0.5663265306122449,0.14632653061224493,0.071,11.336972166666667,3.663027833333333,0.2406015037593984,0.16960150375939842,0.071,11.336972166666667,3.663027833333333,0.2406015037593984,0.16960150375939842,0.002,14.837555683333331,0.1624443166666666,0.0698924731182795,0.06789247311827949,0.16960150375939842,0.071,0.2406015037593984,11.336972166666667,3.663027833333333,True,True,True
KXBTC15M-26AUG230945-45,UP,UP,YES,0.35,0.3367319333333333,14.663268066666664,0.3934426229508196,0.04344262295081963,0.35,0.3367319333333333,14.663268066666664,0.3934426229508196,0.04344262295081963,0.29,1.33800405,13.66199595,0.3934426229508196,0.10344262295081963,0.27,5.836704883333334,9.163295116666664,0.2738853503184713,0.003885350318471259,0.43611464968152874,0.29,0.7261146496815287,1.835830283333333,13.164169716666668,True,True,True
KXBTC15M-26AUG231000-00,DOWN,DOWN,YES,,,,,,,,,,,,,,,,,,,,,0.05632653061224491,0.51,0.5663265306122449,0.3399724833333333,14.660027516666666,False,False,False
KXBTC15M-26AUG231000-00,UP,DOWN,NO,0.34,0.8388920166666666,14.161107983333332,0.4336734693877551,0.09367346938775506,0.34,0.8388920166666666,14.161107983333332,0.4336734693877551,0.09367346938775506,,,,,,0.34,0.8388920166666666,14.161107983333332,0.4336734693877551,0.09367346938775506,0.09367346938775506,0.34,0.4336734693877551,0.8388920166666666,14.161107983333332,True,True,False
KXBTC15M-26AUG231030-30,DOWN,DOWN,YES,,,,,,,,,,,,,,,,,,,,,0.13809523809523805,0.85,0.988095238095238,11.729560683333334,3.2704393166666668,False,False,False
KXBTC15M-26AUG231030-30,UP,DOWN,NO,0.11,11.231385866666669,3.7686141333333336,0.1981132075471698,0.0881132075471698,0.11,11.231385866666669,3.7686141333333336,0.1981132075471698,0.0881132075471698,0.11,11.231385866666669,3.7686141333333336,0.1981132075471698,0.0881132075471698,0.001,14.728866966666669,0.2711330333333333,0.0119047619047619,0.0109047619047619,0.0881132075471698,0.11,0.1981132075471698,11.231385866666669,3.7686141333333336,True,True,True
KXBTC15M-26AUG231045-45,DOWN,DOWN,YES,,,,,,,,,,,,,,,,,,,,,0.15809523809523807,0.83,0.988095238095238,12.228766083333332,2.771233916666666,False,False,False
KXBTC15M-26AUG231045-45,UP,DOWN,NO,0.39,2.728043233333333,12.271956766666667,0.4336734693877551,0.04367346938775507,0.39,2.728043233333333,12.271956766666667,0.4336734693877551,0.04367346938775507,0.22,11.228673833333334,3.771326166666667,0.3333333333333333,0.11333333333333331,0.002,13.23054775,1.76945225,0.0698924731182795,0.06789247311827949,0.11333333333333331,0.22,0.3333333333333333,11.228673833333334,3.771326166666667,True,True,True
