timestamp_utc,contract,target,seconds_left,btc_price,btc_gap,preferred_side,preferred_ask,preferred_fair,edge,fair_move_5s,fair_move_15s,fair_move_30s,ask_move_5s,ask_move_15s,ask_move_30s,candidate_persistence_30s,provisional_candidate
2026-09-03T23:31:43.375835+00:00,KXBTC15M-26SEP031945-45,81255.66,796.62,81142.66,-113.0,DOWN,0.76,0.8185177297524067,0.058517729752406655,,,,,,,0,False
2026-09-03T23:31:48.346684+00:00,KXBTC15M-26SEP031945-45,81255.66,791.65,81143.66,-112.0,DOWN,0.76,0.8160557758617402,0.056055775861740154,,,,,,,0,False
2026-09-03T23:31:53.348492+00:00,KXBTC15M-26SEP031945-45,81255.66,786.65,81148.82,-106.83999999999651,DOWN,0.76,0.8127934087117883,0.05279340871178828,-0.0032623671499518725,,,0.0,,,0,False
2026-09-03T23:31:58.365677+00:00,KXBTC15M-26SEP031945-45,81255.66,781.63,81151.0,-104.66000000000349,DOWN,0.76,0.8097047508197607,0.04970475081976067,-0.003088657892027613,,,0.0,,,0,False
2026-09-03T23:32:03.406961+00:00,KXBTC15M-26SEP031945-45,81255.66,776.59,81143.59,-112.07000000000698,DOWN,0.76,0.824228340303846,0.06422834030384594,0.014523589484085275,0.00817256444210579,,0.0,0.0,,0,False
2026-09-03T23:32:08.355467+00:00,KXBTC15M-26SEP031945-45,81255.66,771.64,81142.0,-113.66000000000349,DOWN,0.75,0.8256641762486295,0.07566417624862953,0.015959425428868856,0.012870767536841243,,-0.010000000000000009,-0.010000000000000009,,0,False
2026-09-03T23:32:13.409095+00:00,KXBTC15M-26SEP031945-45,81255.66,766.59,81138.19,-117.47000000000116,DOWN,0.75,0.8294922135497736,0.07949221354977365,0.003828037301144116,0.019787462730012972,0.010974483797366985,0.0,-0.010000000000000009,-0.010000000000000009,0,False
2026-09-03T23:32:18.389766+00:00,KXBTC15M-26SEP031945-45,81255.66,761.61,81139.86,-115.80000000000291,DOWN,0.75,0.8271950089421447,0.0771950089421447,0.0015308326935151717,0.017490258122384028,0.011139233080404543,0.0,-0.010000000000000009,-0.010000000000000009,0,False
2026-09-03T23:32:23.355462+00:00,KXBTC15M-26SEP031945-45,81255.66,756.64,81143.2,-112.4600000000064,DOWN,0.75,0.8243389593754702,0.07433895937547019,-0.0051532541743034566,0.00011061907162424056,0.011545550663681903,0.0,-0.010000000000000009,-0.010000000000000009,0,False
2026-09-03T23:32:28.363013+00:00,KXBTC15M-26SEP031945-45,81255.66,751.64,81159.73,-95.93000000000757,DOWN,0.75,0.7864950922307656,0.036495092230765636,-0.03784386714470456,-0.0391690840178639,-0.026298316481022654,0.0,0.0,-0.010000000000000009,0,False
2026-09-03T23:32:33.371107+00:00,KXBTC15M-26SEP031945-45,81255.66,746.63,81158.14,-97.52000000000407,DOWN,0.75,0.7940840140628427,0.04408401406284268,0.007588921832077045,-0.03540819948693097,-0.015620736756917997,0.0,0.0,-0.010000000000000009,0,False
