ticker,timestamp,remaining_min,btc_price,target_price,stored_distance,derived_btc_minus_target,distance_mismatch,stored_distance_side,derived_side,preferred_side,signal_status,fair_up,fair_down,up_ask,down_ask,source_line
KXBTC15M-26AUG250945-45,2026-08-25 13:32:33.781106+00:00,12.436981566666669,,,106.93000000000757,,,UP,,UP,RAW,0.6347826086956522,0.3652173913043478,0.64,0.37,3284
KXBTC15M-26AUG250945-45,2026-08-25 13:33:27.044063+00:00,11.549265616666666,,,188.57000000000696,,,UP,,UP,STRONG,0.8018867924528301,0.1981132075471698,0.66,0.35,3285
KXBTC15M-26AUG250945-45,2026-08-25 13:34:20.415233+00:00,10.659746116666668,,,240.4100000000035,,,UP,,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,0.9301075268817204,0.0698924731182795,0.82,0.19,3286
KXBTC15M-26AUG250945-45,2026-08-25 13:35:13.446500+00:00,9.775891666666666,,,320.5300000000134,,,UP,,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,1.0,0.0,0.902,0.1,3287
KXBTC15M-26AUG250945-45,2026-08-25 13:36:06.578149+00:00,8.890364183333332,,,436.9600000000064,,,UP,,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,1.0,0.0,0.925,0.076,3288
KXBTC15M-26AUG250945-45,2026-08-25 13:36:59.852910+00:00,8.0024515,,,472.0900000000111,,,UP,,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,1.0,0.0,0.964,0.039,3289
KXBTC15M-26AUG250945-45,2026-08-25 13:37:52.885237+00:00,7.118579383333333,,,456.9300000000076,,,UP,,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,1.0,0.0,0.964,0.037,3290
KXBTC15M-26AUG250945-45,2026-08-25 13:38:46.255210+00:00,6.2290798333333335,,,508.7800000000134,,,UP,,UP,90%+ LOCK CANDIDATE,1.0,0.0,0.983,0.021,3291
KXBTC15M-26AUG250945-45,2026-08-25 13:39:39.497434+00:00,5.3417094333333335,,,479.4300000000076,,,UP,,UP,90%+ LOCK CANDIDATE,1.0,0.0,0.989,0.012,3292
KXBTC15M-26AUG250945-45,2026-08-25 13:40:32.536782+00:00,4.4577203,,,316.1900000000023,,,UP,,UP,LOCK,1.0,0.0,0.981,0.02,3293
