timestamp_utc,contract,elapsed_min,time_left_min,btc_price,kalshi_target,target_gap_dollars,early_bias,raw_model_confidence,preferred_kalshi_ask,model_edge_vs_ask,opportunity_status,price_zone,ladder_status,ladder_direction,ladder_confidence,checkpoints,expected_final_outcome,final_status,final_side,final_confidence,strict_distance_pct,directional_agreement,confidence_change,strict_model_ready,brti_kalshi_gate_ready
2026-09-02T04:24:10.158039+00:00,KXBTC15M-26SEP020030-30,9.16715155,5.83284845,77358.8,77346.26,12.540000000008149,DOWN,0.5226344262646897,0.43,0.0926344262646897,WATCH,ACCEPTABLE PRICE,RAW FORECAST,DOWN,0.5226344262646897,9,UP,PASS,NONE,,0.0005015519268556368,0,-0.00691763283510638,False,False
2026-09-02T04:25:25.525936+00:00,KXBTC15M-26SEP020030-30,10.422991883333333,4.577008116666667,77378.86,77346.26,32.60000000000582,DOWN,0.5425581662235698,0.22,0.3225581662235698,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5425581662235698,9,UP,PASS,NONE,,0.0007611225089081408,0,0.013006107123773702,False,False
2026-09-02T04:26:40.806468+00:00,KXBTC15M-26SEP020030-30,11.678033066666668,3.321966933333332,77371.26,77346.26,25.0,DOWN,0.5333601765410391,0.35,0.1833601765410391,WATCH,ATTRACTIVE PRICE,RAW FORECAST,DOWN,0.5333601765410391,"9,11",UP,PASS,NONE,,0.0005795395008356685,1,0.0038081174412429863,False,False
2026-09-02T04:29:22.002896+00:00,KXBTC15M-26SEP020030-30,14.363992166666666,0.6360078333333341,77396.53,77346.26,50.270000000004075,DOWN,0.5236547512336935,0.004,0.5196547512336935,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5236547512336935,"9,11",UP,PASS,NONE,,0.0010150024553801096,0,-0.005897307866102541,False,False
2026-09-02T04:30:37.722310+00:00,KXBTC15M-26SEP020045-45,0.6264402166666667,14.373559783333333,77395.32,77389.57,5.75,DOWN,0.5277903983504981,0.43,0.09779039835049813,WATCH,ACCEPTABLE PRICE,RAW FORECAST,DOWN,0.5277903983504981,,DOWN,PASS,NONE,,,0,-0.0017616607492979552,False,False
2026-09-02T04:31:53.484528+00:00,KXBTC15M-26SEP020045-45,1.8887840166666665,13.111215983333334,77423.25,77389.57,33.679999999993015,DOWN,0.5562405145325325,0.29,0.26624051453253256,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5562405145325325,,UP,PASS,NONE,,0.0003381341404105065,1,0.03605054557301468,False,False
2026-09-02T04:33:09.041028+00:00,KXBTC15M-26SEP020045-45,3.1485916833333336,11.851408316666667,77457.49,77389.57,67.91999999999825,DOWN,0.5197980418025026,0.26,0.25979804180250254,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5197980418025026,,UP,PASS,NONE,,0.0006394443488313417,0,-0.0003919271570153038,False,False
2026-09-02T04:34:24.400110+00:00,KXBTC15M-26SEP020045-45,4.404515633333333,10.595484366666668,77443.67,77389.57,54.09999999999127,DOWN,0.544076355552353,0.33,0.214076355552353,WATCH,ATTRACTIVE PRICE,RAW FORECAST,DOWN,0.544076355552353,,UP,PASS,NONE,,0.0006247147760354288,1,0.02388638659283515,False,False
2026-09-02T04:35:40.060655+00:00,KXBTC15M-26SEP020045-45,5.6646028,9.3353972,77466.84,77389.57,77.26999999998952,DOWN,0.5336217022207725,0.25,0.28362170222077254,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5336217022207725,,UP,PASS,NONE,,0.0009273170522454688,0,0.013431733261254686,False,False
2026-09-02T04:36:55.305310+00:00,KXBTC15M-26SEP020045-45,6.91898965,8.08101035,77437.46,77389.57,47.88999999999942,DOWN,0.5311734032622749,0.2,0.3311734032622749,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5311734032622749,,UP,PASS,NONE,,0.0005444773663316749,0,0.010983434302757056,False,False
2026-09-02T04:38:11.098306+00:00,KXBTC15M-26SEP020045-45,8.18294935,6.8170506500000005,77462.73,77389.57,73.15999999998894,DOWN,0.5193558613219904,0.18,0.3393558613219904,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5193558613219904,8,UP,PASS,NONE,,0.0009327437369597291,0,-0.0008341076375274481,False,False
2026-09-02T04:39:26.540085+00:00,KXBTC15M-26SEP020045-45,9.44027585,5.559724149999999,77457.25,77389.57,67.67999999999302,DOWN,0.52689417616917,0.09,0.43689417616917003,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.52689417616917,"8,9",UP,PASS,NONE,,0.0008373891341233453,0,0.0067042072096521466,False,False
2026-09-02T04:40:42.390282+00:00,KXBTC15M-26SEP020045-45,10.704466566666667,4.295533433333333,77489.09,77389.57,99.51999999998952,DOWN,0.5453874988733919,0.022,0.5233874988733919,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5453874988733919,"8,9",UP,PASS,NONE,,0.00131920121268303,0,0.02519752991387403,False,False
2026-09-02T04:41:59.168842+00:00,KXBTC15M-26SEP020045-45,11.9841557,3.0158442999999995,77478.22,77389.57,88.64999999999418,DOWN,0.5237925979015998,0.028,0.4957925979015998,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5237925979015998,"8,9,11",UP,PASS,NONE,,0.0009828759671772769,1,0.0036026289420819646,False,False
2026-09-02T04:43:19.276230+00:00,KXBTC15M-26SEP020045-45,13.319113183333334,1.680886816666666,77523.17,77389.57,133.59999999999127,DOWN,0.5382099913146334,0.002,0.5362099913146334,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5382099913146334,"8,9,11",UP,PASS,NONE,,0.001651908668379276,0,0.018020022355115572,False,False
2026-09-02T04:44:36.556368+00:00,KXBTC15M-26SEP020045-45,14.60645085,0.3935491500000001,77516.79,77389.57,127.21999999998661,DOWN,0.5323426188927197,0.001,0.5313426188927197,WATCH,DEEP VALUE PRICE,RAW FORECAST,DOWN,0.5323426188927197,"8,9,11",UP,PASS,NONE,,0.0015694747434338296,0,0.012152649933201864,False,False
2026-09-02T04:45:53.664117+00:00,KXBTC15M-26SEP020100-00,0.8923880000000001,14.107612,77558.73,77538.22,20.50999999999476,DOWN,0.584022644180659,0.47,0.114022644180659,WATCH,ACCEPTABLE PRICE,RAW FORECAST,DOWN,0.584022644180659,,UP,PASS,NONE,,3.14600911981433e-05,0,0.05721355394903249,False,False
2026-09-02T04:47:10.405721+00:00,KXBTC15M-26SEP020100-00,2.17116755,12.82883245,77573.02,77538.22,34.80000000000291,DOWN,0.6416445260820953,0.4,0.2416445260820953,WATCH,ATTRACTIVE PRICE,RAW FORECAST,DOWN,0.6416445260820953,,UP,PASS,NONE,,0.00011191540639354791,1,0.057621881901436356,False,False
2026-09-02T04:48:27.128591+00:00,KXBTC15M-26SEP020100-00,3.44896775,11.55103225,77532.8,77538.22,-5.419999999998254,DOWN,0.5657878056747256,0.49,0.07578780567472565,WATCH,ACCEPTABLE PRICE,RAW FORECAST,DOWN,0.5657878056747256,,UP,PASS,NONE,,0.00033239391438055765,2,-0.018234838505933326,False,False
2026-09-02T04:49:44.154108+00:00,KXBTC15M-26SEP020100-00,4.733848766666667,10.266151233333332,77545.31,77538.22,7.0899999999965075,DOWN,0.5765434321790426,0.35,0.2265434321790426,WATCH,ATTRACTIVE PRICE,RAW FORECAST,DOWN,0.5765434321790426,,UP,PASS,NONE,,0.0001912103083888672,1,-0.0074792120016163866,False,False
2026-09-02T04:51:01.267817+00:00,KXBTC15M-26SEP020100-00,6.01912235,8.98087765,77544.47,77538.22,6.25,DOWN,0.5788192798833864,0.45,0.12881927988338643,WATCH,ACCEPTABLE PRICE,RAW FORECAST,DOWN,0.5788192798833864,,UP,PASS,NONE,,0.0001817980679894582,1,-0.005203364297272528,False,False
2026-09-02T04:52:18.297423+00:00,KXBTC15M-26SEP020100-00,7.30256645,7.69743355,77530.41,77538.22,-7.809999999997672,DOWN,0.569584609769898,0.54,0.029584609769897963,WATCH,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.569584609769898,7,DOWN,PASS,NONE,,0.0003905435091773324,3,-0.01443803441076097,False,False
2026-09-02T04:53:35.337012+00:00,KXBTC15M-26SEP020100-00,8.586764366666667,6.413235633333333,77536.13,77538.22,-2.0899999999965075,DOWN,0.5728523627237098,0.56,0.01285236272370971,WATCH,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5728523627237098,"7,8",UP,PASS,NONE,,0.00029667897478258265,1,-0.011170281456949205,False,False
2026-09-02T04:54:52.744561+00:00,KXBTC15M-26SEP020100-00,9.8763889,5.1236111,77534.46,77538.22,-3.7599999999947613,DOWN,0.5666532453664309,0.73,-0.16334675463356907,WATCH,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5666532453664309,"7,8,9",DOWN,PASS,NONE,,0.0003109907375817844,2,-0.017369398814228054,False,False
2026-09-02T04:56:09.761324+00:00,KXBTC15M-26SEP020100-00,11.160492416666667,3.839507583333333,77501.19,77538.22,-37.029999999998836,DOWN,0.5649881873114427,0.89,-0.3250118126885573,WATCH,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5649881873114427,"7,8,9,11",DOWN,PASS,NONE,,0.0007399568171567728,3,-0.019034456869216232,False,True
2026-09-02T04:57:26.763839+00:00,KXBTC15M-26SEP020100-00,12.443846166666667,2.556153833333333,77496.75,77538.22,-41.470000000001164,DOWN,0.5563301583480005,0.77,-0.21366984165199954,WATCH,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.5563301583480005,"7,8,9,11",DOWN,PASS,NONE,,0.0007972038683534688,2,-0.027692485832658487,False,True
2026-09-02T04:58:43.931855+00:00,KXBTC15M-26SEP020100-00,13.729811266666667,1.2701887333333328,77520.65,77538.22,-17.570000000006985,DOWN,0.562566500690856,0.973,-0.41043349930914397,WATCH,EXPENSIVE / WAIT,RAW FORECAST,DOWN,0.562566500690856,"7,8,9,11",DOWN,PASS,NONE,,0.0004890496963715352,1,-0.02145614348980296,False,True
2026-09-02T05:00:01.155851+00:00,,,,77510.76,,,DOWN,0.5728850333502005,,,WATCH,NO LIVE ASK,RAW FORECAST,DOWN,0.5728850333502005,,DOWN,PASS,NONE,,,0,,False,False
2026-09-02T05:01:18.833920+00:00,KXBTC15M-26SEP020115-15,1.31147735,13.68852265,77528.26,77519.68,8.580000000001746,DOWN,0.5532841906028196,0.44,0.11328419060281963,WATCH,ACCEPTABLE PRICE,RAW FORECAST,DOWN,0.5532841906028196,,UP,PASS,NONE,,0.00017867108446489866,0,-0.02967443677614201,False,False
