ask_max,fair_min,edge_min,min_time_left,min_gap,persistence,strengthening_required,calls,contracts,coverage,accuracy,avg_ask,median_ask,pct_entries_30c_or_less,avg_time_left,median_time_left,avg_fair,avg_edge,avg_abs_target_gap,development_rank
0.45,0.6,0.08,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,1
0.45,0.6,0.1,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,2
0.45,0.6,0.12,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,3
0.45,0.6,0.15,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,4
0.45,0.6,0.2,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,5
0.5,0.6,0.08,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,6
0.5,0.6,0.1,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,7
0.5,0.6,0.12,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,8
0.5,0.6,0.15,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,9
0.5,0.6,0.2,2.0,0.0,1,False,3,23,0.13043478260869565,0.6666666666666666,0.4033333333333333,0.41,0.0,6.888746655555555,7.149462533333334,0.6870352191091721,0.2837018857758388,17.673333333329843,10
0.45,0.6,0.08,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,11
0.45,0.6,0.08,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,12
0.45,0.6,0.1,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,13
0.45,0.6,0.1,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,14
0.45,0.6,0.12,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,15
0.45,0.6,0.12,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,16
0.45,0.6,0.15,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,17
0.45,0.6,0.15,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,18
0.45,0.6,0.2,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,19
0.45,0.6,0.2,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,20
0.5,0.6,0.08,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,21
0.5,0.6,0.08,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,22
0.5,0.6,0.1,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,23
0.5,0.6,0.1,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,24
0.5,0.6,0.12,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,25
0.5,0.6,0.12,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,26
0.5,0.6,0.15,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,27
0.5,0.6,0.15,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,28
0.5,0.6,0.2,4.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,29
0.5,0.6,0.2,6.0,0.0,1,False,2,23,0.08695652173913043,0.5,0.395,0.395,0.0,8.38927505,8.38927505,0.638620636572061,0.24362063657206098,10.494999999995343,30
0.45,0.6,0.08,2.0,0.0,1,True,2,23,0.08695652173913043,0.5,0.4,0.4,0.0,5.5185762,5.5185762,0.7135636994171687,0.31356369941716866,16.71499999999651,31
0.45,0.6,0.08,2.0,0.0,2,False,2,23,0.08695652173913043,0.5,0.4,0.4,0.0,5.5185762,5.5185762,0.7135636994171687,0.31356369941716866,16.71499999999651,32
0.45,0.6,0.08,2.0,0.0,2,True,2,23,0.08695652173913043,0.5,0.4,0.4,0.0,5.5185762,5.5185762,0.7135636994171687,0.31356369941716866,16.71499999999651,33
0.45,0.6,0.08,2.0,0.0,3,False,2,23,0.08695652173913043,0.5,0.4,0.4,0.0,5.5185762,5.5185762,0.7135636994171687,0.31356369941716866,16.71499999999651,34
0.45,0.6,0.08,2.0,0.0,3,True,2,23,0.08695652173913043,0.5,0.4,0.4,0.0,5.5185762,5.5185762,0.7135636994171687,0.31356369941716866,16.71499999999651,35
