model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct2040,avg_time,median_time
RF,LAG,0.65,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,LAG,0.7,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,LAG,0.75,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.670707516666667,5.670707516666667
RF,LAG,0.8,0,,0.0,,,,,
RF,LAG,0.85,0,,0.0,,,,,
RF,LAG,0.9,0,,0.0,,,,,
RF,BRTI,0.55,0,,0.0,,,,,
RF,BRTI,0.6,0,,0.0,,,,,
RF,BRTI,0.65,0,,0.0,,,,,
RF,BRTI,0.7,0,,0.0,,,,,
RF,BRTI,0.75,0,,0.0,,,,,
RF,BRTI,0.8,0,,0.0,,,,,
RF,BRTI,0.85,0,,0.0,,,,,
RF,BRTI,0.9,0,,0.0,,,,,
RF,HYBRID,0.55,0,,0.0,,,,,
RF,HYBRID,0.6,0,,0.0,,,,,
RF,HYBRID,0.65,0,,0.0,,,,,
RF,HYBRID,0.7,0,,0.0,,,,,
RF,HYBRID,0.75,0,,0.0,,,,,
RF,HYBRID,0.8,0,,0.0,,,,,
RF,HYBRID,0.85,0,,0.0,,,,,
RF,HYBRID,0.9,0,,0.0,,,,,
HGB,OPEN,0.55,2,0.0,28.571428571428573,24.5,24.5,100.0,5.514175758333334,5.514175758333334
HGB,OPEN,0.6,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,OPEN,0.65,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,OPEN,0.7,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,OPEN,0.75,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,OPEN,0.8,0,,0.0,,,,,
HGB,OPEN,0.85,0,,0.0,,,,,
HGB,OPEN,0.9,0,,0.0,,,,,
HGB,PULLBACK,0.55,2,0.0,28.571428571428573,24.5,24.5,100.0,5.514175758333334,5.514175758333334
HGB,PULLBACK,0.6,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,PULLBACK,0.65,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,PULLBACK,0.7,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,PULLBACK,0.75,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,PULLBACK,0.8,0,,0.0,,,,,
HGB,PULLBACK,0.85,0,,0.0,,,,,
HGB,PULLBACK,0.9,0,,0.0,,,,,
HGB,LAG,0.55,2,0.0,28.571428571428573,24.5,24.5,100.0,5.514175758333334,5.514175758333334
HGB,LAG,0.6,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,LAG,0.65,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,LAG,0.7,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,LAG,0.75,1,0.0,14.285714285714286,21.0,21.0,100.0,5.440871283333333,5.440871283333333
HGB,LAG,0.8,0,,0.0,,,,,
HGB,LAG,0.85,0,,0.0,,,,,
HGB,LAG,0.9,0,,0.0,,,,,
HGB,BRTI,0.55,0,,0.0,,,,,
HGB,BRTI,0.6,0,,0.0,,,,,
HGB,BRTI,0.65,0,,0.0,,,,,
HGB,BRTI,0.7,0,,0.0,,,,,
HGB,BRTI,0.75,0,,0.0,,,,,
HGB,BRTI,0.8,0,,0.0,,,,,
HGB,BRTI,0.85,0,,0.0,,,,,
HGB,BRTI,0.9,0,,0.0,,,,,
HGB,HYBRID,0.55,0,,0.0,,,,,
HGB,HYBRID,0.6,0,,0.0,,,,,
HGB,HYBRID,0.65,0,,0.0,,,,,
HGB,HYBRID,0.7,0,,0.0,,,,,
HGB,HYBRID,0.75,0,,0.0,,,,,
HGB,HYBRID,0.8,0,,0.0,,,,,
HGB,HYBRID,0.85,0,,0.0,,,,,
HGB,HYBRID,0.9,0,,0.0,,,,,
