minute,distance_threshold,fair_mode,fair_threshold,warned,misses_caught,total_misses,good_flagged,kept,kept_accuracy,rule,catch_all,capture_rate
4,30,AND,0.075,10,2,2,8,22,1.0,4m dist_gain < +$30 AND fair_gain < 0.075,True,1.0
4,30,AND,0.1,10,2,2,8,22,1.0,4m dist_gain < +$30 AND fair_gain < 0.100,True,1.0
5,10,AND,0.05,10,2,2,8,22,1.0,5m dist_gain < +$10 AND fair_gain < 0.050,True,1.0
5,10,AND,0.075,10,2,2,8,22,1.0,5m dist_gain < +$10 AND fair_gain < 0.075,True,1.0
5,15,AND,0.05,10,2,2,8,22,1.0,5m dist_gain < +$15 AND fair_gain < 0.050,True,1.0
5,15,AND,0.075,10,2,2,8,22,1.0,5m dist_gain < +$15 AND fair_gain < 0.075,True,1.0
5,20,AND,0.05,10,2,2,8,22,1.0,5m dist_gain < +$20 AND fair_gain < 0.050,True,1.0
5,20,AND,0.075,10,2,2,8,22,1.0,5m dist_gain < +$20 AND fair_gain < 0.075,True,1.0
5,25,AND,0.05,10,2,2,8,22,1.0,5m dist_gain < +$25 AND fair_gain < 0.050,True,1.0
5,25,AND,0.075,10,2,2,8,22,1.0,5m dist_gain < +$25 AND fair_gain < 0.075,True,1.0
5,30,AND,0.05,10,2,2,8,22,1.0,5m dist_gain < +$30 AND fair_gain < 0.050,True,1.0
5,30,AND,0.075,10,2,2,8,22,1.0,5m dist_gain < +$30 AND fair_gain < 0.075,True,1.0
6,10,AND,0.075,10,2,2,8,22,1.0,6m dist_gain < +$10 AND fair_gain < 0.075,True,1.0
6,10,AND,0.1,10,2,2,8,22,1.0,6m dist_gain < +$10 AND fair_gain < 0.100,True,1.0
6,15,AND,0.075,10,2,2,8,22,1.0,6m dist_gain < +$15 AND fair_gain < 0.075,True,1.0
6,15,AND,0.1,10,2,2,8,22,1.0,6m dist_gain < +$15 AND fair_gain < 0.100,True,1.0
6,20,AND,0.075,10,2,2,8,22,1.0,6m dist_gain < +$20 AND fair_gain < 0.075,True,1.0
6,20,AND,0.1,10,2,2,8,22,1.0,6m dist_gain < +$20 AND fair_gain < 0.100,True,1.0
6,25,AND,0.075,10,2,2,8,22,1.0,6m dist_gain < +$25 AND fair_gain < 0.075,True,1.0
6,30,AND,0.075,10,2,2,8,22,1.0,6m dist_gain < +$30 AND fair_gain < 0.075,True,1.0
4,10,NONE,,11,2,2,9,21,1.0,4m distance_gain < +$10,True,1.0
4,10,OR,0.0,11,2,2,9,21,1.0,4m dist_gain < +$10 OR fair_gain < 0.000,True,1.0
6,25,AND,0.1,11,2,2,9,21,1.0,6m dist_gain < +$25 AND fair_gain < 0.100,True,1.0
6,30,AND,0.1,11,2,2,9,21,1.0,6m dist_gain < +$30 AND fair_gain < 0.100,True,1.0
4,10,OR,0.025,12,2,2,10,20,1.0,4m dist_gain < +$10 OR fair_gain < 0.025,True,1.0
4,15,NONE,,12,2,2,10,20,1.0,4m distance_gain < +$15,True,1.0
4,15,OR,0.0,12,2,2,10,20,1.0,4m dist_gain < +$15 OR fair_gain < 0.000,True,1.0
5,10,AND,0.1,12,2,2,10,20,1.0,5m dist_gain < +$10 AND fair_gain < 0.100,True,1.0
5,15,AND,0.1,12,2,2,10,20,1.0,5m dist_gain < +$15 AND fair_gain < 0.100,True,1.0
5,20,AND,0.1,12,2,2,10,20,1.0,5m dist_gain < +$20 AND fair_gain < 0.100,True,1.0
5,25,AND,0.1,12,2,2,10,20,1.0,5m dist_gain < +$25 AND fair_gain < 0.100,True,1.0
5,30,AND,0.1,12,2,2,10,20,1.0,5m dist_gain < +$30 AND fair_gain < 0.100,True,1.0
4,10,OR,0.05,13,2,2,11,19,1.0,4m dist_gain < +$10 OR fair_gain < 0.050,True,1.0
4,15,OR,0.025,13,2,2,11,19,1.0,4m dist_gain < +$15 OR fair_gain < 0.025,True,1.0
6,10,NONE,,13,2,2,11,19,1.0,6m distance_gain < +$10,True,1.0
6,10,OR,0.0,13,2,2,11,19,1.0,6m dist_gain < +$10 OR fair_gain < 0.000,True,1.0
6,10,OR,0.025,13,2,2,11,19,1.0,6m dist_gain < +$10 OR fair_gain < 0.025,True,1.0
6,10,OR,0.05,13,2,2,11,19,1.0,6m dist_gain < +$10 OR fair_gain < 0.050,True,1.0
6,15,NONE,,13,2,2,11,19,1.0,6m distance_gain < +$15,True,1.0
6,15,OR,0.0,13,2,2,11,19,1.0,6m dist_gain < +$15 OR fair_gain < 0.000,True,1.0
