audit_target,ticker,timestamp_utc,distance_target,target,coinbase_close,_source_line
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:32:33.781106+00:00,106.93000000000757,78649.79,78756.72,3284
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:33:27.044063+00:00,188.57000000000696,78649.79,78838.36,3285
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:34:20.415233+00:00,240.4100000000035,78649.79,78890.2,3286
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:35:13.446500+00:00,320.5300000000134,78649.79,78970.32,3287
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:36:06.578149+00:00,436.9600000000064,78649.79,79086.75,3288
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:36:59.852910+00:00,472.0900000000111,78649.79,79121.88,3289
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:37:52.885237+00:00,456.9300000000076,78649.79,79106.72,3290
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:38:46.255210+00:00,508.7800000000134,78649.79,79158.57,3291
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:39:39.497434+00:00,479.4300000000076,78649.79,79129.22,3292
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:40:32.536782+00:00,316.1900000000023,78649.79,78965.98,3293
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:41:25.792034+00:00,305.2300000000105,78649.79,78955.02,3294
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:42:18.793464+00:00,376.6399999999994,78649.79,79026.43,3295
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:43:11.702488+00:00,177.98000000001048,78649.79,78827.77,3296
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:44:05.039179+00:00,27.5,78649.79,78677.29,3297
KXBTC15M-26AUG250945-45,KXBTC15M-26AUG250945-45,2026-08-25 13:44:58.243133+00:00,-49.06999999999243,78649.79,78600.72,3298
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:01:37.405454+00:00,23.05999999999767,79965.75,79988.81,5226
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:02:30.716198+00:00,-40.5399999999936,79965.75,79925.21,5227
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:03:24.371431+00:00,36.94999999999709,79965.75,80002.7,5228
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:04:18.237860+00:00,20.00999999999476,79965.75,79985.76,5229
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:05:11.971972+00:00,104.52999999999884,79965.75,80070.28,5230
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:06:05.858077+00:00,105.57000000000698,79965.75,80071.32,5231
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:06:58.664998+00:00,136.88000000000466,79965.75,80102.63,5232
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:07:52.133681+00:00,144.69000000000233,79965.75,80110.44,5233
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:08:45.264974+00:00,145.9499999999971,79965.75,80111.7,5234
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:09:38.919991+00:00,175.5500000000029,79965.75,80141.3,5235
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:10:33.143473+00:00,184.25,79965.75,80150.0,5236
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:11:26.789801+00:00,194.24000000000524,79965.75,80159.99,5237
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:12:20.710431+00:00,50.27999999999884,79965.75,80016.03,5238
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:13:14.303418+00:00,47.69999999999709,79965.75,80013.45,5239
KXBTC15M-26AUG270615-15,KXBTC15M-26AUG270615-15,2026-08-27 10:14:08.562697+00:00,-26.210000000006403,79965.75,79939.54,5240
