timestamp_utc,contract,side,side_num,target,seconds_left,minutes_left,btc_price,btc_gap,btc_gap_side,abs_btc_gap,side_bid,side_ask,side_spread,opposite_ask,quote_advantage,btc_move_5s_side,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,btc_move_120s_side,ask_move_5s,ask_move_15s,ask_move_30s,ask_move_60s,ask_move_120s,recent_low_30s,recent_low_60s,recent_low_120s,recent_high_30s,recent_high_60s,recent_high_120s,bounce_from_60s_low,drawdown_from_60s_high,side_fair,side_edge,fair_move_5s,fair_move_15s,fair_move_30s,preferred_fair_side,preferred_fair,preferred_edge,current_target_side,preferred_side_match,dist_over_range5,range5,vol5,broad_candidate,candidate_persistence_30s,brti_value,brti_age_seconds,brti_ready,brti_gap_to_target,brti_gap_side,brti_minus_coinbase,brti_minus_coinbase_side,brti_side,brti_agrees_side,kalshi_lag_15s,kalshi_lag_30s,reversal_state,final60_count,final60_average,final60_side,final60_complete,side_ask_low_30s,side_ask_high_30s,side_ask_low_60s,side_ask_high_60s,side_ask_low_120s,side_ask_high_120s,bounce_from_low_30s,drawdown_from_high_30s,bounce_from_low_60s,drawdown_from_high_60s,bounce_from_low_120s,drawdown_from_high_120s,brti_ready_n,brti_agrees_n,lag15_n,lag30_n,preferred_side_match_n,reversal_safe_n,ask_position_30s,ask_position_60s,ask_position_120s,official_side,prob
2026-09-04 13:05:31.057191+00:00,KXBTC15M-26SEP040915-15,UP,1,0,568.94,9.48238015,79445.23,-6.30000000000291,-6.30000000000291,6.30000000000291,0.42,0.43,0.01,0.58,0.1499999999999999,41.22000000000117,59.45999999999185,32.61999999999534,42.55000000000291,-89.79000000000815,0.0,0.0,0.0,-0.1499999999999999,-0.25,0.43,0.43,0.43,0.43,0.58,0.68,0.0,0.1499999999999999,0.4824532571898636,0.0524532571898636,0.1533644782965326,0.1837352292785072,0.1453561354400733,DOWN,0.5175467428101364,-0.0624532571898636,DOWN,False,0.0350272434115583,179.86000000000058,0.0006848373181456,False,0,79458.3,1.1215763092041016,True,6.7700000000040745,6.7700000000040745,13.070000000006983,13.070000000006983,UP,True,True,True,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,DOWN,0.7367939093967099
2026-09-04 13:37:37.430896+00:00,KXBTC15M-26SEP040945-45,UP,1,1,442.57,7.376151733333333,79278.54,-42.870000000009895,-42.870000000009895,42.870000000009895,0.11,0.12,0.0099999999999999,0.89,0.77,39.54999999998836,152.80999999999767,280.2199999999866,279.09999999999127,163.93999999998778,0.0,0.0,0.0,-0.02,-0.2,0.12,0.12,0.12,0.12,0.14,0.32,0.0,0.02,0.3042815826303708,0.1842815826303708,0.0579704795103856,0.1785671938655468,0.1923014270248472,DOWN,0.6957184173696291,-0.1942815826303708,DOWN,False,0.1026900136536991,417.4700000000012,0.0022653945634642,False,0,79283.01,0.4846649169921875,True,-38.40000000000873,-38.40000000000873,4.470000000001164,4.470000000001164,DOWN,False,True,True,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,,,,UP,0.8844376333054917
2026-09-04 13:53:17.881975+00:00,KXBTC15M-26SEP041000-00,DOWN,0,1,402.12,6.701967083333333,79341.97,-49.81999999999243,49.81999999999243,49.81999999999243,0.24,0.25,0.01,0.76,0.51,102.0399999999936,134.0899999999965,168.75,220.7200000000012,191.66999999999825,0.0,0.0199999999999999,0.0199999999999999,0.06,0.01,0.23,0.19,0.19,0.25,0.25,0.25,0.06,0.0,0.640378634969682,0.3903786349696819,0.4746116460330016,0.5176563620164548,0.5549533427787139,DOWN,0.640378634969682,0.3903786349696819,DOWN,True,0.1532640127976151,325.0599999999977,0.0009560728050492,True,0,79348.39,0.9384407997131348,True,-43.39999999999418,43.39999999999418,6.419999999998254,-6.419999999998254,DOWN,True,False,False,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,DOWN,0.8919682875539934
2026-09-04 14:08:13.261656+00:00,KXBTC15M-26SEP041015-15,DOWN,0,0,406.74,6.7789724,79288.72,-66.91000000000349,66.91000000000349,66.91000000000349,0.41,0.42,0.01,0.59,0.1699999999999999,71.88000000000466,82.67999999999302,90.42999999999302,161.50999999999476,183.69000000000236,0.0,0.07,0.07,0.1099999999999999,0.21,0.35,0.35,0.27,0.42,0.42,0.42,0.07,0.0,0.697171173950172,0.277171173950172,0.2959800833723395,0.4132407024733109,0.4953282226870998,DOWN,0.697171173950172,0.277171173950172,DOWN,True,0.2772437225491193,241.3399999999965,0.0005615236090597,True,0,79279.69,1.3266260623931885,True,-75.94000000000233,75.94000000000233,-9.029999999998836,9.029999999998836,DOWN,True,False,False,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,UP,0.7894692323943846
2026-09-04 14:35:04.756108+00:00,KXBTC15M-26SEP041045-45,UP,1,0,595.24,9.920731533333331,79407.01,40.76999999998952,40.76999999998952,40.76999999998952,0.47,0.48,0.01,0.53,0.05,24.75,54.15999999998894,73.58000000000175,60.64999999999418,33.27999999999884,0.0,0.0,0.0,-0.05,0.0,0.48,0.47,0.47,0.48,0.48,0.53,0.01,0.0,0.7939662554850914,0.3139662554850914,0.1150140474421735,0.3358316334314324,0.4339105977141216,UP,0.7939662554850914,0.3139662554850914,UP,True,0.3643106067374993,111.90999999998894,0.0003051784970147,True,0,79406.29,0.8396170139312744,True,40.04999999998836,40.04999999998836,-0.7200000000011642,-0.7200000000011642,UP,True,True,True,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,DOWN,0.9173329568555968
2026-09-04 14:50:35.152846+00:00,KXBTC15M-26SEP041100-00,UP,1,0,564.85,9.414119233333334,78769.46,-217.61999999999531,-217.61999999999531,217.61999999999531,0.099,0.1,0.001,0.901,0.801,21.04000000000815,104.34000000001106,106.07000000000698,77.54000000000815,-30.90999999998894,0.0,0.0,-0.03,-0.12,-0.15,0.1,0.1,0.1,0.13,0.22,0.25,0.0,0.12,0.1347088312468003,0.0347088312468003,0.0062206265694701,0.020435996095108,0.0213740938367213,DOWN,0.8652911687531997,-0.0357088312468003,DOWN,False,0.4558537045183091,477.3899999999994,0.0015740300334917,False,0,78777.1,1.2132725715637207,True,-209.97999999999595,-209.97999999999595,7.639999999999418,7.639999999999418,DOWN,False,True,True,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,,,,DOWN,0.704882433231769
2026-09-04 15:35:01.586964+00:00,KXBTC15M-26SEP041145-45,UP,1,1,598.41,9.9735506,79365.02,-46.09999999999127,-46.09999999999127,46.09999999999127,0.42,0.43,0.01,0.58,0.1499999999999999,-1.2299999999959257,5.139999999999418,-13.610000000000582,-30.94000000000233,-49.64999999999418,0.0,0.0,-0.01,-0.0499999999999999,-0.1399999999999999,0.43,0.43,0.43,0.44,0.44,0.57,0.0,0.01,0.2991095530570019,-0.130890446942998,0.0164665657679779,0.0384910450850475,-0.0049664515780487,DOWN,0.7008904469429981,0.1208904469429981,DOWN,False,0.5642594859240259,81.69999999999709,0.0005757030385162,False,0,79371.06,1.6424813270568848,True,-40.05999999999767,-40.05999999999767,6.039999999993597,6.039999999993597,DOWN,False,True,False,MIXED,0.0,,,False,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,,,,UP,0.7102461692182862
2026-09-04 15:50:07.232524+00:00,KXBTC15M-26SEP041200-00,UP,1,0,592.77,9.879457933333333,79407.59,-122.13000000000466,-122.13000000000466,122.13000000000466,0.18,0.19,0.01,0.82,0.6299999999999999,11.309999999997672,16.64999999999418,1.8799999999901047,-87.55000000000291,-66.82000000000698,0.0,0.0,-0.1699999999999999,-0.19,-0.14,0.19,0.19,0.19,0.36,0.38,0.38,0.0,0.19,0.1436566399606923,-0.0463433600393076,0.0176856318660545,0.0087724104648014,-0.0102168042234649,DOWN,0.8563433600393077,0.0363433600393077,DOWN,False,0.750092126274477,162.81999999999243,0.0006990401753613,False,0,79420.67,0.3084127902984619,True,-109.05000000000292,-109.05000000000292,13.080000000001746,13.080000000001746,DOWN,False,True,True,PUSH,0.0,,,False,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,,,,DOWN,0.7240539507273573
2026-09-04 16:05:03.108133+00:00,KXBTC15M-26SEP041215-15,UP,1,1,596.89,9.948197783333336,79413.22,-17.339999999996508,-17.339999999996508,17.339999999996508,0.45,0.46,0.01,0.55,0.09,-0.0099999999947613,-22.130000000004657,-14.979999999995924,-25.70999999999185,-21.110000000000586,-0.09,-0.09,-0.09,-0.1,-0.18,0.46,0.46,0.46,0.55,0.56,0.64,0.0,0.1,0.3319523498592184,-0.1280476501407815,-0.0238270258377318,-0.2731442688581048,-0.1794477265913991,DOWN,0.6680476501407815,0.1180476501407814,DOWN,False,0.1835503334391478,94.47000000000116,0.0003262066141478,False,0,79425.37,1.185502052307129,True,-5.190000000002328,-5.190000000002328,12.14999999999418,12.14999999999418,DOWN,False,False,False,AGAINST,0.0,,,False,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,UP,0.7888997350089904
