ticker,call_time,correct,call_side,official_side,initial_fair,initial_remaining_min,initial_distance,drop_4m,drop_6m,state
KXBTC15M-26AUG250900-00,2026-08-25 12:50:12.257726+00:00,True,UP,UP,0.8018867924528301,9.795704566666666,138.63000000000466,36.33000000000173,36.33000000000173,CLEAN
KXBTC15M-26AUG250915-15,2026-08-25 13:06:09.989316+00:00,False,UP,DOWN,0.8018867924528301,8.833511399999999,92.19000000000231,253.5100000000093,257.0,CONFIRMED_DANGER
KXBTC15M-26AUG250930-30,2026-08-25 13:18:44.181812+00:00,True,DOWN,DOWN,0.8928571428571429,11.263636466666666,-179.5899999999965,105.38000000000466,105.38000000000466,CONFIRMED_DANGER
KXBTC15M-26AUG250945-45,2026-08-25 13:33:27.044063+00:00,True,UP,UP,0.8018867924528301,11.549265616666666,188.57000000000696,0.0,0.0,CLEAN
KXBTC15M-26AUG251000-00,2026-08-25 13:48:31.159703+00:00,True,DOWN,DOWN,0.8018867924528301,11.480671616666664,-190.9499999999971,4.19999999999709,4.19999999999709,CLEAN
KXBTC15M-26AUG251015-15,2026-08-25 14:05:00.157851+00:00,True,UP,UP,0.8928571428571429,9.99736915,201.4899999999907,0.0,0.0,CLEAN
KXBTC15M-26AUG251130-30,2026-08-25 15:20:10.488561+00:00,True,UP,UP,0.8018867924528301,9.82519065,140.09999999999127,76.90999999998894,135.3799999999901,LATE_DANGER_ONLY
KXBTC15M-26AUG251145-45,2026-08-25 15:36:08.171359+00:00,True,UP,UP,0.8018867924528301,8.863810683333332,170.39999999999418,23.729999999995925,92.95999999999185,LATE_DANGER_ONLY
KXBTC15M-26AUG251445-45,2026-08-25 18:36:59.578019+00:00,True,DOWN,DOWN,0.890625,8.007033016666666,-132.43000000000757,15.259999999994761,33.30999999999767,CLEAN
KXBTC15M-26AUG251530-30,2026-08-25 19:20:02.457742+00:00,False,UP,DOWN,0.8018867924528301,9.959037633333333,84.63999999999942,85.61000000000058,129.5500000000029,LATE_DANGER_ONLY
KXBTC15M-26AUG251600-00,2026-08-25 19:51:56.810572+00:00,True,UP,UP,0.8018867924528301,8.053157133333334,118.75,0.0,0.0,CLEAN
KXBTC15M-26AUG251615-15,2026-08-25 20:04:15.725822+00:00,True,DOWN,DOWN,0.9301075268817204,10.737902966666669,-213.4000000000088,100.22000000000122,136.57000000000704,CONFIRMED_DANGER
KXBTC15M-26AUG251630-30,2026-08-25 20:19:41.784519+00:00,False,UP,DOWN,0.8018867924528301,10.30359135,101.8799999999901,58.2899999999936,74.1299999999901,CLEAN
KXBTC15M-26AUG251700-00,2026-08-25 20:48:23.204181+00:00,True,DOWN,DOWN,0.8928571428571429,11.61326365,-237.36000000000053,171.65999999998888,171.65999999998888,CONFIRMED_DANGER
KXBTC15M-26AUG251815-15,2026-08-25 22:05:43.935703+00:00,True,UP,UP,0.890625,9.267738283333331,144.13999999999942,0.0,0.0,CLEAN
KXBTC15M-26AUG251845-45,2026-08-25 22:33:30.630121+00:00,True,UP,UP,0.8018867924528301,11.489497983333331,178.80999999999767,9.10000000000582,9.10000000000582,CLEAN
KXBTC15M-26AUG251900-00,2026-08-25 22:50:17.106495+00:00,True,UP,UP,0.890625,9.71489175,97.38000000000466,9.639999999999418,9.639999999999418,CLEAN
KXBTC15M-26AUG251915-15,2026-08-25 23:05:29.994333+00:00,True,UP,UP,0.8018867924528301,9.50009445,67.55000000000291,111.94000000000233,147.47999999999593,CONFIRMED_DANGER
KXBTC15M-26AUG251930-30,2026-08-25 23:19:17.087479+00:00,True,DOWN,DOWN,0.8018867924528301,10.715208683333334,-139.58000000000175,0.0,0.0,CLEAN
KXBTC15M-26AUG252000-00,2026-08-25 23:51:04.369678+00:00,True,DOWN,DOWN,0.8018867924528301,8.927172033333333,-120.65000000000872,43.940000000002314,43.940000000002314,CLEAN
KXBTC15M-26AUG252030-30,2026-08-26 00:19:21.032377+00:00,True,UP,UP,0.8928571428571429,10.649460383333333,212.9499999999971,87.56999999999243,87.56999999999243,LATE_DANGER_ONLY
KXBTC15M-26AUG252100-00,2026-08-26 00:48:27.752509+00:00,True,UP,UP,0.8018867924528301,11.537458183333332,105.58999999999652,0.0,0.0,CLEAN
KXBTC15M-26AUG252115-15,2026-08-26 01:05:11.875734+00:00,True,UP,UP,0.8928571428571429,9.8020711,184.0800000000017,0.0,64.66999999999821,CLEAN
KXBTC15M-26AUG252130-30,2026-08-26 01:20:09.946951+00:00,False,UP,DOWN,0.8928571428571429,9.834217483333331,131.97000000000116,35.63000000000464,99.72999999999593,LATE_DANGER_ONLY
KXBTC15M-26AUG252145-45,2026-08-26 01:33:22.009018+00:00,True,UP,UP,0.8018867924528301,11.633183033333331,177.97000000000116,22.479999999995925,22.479999999995925,CLEAN
KXBTC15M-26AUG252230-30,2026-08-26 02:20:12.204993+00:00,True,UP,UP,0.8018867924528301,9.796583450000002,124.72999999999593,22.220000000001164,22.220000000001164,CLEAN
KXBTC15M-26AUG260015-15,2026-08-26 04:04:24.069385+00:00,True,DOWN,DOWN,0.8018867924528301,10.598843583333332,-121.44999999999708,107.37999999999009,126.25999999999475,CONFIRMED_DANGER
KXBTC15M-26AUG260030-30,2026-08-26 04:19:40.533873+00:00,False,UP,DOWN,0.8018867924528301,10.32443545,116.2899999999936,98.86999999999534,98.86999999999534,LATE_DANGER_ONLY
KXBTC15M-26AUG260100-00,2026-08-26 04:48:14.402245+00:00,True,DOWN,DOWN,0.890625,11.759962583333332,-162.74000000000524,79.83999999999651,79.83999999999651,CLEAN
KXBTC15M-26AUG260115-15,2026-08-26 05:06:04.577489+00:00,False,DOWN,UP,0.8928571428571429,8.923708516666666,-142.20999999999185,114.43999999998778,156.36999999999534,CONFIRMED_DANGER
KXBTC15M-26AUG260130-30,2026-08-26 05:20:06.490823+00:00,False,DOWN,UP,0.9301075268817204,9.891819616666668,-157.54000000000815,156.1200000000099,294.8899999999994,CONFIRMED_DANGER
KXBTC15M-26AUG260845-45,2026-08-26 12:34:50.757113+00:00,True,DOWN,DOWN,0.8018867924528301,10.154048116666669,-206.86000000000053,0.12999999999004785,0.12999999999004785,CLEAN
KXBTC15M-26AUG260945-45,2026-08-26 13:34:35.600720+00:00,True,UP,UP,0.9301075268817204,10.406654666666666,271.8799999999901,50.76999999998955,50.76999999998955,CLEAN
KXBTC15M-26AUG261000-00,2026-08-26 13:51:28.570915+00:00,True,DOWN,DOWN,0.9301075268817204,8.523818083333333,-175.00999999999476,0.0,42.50999999999476,CLEAN
KXBTC15M-26AUG261015-15,2026-08-26 14:06:01.820819+00:00,True,UP,UP,0.8018867924528301,8.969653016666665,99.55999999999769,5.100000000005849,34.91999999999827,CLEAN
KXBTC15M-26AUG261145-45,2026-08-26 15:35:02.141901+00:00,True,DOWN,DOWN,0.9301075268817204,9.96430165,-182.2599999999948,56.729999999995954,75.53999999999363,CLEAN
KXBTC15M-26AUG261200-00,2026-08-26 15:49:08.920076+00:00,False,UP,DOWN,0.8018867924528301,10.851332066666666,98.70999999999184,57.22000000000115,89.37999999999009,LATE_DANGER_ONLY
KXBTC15M-26AUG261215-15,2026-08-26 16:04:43.203673+00:00,True,UP,UP,0.8018867924528301,10.279938783333334,99.94000000000231,6.589999999996493,6.589999999996493,CLEAN
KXBTC15M-26AUG261245-45,2026-08-26 16:36:08.324460+00:00,False,UP,DOWN,0.890625,8.861258999999999,101.16000000000348,165.38999999999942,168.2600000000093,CONFIRMED_DANGER
KXBTC15M-26AUG261300-00,2026-08-26 16:48:31.692183+00:00,True,UP,UP,0.8928571428571429,11.47179695,226.88999999999945,21.929999999993044,99.7700000000041,LATE_DANGER_ONLY
KXBTC15M-26AUG261315-15,2026-08-26 17:05:52.562785+00:00,True,UP,UP,0.8018867924528301,9.123953583333334,65.77999999999884,3.6900000000023283,3.6900000000023283,CLEAN
KXBTC15M-26AUG261330-30,2026-08-26 17:20:00.955509+00:00,True,UP,UP,0.890625,9.98407485,126.40999999998894,1.5499999999883585,1.5499999999883585,CLEAN
KXBTC15M-26AUG261400-00,2026-08-26 17:48:19.551748+00:00,True,DOWN,DOWN,0.8018867924528301,11.674137533333331,-149.73000000001048,60.220000000001164,70.70000000001164,CLEAN
KXBTC15M-26AUG261415-15,2026-08-26 18:04:45.221607+00:00,True,UP,UP,0.8018867924528301,10.246306550000002,90.73000000001048,62.26000000000931,62.26000000000931,CLEAN
KXBTC15M-26AUG261500-00,2026-08-26 18:48:30.266873+00:00,True,UP,UP,0.890625,11.495552116666666,108.0,34.60000000000582,34.60000000000582,CLEAN
KXBTC15M-26AUG261530-30,2026-08-26 19:18:44.100509+00:00,True,UP,UP,0.8018867924528301,11.264991516666669,35.10000000000582,131.72000000000116,131.72000000000116,CONFIRMED_DANGER
KXBTC15M-26AUG261615-15,2026-08-26 20:05:45.355978+00:00,False,UP,DOWN,0.8018867924528301,9.244067033333332,66.54000000000815,24.430000000007567,47.24000000000524,CLEAN
KXBTC15M-26AUG261815-15,2026-08-26 22:05:30.766826+00:00,True,UP,UP,0.9301075268817204,9.487219566666663,106.72000000000116,46.0399999999936,71.99000000000524,CLEAN
KXBTC15M-26AUG261830-30,2026-08-26 22:20:35.544428+00:00,True,UP,UP,0.890625,9.407592866666668,138.74000000000524,15.180000000007553,66.30999999999767,CLEAN
KXBTC15M-26AUG261845-45,2026-08-26 22:36:31.440108+00:00,True,DOWN,DOWN,0.890625,8.4759982,-117.93000000000757,0.0,0.0,CLEAN
KXBTC15M-26AUG270045-45,2026-08-27 04:35:25.618188+00:00,False,DOWN,UP,0.8018867924528301,9.5730302,-99.44000000000231,32.16999999999824,59.62000000000988,CLEAN
KXBTC15M-26AUG270100-00,2026-08-27 04:51:49.135939+00:00,True,DOWN,DOWN,0.890625,8.181067683333334,-112.41999999999824,51.159999999988926,51.159999999988926,CLEAN
KXBTC15M-26AUG270115-15,2026-08-27 05:06:32.548751+00:00,True,DOWN,DOWN,0.890625,8.457520816666667,-111.55999999999769,55.589999999996515,55.589999999996515,CLEAN
KXBTC15M-26AUG270200-00,2026-08-27 05:49:31.356400+00:00,True,UP,UP,0.8928571428571429,10.477393333333334,122.4200000000128,0.0,0.0,CLEAN
