ticker,elapsed,remaining,current_side,dist_target,abs_dist_target,dist_target_pct,move_from_start,move_from_start_pct,move1,move2,move3,move5,support1,support2,support3,support5,range5,vol5,dist_per_min_remaining,dist_over_range5,final_side,flip,start,snapshot_utc,fair_up,fair_down,preferred_side_num,preferred_side,preferred_fair,candle_end_utc,yes_ask,yes_bid,no_ask,preferred_ask,edge,correct
KXBTC15M-26AUG302000-00,13.0,2.0,1,205.0500000000029,205.0500000000029,0.0026463732876977897,327.7299999999959,0.00423638766547152,20.64999999999418,32.770000000004075,113.48999999999069,144.6999999999971,20.64999999999418,32.770000000004075,113.48999999999069,144.6999999999971,196.1299999999901,0.00038751738808441436,102.52500000000146,1.0454800387498764,1,0,2026-08-30 23:45:00+00:00,2026-08-30 23:58:00+00:00,0.9202627105498016,0.07973728945019842,1,UP,0.9202627105498016,2026-08-30 23:58:00+00:00,0.986,0.985,0.015000000000000013,0.986,-0.06573728945019841,True
KXBTC15M-26AUG302030-30,7.0,8.0,1,190.38999999999942,190.38999999999942,0.002449383292913377,131.13999999999942,0.0016858420378608628,8.430000000007567,-8.669999999998254,72.07000000000698,69.91000000000349,8.430000000007567,-8.669999999998254,72.07000000000698,69.91000000000349,110.55000000000291,0.0005081710466848104,23.798749999999927,1.7222071460876924,1,0,2026-08-31 00:15:00+00:00,2026-08-31 00:22:00+00:00,0.9211815769152479,0.07881842308475207,1,UP,0.9211815769152479,2026-08-31 00:22:00+00:00,0.87,0.86,0.14,0.87,0.05118157691524794,True
KXBTC15M-26AUG302045-45,12.0,3.0,1,145.40999999998894,145.40999999998894,0.0018667027144020451,154.66999999999825,0.001985814145924642,-2.2600000000093132,43.86000000000058,34.5399999999936,7.5,-2.2600000000093132,43.86000000000058,34.5399999999936,7.5,74.48999999999069,0.00029362917806075256,48.46999999999631,1.9520741039066603,1,0,2026-08-31 00:30:00+00:00,2026-08-31 00:42:00+00:00,0.9209286392193455,0.07907136078065446,1,UP,0.9209286392193455,2026-08-31 00:42:00+00:00,0.977,0.974,0.026000000000000023,0.977,-0.056071360780654445,True
KXBTC15M-26AUG302115-15,10.0,5.0,0,-303.6399999999994,303.6399999999994,-0.003896717230050556,-309.06999999999243,-0.003966125919974423,-15.119999999995343,-35.49000000000524,-54.89999999999418,-132.61999999999534,15.119999999995343,35.49000000000524,54.89999999999418,132.61999999999534,157.75,9.302077070736278e-05,60.72799999999988,1.9248177496037997,0,0,2026-08-31 01:00:00+00:00,2026-08-31 01:10:00+00:00,0.095402191836505,0.904597808163495,0,DOWN,0.904597808163495,2026-08-31 01:10:00+00:00,0.021,0.02,0.98,0.98,-0.07540219183650498,True
KXBTC15M-26AUG302130-30,9.0,6.0,1,205.02000000000407,205.02000000000407,0.0026410270712360316,241.44000000000233,0.003111642147749676,56.69000000000233,68.30999999999767,102.48000000001048,74.25,56.69000000000233,68.30999999999767,102.48000000001048,74.25,157.4499999999971,0.00043610909082685695,34.17000000000068,1.302127659574518,1,0,2026-08-31 01:15:00+00:00,2026-08-31 01:24:00+00:00,0.9202013644229141,0.07979863557708589,1,UP,0.9202013644229141,2026-08-31 01:24:00+00:00,0.926,0.925,0.07499999999999996,0.926,-0.005798635577085931,True
KXBTC15M-26AUG302215-15,10.0,5.0,1,141.1600000000035,141.1600000000035,0.0018184474251501158,209.68000000000757,0.0027035202236671426,50.060000000012224,75.51000000000931,54.770000000004075,71.74000000000524,50.060000000012224,75.51000000000931,54.770000000004075,71.74000000000524,131.0,0.0004083003559632881,28.2320000000007,1.0775572519084236,1,0,2026-08-31 02:00:00+00:00,2026-08-31 02:10:00+00:00,0.9203704354235204,0.07962956457647963,1,UP,0.9203704354235204,2026-08-31 02:10:00+00:00,0.83,0.82,0.18000000000000005,0.83,0.09037043542352041,True
KXBTC15M-26AUG302230-30,9.0,6.0,0,-156.80999999999767,156.80999999999767,-0.0020112484207960813,-94.66000000000349,-0.0012150797741076523,-21.660000000003492,8.680000000007567,-9.779999999998836,-36.529999999998836,21.660000000003492,-8.680000000007567,9.779999999998836,36.529999999998836,75.89999999999418,0.00035315498707257667,26.13499999999961,2.0660079051384677,0,0,2026-08-31 02:15:00+00:00,2026-08-31 02:24:00+00:00,0.09750057817469168,0.9024994218253083,0,DOWN,0.9024994218253083,2026-08-31 02:24:00+00:00,0.098,0.096,0.904,0.904,-0.0015005781746917357,True
KXBTC15M-26AUG302245-45,9.0,6.0,0,-112.38999999999942,112.38999999999942,-0.001443427505237378,-137.0399999999936,-0.0017594510471647354,-15.610000000000582,-9.889999999999418,-10.580000000001746,-74.61000000000058,15.610000000000582,9.889999999999418,10.580000000001746,74.61000000000058,95.75999999999476,0.00010223387071706177,18.73166666666657,1.1736633249791726,0,0,2026-08-31 02:30:00+00:00,2026-08-31 02:39:00+00:00,0.09686727049342289,0.9031327295065771,0,DOWN,0.9031327295065771,2026-08-31 02:39:00+00:00,0.15,0.14,0.86,0.86,0.043132729506577094,True
KXBTC15M-26AUG302300-00,10.0,5.0,0,-317.24000000000524,317.24000000000524,-0.004081878961300576,-313.18000000000757,-0.0040298500740848465,-14.630000000004657,-100.59000000001106,-77.30000000000291,-118.84000000001106,14.630000000004657,100.59000000001106,77.30000000000291,118.84000000001106,162.06999999999243,0.0005061278492676567,63.448000000001045,1.9574258036652068,0,0,2026-08-31 02:45:00+00:00,2026-08-31 02:55:00+00:00,0.09799333728144966,0.9020066627185503,0,DOWN,0.9020066627185503,2026-08-31 02:55:00+00:00,0.013,0.012,0.988,0.988,-0.08599333728144964,True
KXBTC15M-26AUG302315-15,8.0,7.0,1,95.22999999999593,95.22999999999593,0.0012295841325156238,131.10999999998603,0.0016936416550846778,34.929999999993015,11.459999999991851,32.25999999999476,-34.19000000000233,34.929999999993015,11.459999999991851,32.25999999999476,-34.19000000000233,92.76000000000931,0.00031087443698875567,13.604285714285131,1.0266278568346956,1,0,2026-08-31 03:00:00+00:00,2026-08-31 03:08:00+00:00,0.9148101344646876,0.08518986553531238,1,UP,0.9148101344646876,2026-08-31 03:08:00+00:00,0.81,0.8,0.19999999999999996,0.81,0.10481013446468757,True
KXBTC15M-26AUG302330-30,13.0,2.0,1,63.68000000000757,63.68000000000757,0.0008201083140541885,49.020000000004075,0.0006311890845235072,-4.1599999999889405,5.2700000000040745,-12.25,10.160000000003492,-4.1599999999889405,5.2700000000040745,-12.25,10.160000000003492,59.60000000000582,0.0001411749897210451,31.840000000003783,1.0684563758389487,1,0,2026-08-31 03:15:00+00:00,2026-08-31 03:28:00+00:00,0.9156799604711112,0.08432003952888878,1,UP,0.9156799604711112,2026-08-31 03:28:00+00:00,0.986,0.985,0.015000000000000013,0.986,-0.07032003952888877,True
KXBTC15M-26AUG310000-00,13.0,2.0,0,-61.75999999999476,61.75999999999476,-0.0007937551417043754,-83.97000000000116,-0.0010788957103456188,4.389999999999418,-19.49000000000524,-13.720000000001164,-40.38999999999942,-4.389999999999418,19.49000000000524,13.720000000001164,40.38999999999942,55.419999999998254,0.00015235181119819806,30.87999999999738,1.1143991338866241,0,0,2026-08-31 03:45:00+00:00,2026-08-31 03:58:00+00:00,0.08549678691288218,0.9145032130871178,0,DOWN,0.9145032130871178,2026-08-31 03:58:00+00:00,0.013,0.01,0.99,0.99,-0.0754967869128822,True
KXBTC15M-26AUG310015-15,11.0,4.0,0,-138.72999999999593,138.72999999999593,-0.0017845106584410317,-124.97999999999593,-0.0016079261573613431,-15.160000000003492,-7.4100000000034925,7.389999999999418,-64.52999999999884,15.160000000003492,7.4100000000034925,-7.389999999999418,64.52999999999884,116.20999999999185,0.0004689918117468155,34.68249999999898,1.1937871095431172,0,0,2026-08-31 04:00:00+00:00,2026-08-31 04:11:00+00:00,0.09030837854848729,0.9096916214515127,0,DOWN,0.9096916214515127,2026-08-31 04:11:00+00:00,0.034,0.032,0.968,0.968,-0.05830837854848725,True
