ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,calls,contracts,coverage,accuracy,avg_ask,avg_time_left,meets90,validation_rank
0.6,0.6,0.05,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,1
0.6,0.6,0.05,4.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,2
0.6,0.6,0.08,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,3
0.6,0.6,0.08,4.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,4
0.6,0.6,0.1,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,5
0.6,0.6,0.1,4.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,6
0.6,0.6,0.12,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,7
0.6,0.6,0.12,4.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,8
0.6,0.65,0.05,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,9
0.6,0.65,0.05,4.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,10
0.6,0.65,0.08,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,11
0.6,0.65,0.08,4.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,12
0.6,0.65,0.1,2.0,12.0,75.0,0.0,24,83,0.2891566265060241,0.9583333333333334,0.5358333333333333,9.583333333333334,True,13
