ticker,official_side,last_remaining_min,last_distance,last_side,last_matches_official,one_min_remaining,one_min_distance,one_min_side,one_min_matches_official,final60_n,final60_mean_distance,final60_side,final60_matches_official,final90_n,final90_mean_distance,final90_side,final90_matches_official,final120_n,final120_mean_distance,final120_side,final120_matches_official
KXBTC15M-26AUG241915-15,DOWN,0.0541312833333333,-5.029999999998836,DOWN,True,1.0023193666666663,-5.7299999999959255,DOWN,True,1,-5.029999999998836,DOWN,True,2,-5.379999999997381,DOWN,True,3,22.796666666671324,UP,False
KXBTC15M-26AUG241930-30,UP,0.82524975,166.75999999999476,UP,True,0.82524975,166.75999999999476,UP,True,1,166.75999999999476,UP,True,1,166.75999999999476,UP,True,2,169.37499999999272,UP,True
KXBTC15M-26AUG241945-45,UP,0.1777859833333333,54.179999999993015,UP,True,1.1246882,74.75,UP,True,1,54.179999999993015,UP,True,2,64.46499999999651,UP,True,2,64.46499999999651,UP,True
KXBTC15M-26AUG242000-00,UP,0.0038781666666666,30.20999999999185,UP,True,0.9523697666666668,13.779999999998836,UP,True,2,21.994999999995343,UP,True,2,21.994999999995343,UP,True,3,-3.470000000006015,DOWN,False
KXBTC15M-26AUG242015-15,DOWN,0.7578588666666667,-37.76000000000931,DOWN,True,0.7578588666666667,-37.76000000000931,DOWN,True,1,-37.76000000000931,DOWN,True,1,-37.76000000000931,DOWN,True,2,2.7049999999944703,UP,False
KXBTC15M-26AUG242030-30,DOWN,0.0490772166666666,-157.33000000000175,DOWN,True,0.9948919,-182.3700000000099,DOWN,True,2,-169.85000000000582,DOWN,True,2,-169.85000000000582,DOWN,True,3,-164.5133333333409,DOWN,True
KXBTC15M-26AUG242045-45,UP,0.798937,523.8699999999953,UP,True,0.798937,523.8699999999953,UP,True,1,523.8699999999953,UP,True,1,523.8699999999953,UP,True,2,377.8399999999965,UP,True
KXBTC15M-26AUG242100-00,UP,0.1057232333333333,414.08000000000175,UP,True,1.060189533333333,482.1100000000006,UP,True,1,414.08000000000175,UP,True,2,448.09500000000116,UP,True,2,448.09500000000116,UP,True
KXBTC15M-26AUG242115-15,DOWN,2.7203831166666665,-58.81999999999243,DOWN,True,2.7203831166666665,-58.81999999999243,DOWN,True,0,,,,0,,,,0,,,
KXBTC15M-26AUG242300-00,DOWN,0.2826526833333334,-222.32000000000696,DOWN,True,1.1610321,-208.32000000000696,DOWN,True,1,-222.32000000000696,DOWN,True,2,-215.32000000000696,DOWN,True,2,-215.32000000000696,DOWN,True
KXBTC15M-26AUG242315-15,UP,0.7468006666666667,168.33000000000175,UP,True,0.7468006666666667,168.33000000000175,UP,True,1,168.33000000000175,UP,True,1,168.33000000000175,UP,True,2,160.94000000000233,UP,True
KXBTC15M-26AUG242330-30,DOWN,6.034551433333333,-44.36999999999534,DOWN,True,6.034551433333333,-44.36999999999534,DOWN,True,0,,,,0,,,,0,,,
KXBTC15M-26AUG250015-15,UP,0.517982,-5.150000000008731,DOWN,False,1.3990872166666668,-7.930000000007567,DOWN,False,1,-5.150000000008731,DOWN,False,2,-6.540000000008149,DOWN,False,2,-6.540000000008149,DOWN,False
