ticker,correct,warning,call_side,initial_fair,initial_signed_distance,1m_distance_gain,1m_fair_gain,1m_ask_change,2m_distance_gain,2m_fair_gain,2m_ask_change,3m_distance_gain,3m_fair_gain,3m_ask_change,4m_distance_gain,4m_fair_gain,4m_ask_change,5m_distance_gain,5m_fair_gain,5m_ask_change,6m_distance_gain,6m_fair_gain,6m_ask_change
KXBTC15M-26AUG270045-45,False,True,DOWN,0.8018867924528301,99.44000000000231,-32.16999999999824,-0.16710418375717795,0.058113207547169865,11.349999999991283,0.09097035040431278,0.048113207547169856,-18.240000000005224,-0.042488296212228605,0.048113207547169856,-31.639999999999404,-0.042488296212228605,0.08811320754716989,-59.62000000000988,-0.1953294154036498,0.008113207547169932,-36.91999999999823,0.12822073442889026,0.10811320754716991
KXBTC15M-26AUG270100-00,True,True,DOWN,0.890625,112.41999999999824,-4.629999999990076,0.03948252688172038,0.009375000000000022,-9.779999999998822,0.03948252688172038,-0.030625000000000013,-23.949999999997075,0.07489224137931039,-0.0006249999999999867,-51.159999999988926,-0.08873820754716988,0.009375000000000022,-45.05999999999766,0.03948252688172038,0.009375000000000022,-59.23999999999067,0.09747023809523803,0.06937499999999996
KXBTC15M-26AUG270115-15,True,True,DOWN,0.890625,111.55999999999769,-2.0,0.0,-0.05062500000000003,-2.0099999999947613,0.03948252688172038,-0.030625000000000013,-22.619999999995358,0.03948252688172038,-0.06062500000000004,-55.589999999996515,-0.13122650375939848,-0.06062500000000004,-18.52000000000409,0.05809294871794879,0.010375000000000023,-22.63000000000467,0.109375,0.08837499999999998
KXBTC15M-26AUG270200-00,True,False,UP,0.8928571428571429,122.4200000000128,16.75,-0.09097035040431278,-0.04285714285714293,1.8399999999965075,0.09523809523809512,-0.02285714285714291,35.08999999999651,0.037250384024577476,0.04014285714285715,84.38999999999945,0.1071428571428571,0.05714285714285705,15.44999999999709,0.1071428571428571,0.05714285714285705,-32.070000000006985,-0.0022321428571429047,0.00914285714285712
KXBTC15M-26AUG270245-45,True,False,UP,0.8018867924528301,111.49000000000524,-19.449999999997075,0.08873820754716988,0.06811320754716987,-3.5200000000040745,0.12822073442889026,0.0981132075471699,-8.14999999999418,0.12822073442889026,0.11911320754716992,-11.380000000004657,0.12822073442889026,0.12311320754716992,-30.110000000000582,0.1862084456424079,0.14111320754716983,-44.419999999998254,0.16363044892648027,0.14611320754716983
KXBTC15M-26AUG270300-00,True,False,UP,0.8018867924528301,62.2100000000064,21.880000000004657,0.12822073442889026,0.01811320754716983,-3.25,0.0,-0.06188679245283013,3.389999999999418,0.08873820754716988,0.02811320754716984,23.869999999995343,0.1862084456424079,0.13911320754716983,13.75,0.1862084456424079,0.06811320754716987,39.449999999997075,0.19811320754716988,0.17811320754716986
KXBTC15M-26AUG270530-30,True,False,UP,1.0,223.77999999999884,-55.01000000000931,-0.1071428571428571,-0.10999999999999999,-34.69000000000233,-0.011904761904761973,-0.06599999999999995,-29.130000000004685,0.0,-0.07899999999999996,-14.220000000001164,0.0,-0.026000000000000023,265.6299999999901,0.0,-0.007000000000000006,311.1900000000023,0.0,-0.0040000000000000036
KXBTC15M-26AUG270545-45,True,False,DOWN,0.8018867924528301,157.27999999999884,39.729999999995954,0.12822073442889026,0.01811320754716983,114.39999999999418,0.1862084456424079,0.11211320754716991,94.91000000000352,0.1862084456424079,0.13711320754716982,80.80999999999767,0.1862084456424079,0.14311320754716983,58.970000000001164,0.1862084456424079,0.0981132075471699,22.389999999999418,0.14683115626511867,0.11911320754716992
KXBTC15M-26AUG270600-00,True,False,DOWN,0.890625,171.77000000000407,28.389999999999418,0.03948252688172038,0.011375000000000024,7.930000000007567,0.03948252688172038,0.033375000000000044,-8.319999999992433,0.05809294871794879,0.047374999999999945,14.520000000004046,0.09747023809523803,0.034375000000000044,71.43000000000757,0.09747023809523803,0.106375,91.69999999999715,0.109375,0.105375
KXBTC15M-26AUG270615-15,False,False,UP,0.8018867924528301,104.52999999999884,1.040000000008149,0.0,-0.031886792452830104,32.35000000000582,-0.042488296212228605,0.01811320754716983,40.16000000000349,0.0,0.14711320754716983,41.419999999998254,0.09097035040431278,0.15011320754716984,79.72000000000116,0.19811320754716988,0.18011320754716986,89.7100000000064,0.19811320754716988,0.19011320754716987
KXBTC15M-26AUG270845-45,True,False,DOWN,0.890625,144.9499999999971,3.4800000000104774,0.03948252688172038,-0.05062500000000003,101.65000000000876,0.09747023809523803,0.05637499999999995,145.40000000000873,0.09747023809523803,0.026375000000000037,99.94000000000236,0.09747023809523803,0.06737499999999996,85.7100000000064,0.09747023809523803,0.08737499999999998,36.01000000000931,0.09747023809523803,0.08137499999999998
KXBTC15M-26AUG271030-30,True,False,UP,0.9301075268817204,210.24000000000524,57.0,0.06989247311827962,-0.04010752688172037,138.36000000000058,0.06989247311827962,-0.002107526881720334,53.61000000000058,0.06989247311827962,-0.010107526881720341,195.22999999999598,0.06989247311827962,0.03689247311827959,181.22000000000116,0.06989247311827962,0.042892473118279595,148.30000000000285,0.06989247311827962,0.06189247311827961
KXBTC15M-26AUG271145-45,True,False,DOWN,0.9301075268817204,184.84999999999127,-7.69999999999709,0.0,-0.09010752688172041,-29.989999999990687,0.0,-0.12010752688172033,22.180000000007567,0.057987711213517645,-0.05010752688172038,-15.64999999999418,0.057987711213517645,-0.13010752688172034,-18.629999999990105,0.057987711213517645,-0.05010752688172038,64.01000000000928,0.057987711213517645,0.052892473118279604
KXBTC15M-26AUG271300-00,True,False,DOWN,0.890625,109.2100000000064,-8.020000000004089,0.0,-0.08062499999999995,-27.55000000000291,-0.13122650375939848,-0.11062499999999997,-46.93000000000756,-0.13122650375939848,-0.140625,33.69999999999709,0.09747023809523803,0.05437499999999995,87.97999999999595,0.09747023809523803,0.07037499999999997,51.48999999999069,0.109375,0.09237499999999998
KXBTC15M-26AUG271330-30,True,False,UP,0.8018867924528301,124.47000000000116,48.88000000000466,0.0,-0.021886792452830095,45.55000000000291,-0.042488296212228605,0.008113207547169932,57.82000000000696,0.08873820754716988,0.058113207547169865,8.220000000001164,0.14683115626511867,0.02811320754716984,-57.2899999999936,-0.16710418375717795,-0.09188679245283016,39.13999999999942,0.12822073442889026,0.11211320754716991
KXBTC15M-26AUG271415-15,True,False,DOWN,0.890625,111.41000000000348,-6.630000000004642,0.0022321428571429047,-0.07062500000000005,-53.77000000000406,-0.28406762295081966,-0.22062499999999996,-48.36999999999533,-0.13122650375939848,-0.130625,-9.160000000003478,0.03948252688172038,0.01737500000000003,30.610000000000596,0.09747023809523803,0.08337499999999998,46.650000000008745,0.09747023809523803,0.09537499999999999
KXBTC15M-26AUG271515-15,True,False,UP,0.8913857806261563,102.22000000000116,-3.110000000000582,-0.0007607806261562544,-0.051385780626156285,-4.059999999997686,-0.08949898817332613,-0.0713857806261563,-7.25,0.09670945746908177,-0.02138578062615626,-10.14999999999418,0.09670945746908177,-0.03138578062615627,-9.889999999999404,0.09670945746908177,0.03561421937384379,-10.110000000000582,0.10861421937384375,0.08061421937384372
