ticker,correct,call_side,sec_from_call,min_from_call,timestamp,remaining_min,signed_distance,distance_gain,fair,fair_gain,ask,ask_change,preferred_side,signal_status
KXBTC15M-26AUG270615-15,False,UP,0.0,0.0,2026-08-27 10:05:11.971972+00:00,9.800467133333331,104.52999999999884,0.0,0.8018867924528301,0.0,0.7,-0.10188679245283017,UP,STRONG
KXBTC15M-26AUG270615-15,False,UP,53.886105,0.89810175,2026-08-27 10:06:05.858077+00:00,8.902365383333334,105.57000000000698,1.040000000008149,0.8018867924528301,0.0,0.77,-0.031886792452830104,UP,STRONG
KXBTC15M-26AUG270615-15,False,UP,106.693026,1.7782171,2026-08-27 10:06:58.664998+00:00,8.022250033333332,136.88000000000466,32.35000000000582,0.7593984962406015,-0.042488296212228605,0.82,0.01811320754716983,UP,LEAN
KXBTC15M-26AUG270615-15,False,UP,160.161709,2.6693618166666666,2026-08-27 10:07:52.133681+00:00,7.131105316666666,144.69000000000233,40.16000000000349,0.8018867924528301,0.0,0.949,0.14711320754716983,UP,STRONG
KXBTC15M-26AUG270615-15,False,UP,213.293002,3.5548833666666666,2026-08-27 10:08:45.264974+00:00,6.245583766666667,145.9499999999971,41.419999999998254,0.8928571428571429,0.09097035040431278,0.952,0.15011320754716984,UP,STRONG
KXBTC15M-26AUG270615-15,False,UP,266.948019,4.449133649999999,2026-08-27 10:09:38.919991+00:00,5.351333483333334,175.5500000000029,71.02000000000407,1.0,0.19811320754716988,0.965,0.16311320754716985,UP,90%+ LOCK CANDIDATE
KXBTC15M-26AUG270615-15,False,UP,321.171501,5.35285835,2026-08-27 10:10:33.143473+00:00,4.447608783333334,184.25,79.72000000000116,1.0,0.19811320754716988,0.982,0.18011320754716986,UP,LOCK
KXBTC15M-26AUG270615-15,False,UP,374.817829,6.246963816666667,2026-08-27 10:11:26.789801+00:00,3.5535033166666663,194.24000000000524,89.7100000000064,1.0,0.19811320754716988,0.992,0.19011320754716987,UP,LOCK
KXBTC15M-26AUG270615-15,False,UP,428.738459,7.145640983333333,2026-08-27 10:12:20.710431+00:00,2.65482615,50.27999999999884,-54.24999999999999,0.7593984962406015,-0.042488296212228605,0.991,0.18911320754716987,UP,LEAN
KXBTC15M-26AUG270615-15,False,UP,482.331446,8.038857433333334,2026-08-27 10:13:14.303418+00:00,1.7616097000000002,47.69999999999709,-56.830000000001746,0.890625,0.08873820754716988,0.907,0.1051132075471699,UP,STRONG
KXBTC15M-26AUG270615-15,False,UP,536.590725,8.94317875,2026-08-27 10:14:08.562697+00:00,0.8572883833333333,-26.210000000006403,-130.74000000000524,0.109375,-0.6925117924528301,0.4,-0.4018867924528301,DOWN,STRONG
