ticker,correct,call_side,timestamp,min_from_call,remaining_min,distance_gain,fair_gain,ask_change,preferred_side,signal_status,collapse_point
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:33:27.044063+00:00,0.0,11.549265616666666,0.0,0.0,-0.1418867924528301,UP,STRONG,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:34:20.415233+00:00,0.8895195,10.659746116666668,51.839999999996536,0.12822073442889026,0.01811320754716983,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:35:13.446500+00:00,1.77337395,9.775891666666666,131.96000000000643,0.19811320754716988,0.1001132075471699,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:36:06.578149+00:00,2.6589014333333334,8.890364183333332,248.38999999999945,0.19811320754716988,0.12311320754716992,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:36:59.852910+00:00,3.5468141166666665,8.0024515,283.5200000000042,0.19811320754716988,0.16211320754716985,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:37:52.885237+00:00,4.430686233333334,7.118579383333333,268.3600000000007,0.19811320754716988,0.16211320754716985,UP,EARLY 90%+ / NOT YET VALIDATED LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:38:46.255210+00:00,5.320185783333333,6.2290798333333335,320.2100000000064,0.19811320754716988,0.18111320754716986,UP,90%+ LOCK CANDIDATE,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:39:39.497434+00:00,6.207556183333334,5.3417094333333335,290.8600000000007,0.19811320754716988,0.18711320754716987,UP,90%+ LOCK CANDIDATE,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:40:32.536782+00:00,7.091545316666667,4.4577203,127.61999999999537,0.19811320754716988,0.17911320754716986,UP,LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:41:25.792034+00:00,7.97913285,3.5701327666666667,116.66000000000352,0.19811320754716988,0.15811320754716984,UP,LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:42:18.793464+00:00,8.862490016666667,2.6867756,188.06999999999246,0.19811320754716988,0.19211320754716987,UP,LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:43:11.702488+00:00,9.744307083333332,1.8049585333333331,-10.58999999999648,0.14683115626511867,0.19011320754716987,UP,LOCK,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:44:05.039179+00:00,10.633251933333334,0.9160136833333332,-161.07000000000696,0.0,0.18411320754716987,UP,STRONG,False
KXBTC15M-26AUG250945-45,True,UP,2026-08-25 13:44:58.243133+00:00,11.5199845,0.0292811166666666,-237.6399999999994,-0.694743935309973,0.13311320754716993,DOWN,STRONG,True
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:05:11.971972+00:00,0.0,9.800467133333331,0.0,0.0,-0.10188679245283017,UP,STRONG,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:06:05.858077+00:00,0.89810175,8.902365383333334,1.040000000008149,0.0,-0.031886792452830104,UP,STRONG,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:06:58.664998+00:00,1.7782171,8.022250033333332,32.35000000000582,-0.042488296212228605,0.01811320754716983,UP,LEAN,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:07:52.133681+00:00,2.6693618166666666,7.131105316666666,40.16000000000349,0.0,0.14711320754716983,UP,STRONG,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:08:45.264974+00:00,3.5548833666666666,6.245583766666667,41.419999999998254,0.09097035040431278,0.15011320754716984,UP,STRONG,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:09:38.919991+00:00,4.449133649999999,5.351333483333334,71.02000000000407,0.19811320754716988,0.16311320754716985,UP,90%+ LOCK CANDIDATE,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:10:33.143473+00:00,5.35285835,4.447608783333334,79.72000000000116,0.19811320754716988,0.18011320754716986,UP,LOCK,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:11:26.789801+00:00,6.246963816666667,3.5535033166666663,89.7100000000064,0.19811320754716988,0.19011320754716987,UP,LOCK,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:12:20.710431+00:00,7.145640983333333,2.65482615,-54.24999999999999,-0.042488296212228605,0.18911320754716987,UP,LEAN,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:13:14.303418+00:00,8.038857433333334,1.7616097000000002,-56.830000000001746,0.08873820754716988,0.1051132075471699,UP,STRONG,False
KXBTC15M-26AUG270615-15,False,UP,2026-08-27 10:14:08.562697+00:00,8.94317875,0.8572883833333333,-130.74000000000524,-0.6925117924528301,-0.4018867924528301,DOWN,STRONG,True
