ticker,snapshot_utc,split,side,ask,fair,edge,minutes_remaining,abs_dist_target,dist_over_range5,final_side,correct
KXBTC15M-26AUG201000-00,2026-08-20 13:51:00+00:00,FIRST_HALF,UP,0.49,0.8959460658379449,0.4059460658379449,9,126.1700000000128,0.30475845410631114,UP,1
KXBTC15M-26AUG201400-00,2026-08-20 17:49:00+00:00,FIRST_HALF,UP,0.49,0.8146858927134176,0.32468589271341763,11,42.220000000001164,0.39958356994137406,UP,1
KXBTC15M-26AUG201830-30,2026-08-20 22:20:00+00:00,FIRST_HALF,UP,0.48,0.8960919299399858,0.4160919299399858,10,74.88999999999942,0.5124888797645728,UP,1
KXBTC15M-26AUG210115-15,2026-08-21 05:05:00+00:00,FIRST_HALF,UP,0.37,0.9075356626329226,0.5375356626329226,10,151.57000000000698,0.46832900753926354,UP,1
KXBTC15M-26AUG210200-00,2026-08-21 05:50:00+00:00,FIRST_HALF,UP,0.47,0.8906338083774736,0.42063380837747366,10,74.54999999998836,0.47180558192513655,UP,1
KXBTC15M-26AUG210215-15,2026-08-21 06:05:00+00:00,FIRST_HALF,UP,0.49,0.8696195620816296,0.3796195620816296,10,51.329999999987194,0.3359952870327016,DOWN,0
KXBTC15M-26AUG210230-30,2026-08-21 06:22:00+00:00,FIRST_HALF,DOWN,0.47,0.8658438261997703,0.3958438261997703,8,158.5,0.5839012709522995,UP,0
KXBTC15M-26AUG210815-15,2026-08-21 12:05:00+00:00,FIRST_HALF,UP,0.47,0.8944755712770284,0.4244755712770284,10,98.16000000000349,0.344687126904993,UP,1
KXBTC15M-26AUG210845-45,2026-08-21 12:35:00+00:00,SECOND_HALF,UP,0.48,0.9177612760865099,0.43776127608650994,10,145.79000000000815,0.6215467257844884,UP,1
KXBTC15M-26AUG210915-15,2026-08-21 13:04:00+00:00,SECOND_HALF,UP,0.48,0.9071727112255842,0.4271727112255842,11,116.60000000000582,0.5006440532417722,DOWN,0
KXBTC15M-26AUG211030-30,2026-08-21 14:22:00+00:00,SECOND_HALF,UP,0.35,0.9032523693552171,0.5532523693552172,8,234.02000000000407,0.41960123359392454,UP,1
KXBTC15M-26AUG211045-45,2026-08-21 14:36:00+00:00,SECOND_HALF,UP,0.38,0.8826426834052321,0.5026426834052321,9,100.88999999999942,0.43886206446561254,UP,1
KXBTC15M-26AUG211430-30,2026-08-21 18:19:00+00:00,SECOND_HALF,UP,0.39,0.8905011281033365,0.5005011281033365,11,82.36000000000058,0.44868162998475497,UP,1
KXBTC15M-26AUG211645-45,2026-08-21 20:38:00+00:00,SECOND_HALF,DOWN,0.46,0.8439100206341563,0.3839100206341564,7,102.5399999999936,0.5577979655115739,UP,0
KXBTC15M-26AUG220115-15,2026-08-22 05:07:00+00:00,SECOND_HALF,DOWN,0.39,0.8720571665392578,0.4820571665392578,8,198.22000000000116,0.6018886830838373,DOWN,1
KXBTC15M-26AUG220245-45,2026-08-22 06:37:00+00:00,SECOND_HALF,UP,0.49,0.9122712936204105,0.4222712936204105,8,186.65999999998894,0.5115233893288404,UP,1
